,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
61,2023-01-08,Sun,Serie A,Matchweek 17,Away,D 1–1,Torino,Salernitana,Y,CM,90,0,0,0,0,1,1,1,0,63,0,1,0,0.1,0.1,0.2,3,0,46,58,79.3,2,32,4,0,https://fbref.com/en/matches/b6ec4538/Salernitana-Torino-January-8-2023-Serie-A,848,173,0.1,1,5,1,0,55,3,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,5,,0,,1,2,0,46,4,0,4,0,0,0,3,4,100.0
62,2023-01-11,Wed,Coppa Italia,Round of 16,Away,W 1–0,Torino,Milan,Y,DM,120,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,https://fbref.com/en/matches/028207cb/Milan-Torino-January-11-2023-Coppa-Italia,,,,,,,,,,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,1,,,0,,,
63,2023-01-15,Sun,Serie A,Matchweek 18,Home,L 0–1,Torino,Spezia,Y,CM,45,0,0,0,0,0,0,0,0,37,1,0,1,0.0,0.0,0.0,0,0,29,34,85.3,3,17,1,0,https://fbref.com/en/matches/6613b258/Torino-Spezia-January-15-2023-Serie-A,492,89,0.0,0,2,0,0,32,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,0,1,1,0,0,0,0,,0,,0,0,0,27,1,0,0,0,0,0,2,0,0.0
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2023-01-28,Sat,Serie A,Matchweek 20,Away,D 2–2,Torino,Empoli,N,CM,45,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.1,4,1,32,37,86.5,2,23,2,0,https://fbref.com/en/matches/621ac50b/Empoli-Torino-January-28-2023-Serie-A,594,136,0.2,2,1,1,0,35,2,2,0,2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,,0,0,1,0,0,1,2,,0,,1,0,0,28,1,0,1,0,0,0,5,2,66.7
66,,Performance,Expected,SCA,Passes,Carries,Take-Ons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
68,2023-02-11,Sat,Premier League,Matchweek 23,Home,W 2–0,Fulham,Nott'ham Forest,N,AM,1,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,4,5,80.0,0,4,1,0,https://fbref.com/en/matches/ee86dc99/Fulham-Nottingham-Forest-February-11-2023-Premier-League,49,0,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,2,,0,,1,0,0,4,2,0,0,0,0,0,0,0,
69,2023-02-24,Fri,Premier League,Matchweek 25,Home,D 1–1,Fulham,Wolves,N,DM,45,0,0,0,0,1,0,0,0,34,2,1,0,0.0,0.0,0.0,2,1,27,29,93.1,2,18,1,2,https://fbref.com/en/matches/b452508e/Fulham-Wolverhampton-Wanderers-February-24-2023-Premier-League,446,61,0.0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,1,0,,0,0,3,0,0,2,1,100.0,0,0.0,0,0,0,24,2,0,2,0,0,0,1,0,
70,2023-02-28,Tue,FA Cup,Fifth round proper,Home,W 2–0,Fulham,Leeds United,Y,DM,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,https://fbref.com/en/matches/894f2b33/Fulham-Leeds-United-February-28-2023-FA-Cup,,,,,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,2,,,0,,,
