,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-11,Fri,Premier League,Matchweek 1,Home,L 0–3,Burnley,Manchester City,Y,RM,60,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,2,0,8,14,57.1,0,18,1,2,0,/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–3,Burnley,Aston Villa,Y,LM,67,0,0,0,0,2,0,0,0,40,1,0,0,0.0,0.0,0.0,3,0,24,34,70.6,4,31,6,6,3,/en/matches/b66a7def/Burnley-Aston-Villa-August-27-2023-Premier-League,0.0,0.5,0.6222222222222222
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-02,Sat,Premier League,Matchweek 4,Home,L 2–5,Burnley,Tottenham,Y,"LM,AM",67,0,1,0,0,2,0,0,0,19,0,0,0,0.1,0.1,0.4,3,1,6,9,66.7,0,13,2,11,5,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League,0.0,0.5,0.7708333333333335
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-18,Mon,Premier League,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y,LW,75,0,0,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.1,3,1,16,29,55.2,2,33,3,7,4,/en/matches/ad7ecfad/Nottingham-Forest-Burnley-September-18-2023-Premier-League,0.5,0.0,0.5222222222222221
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y,"RW,LW",72,0,0,0,0,2,0,0,0,32,0,0,2,0.0,0.0,0.0,1,0,17,22,77.3,1,23,9,9,4,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,0.0,0.1666666666666666,0.282051282051282
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-30,Sat,Premier League,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y,RW,57,0,0,0,0,0,0,0,0,25,0,0,2,0.0,0.0,0.3,1,0,7,15,46.7,0,14,2,6,2,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League,0.0,0.1666666666666666,0.8111111111111112
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-10-03,Tue,Premier League,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y,RW,74,0,0,0,0,3,1,0,0,24,0,0,0,0.1,0.1,0.1,2,0,14,17,82.4,3,20,6,4,1,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League,1.0,0.1666666666666666,0.4523809523809524
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-10-07,Sat,Premier League,Matchweek 8,Home,L 1–4,Burnley,Chelsea,N,RW,30,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,2,0,2,4,50.0,0,8,2,3,2,/en/matches/cfd83ca3/Burnley-Chelsea-October-7-2023-Premier-League,0.0,0.3333333333333333,0.6785714285714286
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-10-21,Sat,Premier League,Matchweek 9,Away,L 0–3,Burnley,Brentford,N,LW,45,0,0,0,0,2,0,0,0,24,2,0,1,0.9,0.9,0.0,0,0,14,16,87.5,1,17,3,4,3,/en/matches/52781f37/Brentford-Burnley-October-21-2023-Premier-League,0.0,0.3333333333333333,0.2555555555555555
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-28,Sat,Premier League,Matchweek 10,Away,L 1–2,Burnley,Bournemouth,Y,RW,80,0,0,0,0,0,0,0,0,35,0,1,0,0.0,0.0,0.0,0,0,16,25,64.0,2,29,4,6,2,/en/matches/c4c42d3e/Bournemouth-Burnley-October-28-2023-Premier-League,0.0,0.3333333333333333,0.2333333333333333
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-11-04,Sat,Premier League,Matchweek 11,Home,L 0–2,Burnley,Crystal Palace,Y,LM,77,0,0,0,0,4,1,0,0,45,2,0,2,0.2,0.2,0.2,3,0,22,30,73.3,3,35,4,6,2,/en/matches/8797f9a9/Burnley-Crystal-Palace-November-4-2023-Premier-League,0.0,0.0,0.2888888888888889
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-11-11,Sat,Premier League,Matchweek 12,Away,L 1–3,Burnley,Arsenal,Y,LM,79,0,0,0,0,1,0,0,0,18,0,1,0,0.0,0.0,0.0,2,2,7,10,70.0,0,13,1,3,1,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,0.0,0.0,0.4222222222222222
