,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,D 1–1,Bournemouth,Sheffield Utd,Y,AM,90,0,0,0,0,1,0,0,0,40.0,0.0,1,1.0,0.1,0.1,0.0,2.0,0.0,13.0,24.0,54.2,2.0,26.0,1.0,8.0,3.0,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,W 2–1,Bournemouth,Aston Villa,Y,"FW,RM",90,1,0,1,1,1,0,0,0,38.0,1.0,0,3.0,0.8,0.0,0.0,1.0,0.0,18.0,29.0,62.1,4.0,25.0,5.0,3.0,2.0,/en/matches/7ad0ed82/Aston-Villa-Bournemouth-August-17-2019-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-25,Sun,Premier League,Matchweek 3,Home,L 1–3,Bournemouth,Manchester City,Y,"LM,RM",90,0,0,0,0,1,1,0,0,31.0,4.0,0,0.0,0.0,0.0,0.1,3.0,0.0,11.0,18.0,61.1,0.0,25.0,3.0,4.0,2.0,/en/matches/7728bd7e/Bournemouth-Manchester-City-August-25-2019-Premier-League,0.0,0.5,0.6428571428571429
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-28,Wed,EFL Cup,Second round,Home,D 0 (3)–0 (0),Bournemouth,FG Rovers,N,,61,0,0,0,0,5,3,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7622c110/Bournemouth-Forest-Green-Rovers-August-28-2019-EFL-Cup,0.5,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 1–3,Bournemouth,Leicester City,Y,"FW,AM",78,0,0,0,0,0,0,0,0,28.0,0.0,0,1.0,0.0,0.0,0.1,2.0,0.0,17.0,21.0,81.0,1.0,19.0,2.0,3.0,2.0,/en/matches/3d899563/Leicester-City-Bournemouth-August-31-2019-Premier-League,0.0,0.5,0.630952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-05,Thu,UEFA Euro Qualifying,Group stage,Home,W 2–0,no Norway,mt Malta,Y,FW,57,1,0,1,1,3,3,1,0,,,1,,,,,,,,,,,,,,,/en/matches/3d2c1880/Norway-Malta-September-5-2019-UEFA-Euro-Qualifying,1.0,0.1666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-08,Sun,UEFA Euro Qualifying,Group stage,Away,D 1–1,no Norway,se Sweden,Y,FW,90,0,0,0,0,4,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/93f04abd/Sweden-Norway-September-8-2019-UEFA-Euro-Qualifying,0.5,0.5,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-09-15,Sun,Premier League,Matchweek 5,Home,W 3–1,Bournemouth,Everton,Y,LM,90,0,1,0,0,1,1,0,0,44.0,4.0,1,0.0,0.0,0.0,0.6,8.0,2.0,15.0,22.0,68.2,2.0,33.0,5.0,7.0,4.0,/en/matches/886c59ae/Bournemouth-Everton-September-15-2019-Premier-League,1.0,0.5,0.6904761904761905
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-09-20,Fri,Premier League,Matchweek 6,Away,W 3–1,Bournemouth,Southampton,Y,"LM,LW",89,0,0,0,0,1,0,0,0,41.0,0.0,0,1.0,0.0,0.0,0.0,2.0,1.0,8.0,20.0,40.0,1.0,28.0,1.0,10.0,6.0,/en/matches/ebbb65f5/Southampton-Bournemouth-September-20-2019-Premier-League,1.0,0.8333333333333334,0.75
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-09-28,Sat,Premier League,Matchweek 7,Home,D 2–2,Bournemouth,West Ham,Y,"LM,RM",90,1,1,0,0,1,1,0,0,41.0,1.0,0,2.0,0.3,0.3,0.3,1.0,1.0,21.0,31.0,67.7,4.0,24.0,4.0,6.0,2.0,/en/matches/704e536e/Bournemouth-West-Ham-United-September-28-2019-Premier-League,0.5,0.8333333333333334,0.6428571428571429
