,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2021-07-16,Fri,Superliga,Regular season,Home,L 1–2,Midtjylland,Odense,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0a236e1b/Midtjylland-Odense-July-16-2021-Superliga,0.0,0.5,0.5
1,1,1,1,2021-07-20,Tue,Champions Lg,Second qualifying round,Away,D 1–1,dk Midtjylland,sct Celtic,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b8be27fd/Celtic-Midtjylland-July-20-2021-Champions-League,0.5,0.5,0.5
2,2,2,2,2021-07-24,Sat,Superliga,Regular season,Away,W 1–0,Midtjylland,Aalborg,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0ae307e6/Aalborg-Midtjylland-July-24-2021-Superliga,1.0,0.5,0.5
3,3,3,3,2021-07-28,Wed,Champions Lg,Second qualifying round,Home,W 2–1,dk Midtjylland,sct Celtic,Y,GK,120,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2c076836/Midtjylland-Celtic-July-28-2021-Champions-League,1.0,0.5,0.5
4,4,4,4,2021-07-31,Sat,Superliga,Regular season,Away,W 2–0,Midtjylland,Viborg,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/91b04a7e/Viborg-Midtjylland-July-31-2021-Superliga,1.0,0.8333333333333334,0.5
5,5,5,5,2021-08-03,Tue,Champions Lg,Third qualifying round,Away,L 0–3,dk Midtjylland,nl PSV Eindhoven,Y,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/5a0c956a/PSV-Eindhoven-Midtjylland-August-3-2021-Champions-League,0.0,1.0,0.5
6,6,6,6,2021-08-06,Fri,Superliga,Regular season,Home,W 4–1,Midtjylland,Vejle BK,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/3435bdcb/Midtjylland-Vejle-BK-August-6-2021-Superliga,1.0,0.6666666666666666,0.5
7,7,7,7,2021-08-10,Tue,Champions Lg,Third qualifying round,Home,L 0–1,dk Midtjylland,nl PSV Eindhoven,Y*,GK,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/97a1015b/Midtjylland-PSV-Eindhoven-August-10-2021-Champions-League,0.0,0.6666666666666666,0.5
8,8,8,8,2021-08-13,Fri,Superliga,Regular season,Away,W 2–0,Midtjylland,SønderjyskE,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/d8760237/SonderjyskE-Midtjylland-August-13-2021-Superliga,1.0,0.3333333333333333,0.5
9,9,9,9,2021-08-29,Sun,Superliga,Regular season,Away,L 0–2,Midtjylland,Brøndby,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c2bcd487/Brondby-Midtjylland-August-29-2021-Superliga,0.0,0.6666666666666666,0.5
10,10,10,10,2021-11-04,Thu,Europa Lg,Group stage,Away,W 1–0,dk Midtjylland,rs Red Star,Y,GK,90,0,0,0,0,0.0,0.0,0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,34.0,82.4,0.0,15.0,0.0,0.0,0.0,/en/matches/3c524755/Red-Star-Belgrade-Midtjylland-November-4-2021-Europa-League,1.0,0.3333333333333333,0.5
11,11,11,11,2021-11-21,Sun,Superliga,Regular season,Home,L 1–2,Midtjylland,Brøndby,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8a322ac4/Midtjylland-Brondby-November-21-2021-Superliga,0.0,0.6666666666666666,0.5
12,12,12,12,2021-11-25,Thu,Europa Lg,Group stage,Home,W 3–2,dk Midtjylland,pt Braga,Y,GK,90,0,0,0,0,0.0,0.0,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,52.6,0.0,17.0,0.0,0.0,0.0,/en/matches/f509cb64/Midtjylland-Braga-November-25-2021-Europa-League,1.0,0.3333333333333333,0.5
13,13,13,13,2021-11-29,Mon,Superliga,Regular season,Away,D 1–1,Midtjylland,Vejle BK,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/f7c71f9d/Vejle-BK-Midtjylland-November-29-2021-Superliga,0.5,0.6666666666666666,0.5
14,14,14,14,2021-12-09,Thu,Europa Lg,Group stage,Away,D 0–0,dk Midtjylland,bg Ludogorets,Y*,GK,90,0,0,0,0,0.0,0.0,0,0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,32.0,81.3,0.0,22.0,0.0,0.0,0.0,/en/matches/fc2eec42/Ludogorets-Razgrad-Midtjylland-December-9-2021-Europa-League,0.5,0.5,0.5
15,15,15,15,2022-01-08,Sat,FA Cup,Third round proper,Away,W 4–1,Brentford,Port Vale,Y,GK,90,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/266a7ddd/Port-Vale-Brentford-January-8-2022-FA-Cup,1.0,0.6666666666666666,0.5
