,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford,N,LB,1,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–1,Brighton,Bristol Rovers,Y,LM,90,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/f3750880/Bristol-Rovers-Brighton-and-Hove-Albion-August-27-2019-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2019-08-31,Sat,Premier League,Matchweek 4,Away,L 0–4,Brighton,Manchester City,Y,LM,66,0,0,0,0,0,0,0,0,24.0,2.0,1,0.0,0.0,0.0,0.3,1.0,0.0,11.0,15.0,73.3,2.0,14.0,2.0,1.0,0.0,/en/matches/5b9865ad/Manchester-City-Brighton-and-Hove-Albion-August-31-2019-Premier-League,0.0,0.5,0.7857142857142858
3,3,3,3,3,3,3,3,3,2019-12-16,Mon,Premier League,Matchweek 17,Away,D 1–1,Brighton,Crystal Palace,N,CM,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/1163ec4a/Crystal-Palace-Brighton-and-Hove-Albion-December-16-2019-Premier-League,0.5,0.6666666666666666,0.7051282051282051
4,4,4,4,4,4,4,4,4,2019-12-26,Thu,Premier League,Matchweek 19,Away,L 1–2,Brighton,Tottenham,Y,WB,75,0,0,0,0,1,1,0,0,52.0,6.0,1,0.0,0.0,0.0,0.4,2.0,0.0,22.0,35.0,62.9,4.0,21.0,1.0,1.0,1.0,/en/matches/eebe09b9/Tottenham-Hotspur-Brighton-and-Hove-Albion-December-26-2019-Premier-League,0.0,0.5,0.49999999999999994
5,5,5,5,5,5,5,5,5,2020-01-01,Wed,Premier League,Matchweek 21,Home,D 1–1,Brighton,Chelsea,N,LB,69,0,0,0,0,0,0,0,0,63.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,54.0,83.3,12.0,27.0,1.0,1.0,1.0,/en/matches/9b72407a/Brighton-and-Hove-Albion-Chelsea-January-1-2020-Premier-League,0.5,0.1666666666666666,0.5
6,6,6,6,6,6,6,6,6,2020-01-04,Sat,FA Cup,Third round,Home,L 0–1,Brighton,Sheffield Weds,N,,20,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d9c16c13/Brighton-and-Hove-Albion-Sheffield-Wednesday-January-4-2020-FA-Cup,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,2020-01-11,Sat,Premier League,Matchweek 22,Away,L 0–1,Brighton,Everton,Y,"LM,LB,DM",90,0,0,0,0,0,0,0,0,63.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,31.0,50.0,62.0,7.0,29.0,3.0,1.0,1.0,/en/matches/61cc2ca5/Everton-Brighton-and-Hove-Albion-January-11-2020-Premier-League,0.0,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,2020-01-18,Sat,Premier League,Matchweek 23,Home,D 1–1,Brighton,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,90.0,5.0,2,2.0,0.0,0.0,0.4,2.0,0.0,52.0,73.0,71.2,8.0,36.0,2.0,3.0,3.0,/en/matches/bd044bad/Brighton-and-Hove-Albion-Aston-Villa-January-18-2020-Premier-League,0.5,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,2020-01-21,Tue,Premier League,Matchweek 24,Away,L 1–3,Brighton,Bournemouth,Y,LB,59,0,0,0,0,2,0,1,0,39.0,2.0,0,1.0,0.1,0.1,0.0,0.0,0.0,24.0,34.0,70.6,3.0,19.0,2.0,1.0,1.0,/en/matches/ba03a070/Bournemouth-Brighton-and-Hove-Albion-January-21-2020-Premier-League,0.0,0.1666666666666666,0.5
10,10,10,10,10,10,10,10,10,2020-02-01,Sat,Premier League,Matchweek 25,Away,D 3–3,Brighton,West Ham,Y,LB,90,0,0,0,0,3,1,0,0,72.0,6.0,0,1.0,0.3,0.3,0.0,1.0,0.0,50.0,59.0,84.7,11.0,41.0,6.0,3.0,1.0,/en/matches/14d877cc/West-Ham-United-Brighton-and-Hove-Albion-February-1-2020-Premier-League,0.5,0.1666666666666666,0.5
11,11,11,11,11,11,11,11,11,2020-02-22,Sat,Premier League,Matchweek 27,Away,D 1–1,Brighton,Sheffield Utd,N,FW,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,/en/matches/c24b02bd/Sheffield-United-Brighton-and-Hove-Albion-February-22-2020-Premier-League,0.5,0.3333333333333333,0.5
12,12,12,12,12,12,12,12,12,2020-06-30,Tue,Premier League,Matchweek 32,Home,L 0–3,Brighton,Manchester Utd,N,CB,10,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,3.0,0.0,0.0,0.0,/en/matches/be321c59/Brighton-and-Hove-Albion-Manchester-United-June-30-2020-Premier-League,0.0,0.3333333333333333,0.5
13,13,13,13,13,13,13,13,13,2020-07-04,Sat,Premier League,Matchweek 33,Away,W 1–0,Brighton,Norwich City,N,AM,19,0,0,0,0,1,0,0,0,14.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,45.5,1.0,8.0,0.0,0.0,0.0,/en/matches/aa3a3540/Norwich-City-Brighton-and-Hove-Albion-July-4-2020-Premier-League,1.0,0.3333333333333333,0.5
14,14,14,14,14,14,14,14,14,2020-07-11,Sat,Premier League,Matchweek 35,Home,L 0–5,Brighton,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,50.0,1.0,1,1.0,0.0,0.0,0.1,2.0,0.0,26.0,41.0,63.4,5.0,24.0,4.0,1.0,0.0,/en/matches/a24d3d6b/Brighton-and-Hove-Albion-Manchester-City-July-11-2020-Premier-League,0.0,0.5,0.5
15,15,15,15,15,15,15,15,15,2020-07-26,Sun,Premier League,Matchweek 38,Away,W 2–1,Brighton,Burnley,N,WB,18,0,0,0,0,0,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,13.0,92.3,2.0,13.0,1.0,0.0,0.0,/en/matches/d4360fcd/Burnley-Brighton-and-Hove-Albion-July-26-2020-Premier-League,1.0,0.3333333333333333,0.5
