,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2022-10-04,Tue,Champions Lg,Group stage,Away,D 0–0,eng Tottenham,de Eint Frankfurt,N,AM,13,0,0,0,0,0,0,0,0,10.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,6.0,0.0,1.0,1.0,/en/matches/2f44d120/Eintracht-Frankfurt-Tottenham-Hotspur-October-4-2022-Champions-League,0.5,0.5,0.5
1,1,1,2022-10-12,Wed,Champions Lg,Group stage,Home,W 3–2,eng Tottenham,de Eint Frankfurt,N,RM,6,0,0,0,0,0,0,0,0,5.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,0.0,4.0,0.0,1.0,0.0,/en/matches/bd7b7e39/Tottenham-Hotspur-Eintracht-Frankfurt-October-12-2022-Champions-League,1.0,0.5,0.5
2,2,2,2022-10-26,Wed,Champions Lg,Group stage,Home,D 1–1,eng Tottenham,pt Sporting CP,N,AM,20,0,0,0,0,1,0,0,0,14.0,0.0,1,0.0,0.0,0.0,0.2,4.0,1.0,8.0,11.0,72.7,3.0,10.0,1.0,0.0,0.0,/en/matches/d72e39b0/Tottenham-Hotspur-Sporting-CP-October-26-2022-Champions-League,0.5,0.5,0.5
3,3,3,2022-10-29,Sat,Premier League,Matchweek 14,Away,W 3–2,Tottenham,Bournemouth,N,AM,7,0,0,0,0,0,0,0,0,9.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,5.0,0.0,0.0,0.0,/en/matches/dcb3b971/Bournemouth-Tottenham-Hotspur-October-29-2022-Premier-League,1.0,0.6666666666666666,0.2023809523809523
4,4,4,2022-11-01,Tue,Champions Lg,Group stage,Away,W 2–1,eng Tottenham,fr Marseille,N,FW,1,0,0,0,0,0,0,0,0,2.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,/en/matches/02a888e6/Marseille-Tottenham-Hotspur-November-1-2022-Champions-League,1.0,0.8333333333333334,0.5
5,5,5,2022-11-09,Wed,EFL Cup,Third round,Away,L 0–2,Tottenham,Nott'ham Forest,N,,32,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,0.0,0.8333333333333334,0.5
6,6,6,2023-01-01,Sun,Premier League,Matchweek 18,Home,L 0–2,Tottenham,Aston Villa,Y,RW,62,0,0,0,0,0,0,0,0,29.0,0.0,0,2.0,0.0,0.0,0.1,1.0,0.0,15.0,22.0,68.2,1.0,20.0,1.0,3.0,1.0,/en/matches/63e8eaf8/Tottenham-Hotspur-Aston-Villa-January-1-2023-Premier-League,0.0,0.6666666666666666,0.5
7,7,7,2023-01-04,Wed,Premier League,Matchweek 19,Away,W 4–0,Tottenham,Crystal Palace,Y,AM,76,0,1,0,0,2,1,1,0,39.0,2.0,1,1.0,0.1,0.1,0.1,4.0,3.0,23.0,28.0,82.1,4.0,27.0,3.0,2.0,1.0,/en/matches/d8118454/Crystal-Palace-Tottenham-Hotspur-January-4-2023-Premier-League,1.0,0.3333333333333333,0.5
8,8,8,2023-01-07,Sat,FA Cup,Third round proper,Home,W 1–0,Tottenham,Portsmouth,Y,AM,89,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/f19491e0/Tottenham-Hotspur-Portsmouth-January-7-2023-FA-Cup,1.0,0.3333333333333333,0.5
9,9,9,2023-01-15,Sun,Premier League,Matchweek 20,Home,L 0–2,Tottenham,Arsenal,N,RM,3,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,/en/matches/4fc8b7b2/North-London-Derby-Tottenham-Hotspur-Arsenal-January-15-2023-Premier-League,0.0,0.6666666666666666,0.5
10,10,10,2023-01-28,Sat,FA Cup,Fourth round proper,Away,W 3–0,Tottenham,Preston,N,,6,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/e05c81ee/Preston-North-End-Tottenham-Hotspur-January-28-2023-FA-Cup,1.0,0.6666666666666666,0.5
11,11,11,2023-02-05,Sun,La Liga,Matchweek 20,Away,L 0–3,Sevilla,Barcelona,N,LM,45,0,0,0,0,0,0,0,0,19.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,53.8,0.0,9.0,0.0,2.0,1.0,/en/matches/1ccc0d2c/Barcelona-Sevilla-February-5-2023-La-Liga,0.0,0.6666666666666666,0.5
12,12,12,2023-02-11,Sat,La Liga,Matchweek 21,Home,W 2–0,Sevilla,Mallorca,Y,"WB,AM",90,1,0,0,0,2,1,1,0,76.0,1.0,0,2.0,1.0,1.0,0.1,3.0,0.0,48.0,62.0,77.4,6.0,49.0,5.0,6.0,3.0,/en/matches/0792ae6b/Sevilla-Mallorca-February-11-2023-La-Liga,1.0,0.3333333333333333,0.5
13,13,13,2023-02-16,Thu,Europa Lg,Knockout round play-offs,Home,W 3–0,es Sevilla,nl PSV Eindhoven,Y,AM,45,0,0,0,0,0,0,0,0,34.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,25.0,68.0,3.0,22.0,2.0,4.0,2.0,/en/matches/5e724386/Sevilla-PSV-Eindhoven-February-16-2023-Europa-League,1.0,0.6666666666666666,0.5
14,14,14,2023-02-19,Sun,La Liga,Matchweek 22,Away,D 1–1,Sevilla,Rayo Vallecano,N,LB,28,0,0,0,0,1,0,0,0,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,0.0,9.0,1.0,0.0,0.0,/en/matches/bf5f27cd/Rayo-Vallecano-Sevilla-February-19-2023-La-Liga,0.5,0.6666666666666666,0.5
