,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,N,"CB,LB",2,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,"LB,CB",90,0,0,0,0,1,0,0,0,75.0,2.0,0,3.0,0.4,0.4,0.0,0.0,0.0,54.0,65.0,83.1,8.0,32.0,0.0,0.0,0.0,/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,0.5,0.5,0.48888888888888893
2,2,2,2,2,2,2,2,2023-09-07,Thu,Euro Qualifying,Group stage,Home,W 2–0,pl Poland,fo Faroe Islands,Y,LB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/dfe80ec7/Poland-Faroe-Islands-September-7-2023-Euro-Qualifying,1.0,0.5,0.5
3,3,3,3,3,3,3,3,2023-09-10,Sun,Euro Qualifying,Group stage,Away,L 0–2,pl Poland,al Albania,Y,LB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/95ef12bc/Albania-Poland-September-10-2023-Euro-Qualifying,0.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,2023-09-27,Wed,EFL Cup,Third round,Away,W 1–0,Arsenal,Brentford,Y,LB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup,1.0,0.5,0.5
5,5,5,5,5,5,5,5,2023-10-12,Thu,Euro Qualifying,Group stage,Away,W 2–0,pl Poland,fo Faroe Islands,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/45a925e9/Faroe-Islands-Poland-October-12-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,2023-10-15,Sun,Euro Qualifying,Group stage,Home,D 1–1,pl Poland,md Moldova,Y,CB,90,0,0,0,0,3,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/b0a2900d/Poland-Moldova-October-15-2023-Euro-Qualifying,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,2023-10-24,Tue,Champions Lg,Group stage,Away,W 2–1,eng Arsenal,es Sevilla,N,CB,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,0.0,0.0,/en/matches/0c4b8772/Sevilla-Arsenal-October-24-2023-Champions-League,1.0,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,89.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,84.0,89.3,8.0,68.0,0.0,0.0,0.0,/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,1.0,0.8333333333333334,0.0729166666666666
9,9,9,9,9,9,9,9,2023-11-01,Wed,EFL Cup,Fourth round,Away,L 1–3,Arsenal,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,0.0,0.8333333333333334,0.5
10,10,10,10,10,10,10,10,2023-11-08,Wed,Champions Lg,Group stage,Home,W 2–0,eng Arsenal,es Sevilla,N,LB,6,0,0,0,0,0,0,0,0,8.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,1.0,4.0,1.0,0.0,0.0,/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,1.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,2023-11-11,Sat,Premier League,Matchweek 12,Home,W 3–1,Arsenal,Burnley,N,CB,2,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,1.0,0.6666666666666666,0.0777777777777777
