,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,W 3–0,Brighton,Watford,Y,LW,63,0,0,0,0,1,1,0,0,20.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,9.0,17.0,52.9,0.0,8.0,1.0,1.0,1.0,/en/matches/38111659/Watford-Brighton-and-Hove-Albion-August-10-2019-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 0–2,Brighton,Southampton,N,LM,23,0,0,0,0,1,0,0,0,9.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,1.0,4.0,25.0,0.0,4.0,0.0,0.0,0.0,/en/matches/baece203/Brighton-and-Hove-Albion-Southampton-August-24-2019-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2019-08-31,Sat,Bundesliga,Matchweek 3,Away,D 0–0,Hoffenheim,Leverkusen,N,FW,29,0,0,0,0,1,0,0,0,8.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/754f3cb7/Bayer-Leverkusen-Hoffenheim-August-31-2019-Bundesliga,0.5,0.5,0.5
3,3,3,3,3,3,3,2019-09-15,Sun,Bundesliga,Matchweek 4,Home,L 0–3,Hoffenheim,Freiburg,N,FW,45,0,0,0,0,3,0,0,0,21.0,0.0,0,0.0,0.2,0.2,0.0,5.0,0.0,12.0,15.0,80.0,1.0,11.0,0.0,0.0,0.0,/en/matches/be861db2/Hoffenheim-Freiburg-September-15-2019-Bundesliga,0.0,0.5,0.5
4,4,4,4,4,4,4,2019-09-28,Sat,Bundesliga,Matchweek 6,Home,L 0–3,Hoffenheim,M'Gladbach,N,CB,24,0,0,0,0,1,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,5.0,1.0,0.0,0.0,/en/matches/d009d532/Hoffenheim-Monchengladbach-September-28-2019-Bundesliga,0.0,0.1666666666666666,0.5
5,5,5,5,5,5,5,2019-10-26,Sat,Bundesliga,Matchweek 9,Away,W 3–2,Hoffenheim,Hertha BSC,Y,FW,60,1,0,0,0,2,2,0,0,30.0,2.0,0,1.0,0.3,0.3,0.0,0.0,0.0,12.0,20.0,60.0,0.0,18.0,1.0,0.0,0.0,/en/matches/985da3c2/Hertha-BSC-Hoffenheim-October-26-2019-Bundesliga,1.0,0.1666666666666666,0.5
6,6,6,6,6,6,6,2019-10-29,Tue,DFB-Pokal,Second round,Away,W 2–0,Hoffenheim,MSV Duisburg,Y,FW,61,0,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/5c6164d2/MSV-Duisburg-Hoffenheim-October-29-2019-DFB-Pokal,1.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,2019-11-01,Fri,Bundesliga,Matchweek 10,Home,W 3–0,Hoffenheim,Paderborn 07,Y,FW,68,1,0,0,0,1,1,0,0,22.0,0.0,0,0.0,0.3,0.3,0.0,2.0,1.0,16.0,20.0,80.0,0.0,18.0,3.0,1.0,1.0,/en/matches/4c950eb6/Hoffenheim-Paderborn-07-November-1-2019-Bundesliga,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,2019-11-08,Fri,Bundesliga,Matchweek 11,Away,W 2–1,Hoffenheim,Köln,Y,FW,90,1,0,1,1,2,1,1,0,34.0,1.0,0,0.0,1.2,0.4,0.1,3.0,0.0,20.0,27.0,74.1,2.0,20.0,0.0,0.0,0.0,/en/matches/f25c3751/Koln-Hoffenheim-November-8-2019-Bundesliga,1.0,1.0,0.5
9,9,9,9,9,9,9,2019-11-24,Sun,Bundesliga,Matchweek 12,Home,L 1–5,Hoffenheim,Mainz 05,Y,FW,90,0,0,0,0,3,1,0,0,26.0,1.0,0,0.0,0.4,0.4,0.0,1.0,0.0,14.0,20.0,70.0,2.0,15.0,0.0,0.0,0.0,/en/matches/4ec1e85a/Hoffenheim-Mainz-05-November-24-2019-Bundesliga,0.0,1.0,0.5
