,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-13,Sun,Premier League,Matchweek 1,Home,D 2–2,Brentford,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,34.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,32.0,71.9,0.0,22.0,0.0,0.0,0.0,/en/matches/67ed3ba2/Brentford-Tottenham-Hotspur-August-13-2023-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-19,Sat,Premier League,Matchweek 2,Away,W 3–0,Brentford,Fulham,Y,GK,90,0,0,0,0,0,0,0,0,55.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,54.0,81.5,0.0,42.0,0.0,1.0,0.0,/en/matches/46be83af/Fulham-Brentford-August-19-2023-Premier-League,1.0,0.5,0.5104166666666666
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-08-26,Sat,Premier League,Matchweek 3,Home,D 1–1,Brentford,Crystal Palace,Y,GK,90,0,0,0,0,0,0,0,0,51.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,48.0,95.8,0.0,31.0,0.0,0.0,0.0,/en/matches/537b2b0b/Brentford-Crystal-Palace-August-26-2023-Premier-League,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-02,Sat,Premier League,Matchweek 4,Home,D 2–2,Brentford,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,59.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,56.0,76.8,1.0,24.0,0.0,0.0,0.0,/en/matches/e2946b10/Brentford-Bournemouth-September-2-2023-Premier-League,0.5,0.6666666666666666,0.34523809523809523
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-07,Thu,Euro Qualifying,Group stage,Home,W 3–0,nl Netherlands,gr Greece,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/0f788310/Netherlands-Greece-September-7-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-10,Sun,Euro Qualifying,Group stage,Away,W 2–1,nl Netherlands,ie Rep. of Ireland,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/24e4bf78/Republic-of-Ireland-Netherlands-September-10-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-16,Sat,Premier League,Matchweek 5,Away,L 0–1,Brentford,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,1,0,48.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,46.5,0.0,33.0,0.0,0.0,0.0,/en/matches/71b7e5e2/Newcastle-United-Brentford-September-16-2023-Premier-League,0.0,0.8333333333333334,0.1666666666666666
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-23,Sat,Premier League,Matchweek 6,Home,L 1–3,Brentford,Everton,Y,GK,90,0,0,0,0,0,0,0,0,61.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,61.0,86.9,0.0,40.0,0.0,0.0,0.0,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League,0.0,0.6666666666666666,0.4230769230769231
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-27,Wed,EFL Cup,Third round,Home,L 0–1,Brentford,Arsenal,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/80d68b2d/Brentford-Arsenal-September-27-2023-EFL-Cup,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-10-01,Sun,Premier League,Matchweek 7,Away,D 1–1,Brentford,Nott'ham Forest,Y,GK,90,0,0,0,0,0,0,0,0,37.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,37.0,94.6,0.0,30.0,0.0,0.0,0.0,/en/matches/923467c5/Nottingham-Forest-Brentford-October-1-2023-Premier-League,0.5,0.0,0.4374999999999999
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-10-21,Sat,Premier League,Matchweek 9,Home,W 3–0,Brentford,Burnley,Y,GK,90,0,0,0,0,0,0,0,0,40.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,76.9,0.0,23.0,0.0,1.0,1.0,/en/matches/52781f37/Brentford-Burnley-October-21-2023-Premier-League,1.0,0.1666666666666666,0.4062499999999999
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-10-28,Sat,Premier League,Matchweek 10,Away,W 2–0,Brentford,Chelsea,Y,GK,90,0,0,0,0,0,0,0,0,49.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,48.0,68.8,0.0,19.0,0.0,0.0,0.0,/en/matches/91e3b922/Chelsea-Brentford-October-28-2023-Premier-League,1.0,0.5,0.7666666666666668
