,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2022-08-13,Sat,Premier League,Matchweek 2,Away,D 0–0,Fulham,Wolves,N,"RW,LW",8,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,2.0,1.0,0.0,0.0,/en/matches/669b1665/Wolverhampton-Wanderers-Fulham-August-13-2022-Premier-League,0.5,0.5,0.4880952380952381
1,1,1,1,1,1,1,2022-08-20,Sat,Premier League,Matchweek 3,Home,W 3–2,Fulham,Brentford,Y,RW,76,0,0,0,0,2.0,0.0,0,0,28.0,0.0,1.0,4.0,0.3,0.3,0.1,4.0,1.0,8.0,17.0,47.1,0.0,9.0,1.0,0.0,0.0,/en/matches/a107c037/Fulham-Brentford-August-20-2022-Premier-League,1.0,0.5,0.5444444444444445
2,2,2,2,2,2,2,2022-08-23,Tue,EFL Cup,Second round,Away,L 0–2,Fulham,Crawley Town,Y,FW,90,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/356c3c63/Crawley-Town-Fulham-August-23-2022-EFL-Cup,0.0,0.5,0.5
3,3,3,3,3,3,3,2022-08-27,Sat,Premier League,Matchweek 4,Away,L 1–2,Fulham,Arsenal,N,"LW,CB",3,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,/en/matches/8b69fd2d/Arsenal-Fulham-August-27-2022-Premier-League,0.0,0.5,0.9285714285714286
4,4,4,4,4,4,4,2022-09-03,Sat,League One,Matchweek 7,Home,W 1–0,Exeter City,MK Dons,N,,12,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0e97e354/Exeter-City-Milton-Keynes-Dons-September-3-2022-League-One,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,5,2022-09-13,Tue,League One,Matchweek 9,Away,L 2–3,Exeter City,Shrewsbury,N,,19,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0381b65c/Shrewsbury-Town-Exeter-City-September-13-2022-League-One,0.0,0.3333333333333333,0.5
6,6,6,6,6,6,6,2022-09-17,Sat,League One,Matchweek 10,Home,L 0–2,Exeter City,Burton Albion,Y,FW,69,0,0,0,0,3.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/64c556d8/Exeter-City-Burton-Albion-September-17-2022-League-One,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,2022-09-24,Sat,League One,Matchweek 11,Away,W 4–0,Exeter City,FG Rovers,Y,FW,75,0,1,0,0,2.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/bccad6e2/Forest-Green-Rovers-Exeter-City-September-24-2022-League-One,1.0,0.3333333333333333,0.5
8,8,8,8,8,8,8,2022-10-01,Sat,League One,Matchweek 12,Home,D 2–2,Exeter City,Bristol Rovers,Y,FW,68,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/3b8f2a6b/Exeter-City-Bristol-Rovers-October-1-2022-League-One,0.5,0.3333333333333333,0.5
9,9,9,9,9,9,9,2022-10-08,Sat,League One,Matchweek 14,Away,W 2–0,Exeter City,Barnsley,Y,FW,69,2,0,0,0,2.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/6931dd7c/Barnsley-Exeter-City-October-8-2022-League-One,1.0,0.5,0.5
