,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2020-09-12,Sat,Premier League,Matchweek 1,Home,L 0–3,Fulham,Arsenal,Y,RW,62,0,0,0,0,1.0,0.0,0,0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,25.0,76.0,0.0,24.0,4.0,2.0,2.0,/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League,0.0,0.5,0.4880952380952381
1,1,1,1,1,1,1,1,1,2020-09-16,Wed,EFL Cup,Second round,Away,W 1–0,Fulham,Ipswich Town,Y,AM,90,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/ec354b22/Ipswich-Town-Fulham-September-16-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 3–4,Fulham,Leeds United,N,RW,33,0,0,0,0,1.0,0.0,0,0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,9.0,1.0,3.0,1.0,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,0.0,0.5,0.4615384615384615
3,3,3,3,3,3,3,3,3,2020-09-23,Wed,EFL Cup,Third round,Home,W 2–0,Fulham,Sheffield Weds,Y,AM,90,0,0,0,0,1.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/6277bf5f/Fulham-Sheffield-Wednesday-September-23-2020-EFL-Cup,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,2020-09-28,Mon,Premier League,Matchweek 3,Home,L 0–3,Fulham,Aston Villa,N,RW,13,0,0,0,0,1.0,0.0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,8.0,2.0,0.0,0.0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,0.0,0.6666666666666666,0.6071428571428571
5,5,5,5,5,5,5,5,5,2020-10-01,Thu,EFL Cup,Fourth round,Away,L 0–3,Fulham,Brentford,Y,AM,90,0,0,0,0,5.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/38aa0182/Brentford-Fulham-October-1-2020-EFL-Cup,0.0,0.3333333333333333,0.5
6,6,6,6,6,6,6,6,6,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 0–1,Fulham,Wolves,N,AM,10,0,0,0,0,3.0,0.0,0,0,8.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,0.0,0.0,0.0,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League,0.0,0.3333333333333333,0.2023809523809523
7,7,7,7,7,7,7,7,7,2020-10-09,Fri,Friendlies (M),Friendlies (M),Neutral,L 0–3,cd Congo DR,bf Burkina Faso,Y,AM,60,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e904d8d6/Burkina-Faso-Congo-DR-October-9-2020-Friendlies-M,0.0,0.0,0.5
8,8,8,8,8,8,8,8,8,2020-10-13,Tue,Friendlies (M),Friendlies (M),Away,D 1–1,cd Congo DR,ma Morocco,N,,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/02977dd1/Morocco-Congo-DR-October-13-2020-Friendlies-M,0.5,0.0,0.5
9,9,9,9,9,9,9,9,9,2020-11-14,Sat,Africa Cup of Nations qualification,Group stage,Home,D 0–0,cd Congo DR,ao Angola,Y,FW,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e181baca/Congo-DR-Angola-November-14-2020-Africa-Cup-of-Nations-qualification,0.5,0.1666666666666666,0.5
10,10,10,10,10,10,10,10,10,2020-11-17,Tue,Africa Cup of Nations qualification,Group stage,Away,W 1–0,cd Congo DR,ao Angola,N,,37,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4dc46da5/Angola-Congo-DR-November-17-2020-Africa-Cup-of-Nations-qualification,1.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,2020-12-26,Sat,Premier League,Matchweek 15,Home,D 0–0,Fulham,Southampton,N,FW,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League,0.5,0.6666666666666666,0.5128205128205128
12,12,12,12,12,12,12,12,12,2021-01-09,Sat,FA Cup,Third round proper,Away,W 2–0,Fulham,QPR,N,,43,1,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/75c17e4f/Queens-Park-Rangers-Fulham-January-9-2021-FA-Cup,1.0,0.6666666666666666,0.5
13,13,13,13,13,13,13,13,13,2021-01-24,Sun,FA Cup,Fourth round proper,Home,L 0–3,Fulham,Burnley,N,,23,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/05c9adfe/Fulham-Burnley-January-24-2021-FA-Cup,0.0,0.8333333333333334,0.5
