,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,2022-08-08,Mon,PL2 — Div. 1,Matchweek 1,Away,W 7–1,Chelsea,Wolverhampton Wanderers,Y,LM,82,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/228bb478/Wolverhampton-Wanderers-U21-Chelsea-U21-August-8-2022-Premier-League-2----Division-1,1.0,0.5,0.5
1,1,1,1,1,2022-08-15,Mon,PL2 — Div. 1,Matchweek 2,Home,L 0–3,Chelsea,Fulham,N,,24,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/1cd1aef5/Chelsea-U21-Fulham-U21-August-15-2022-Premier-League-2----Division-1,0.0,0.5,0.5
2,2,2,2,2,2022-08-20,Sat,PL2 — Div. 1,Matchweek 3,Away,L 1–4,Chelsea,Arsenal,Y,LM,67,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4805b119/Arsenal-U21-Chelsea-U21-August-20-2022-Premier-League-2----Division-1,0.0,0.5,0.5
3,3,3,3,3,2022-08-26,Fri,PL2 — Div. 1,Matchweek 4,Home,D 2–2,Chelsea,Manchester City,N,,23,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/6c9523ef/Chelsea-U21-Manchester-City-U21-August-26-2022-Premier-League-2----Division-1,0.5,0.3333333333333333,0.5
4,4,4,4,4,2022-09-03,Sat,PL2 — Div. 1,Matchweek 5,Away,W 2–0,Chelsea,Everton,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/01561f7b/Everton-U21-Chelsea-U21-September-3-2022-Premier-League-2----Division-1,1.0,0.1666666666666666,0.5
5,5,5,5,5,2022-09-17,Sat,PL2 — Div. 1,Matchweek 7,Away,D 3–3,Chelsea,Crystal Palace,Y,CM,76,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/4bb77f57/Crystal-Palace-U21-Chelsea-U21-September-17-2022-Premier-League-2----Division-1,0.5,0.5,0.5
6,6,6,6,6,2022-10-01,Sat,PL2 — Div. 1,Matchweek 8,Home,D 2–2,Chelsea,Leicester City,Y,DM,77,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/f0e1c8a3/Chelsea-U21-Leicester-City-U21-October-1-2022-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
7,7,7,7,7,2022-10-08,Sat,PL2 — Div. 1,Matchweek 9,Away,W 1–0,Chelsea,West Ham United,Y,CB,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/541ae209/West-Ham-United-U21-Chelsea-U21-October-8-2022-Premier-League-2----Division-1,1.0,0.6666666666666666,0.5
8,8,8,8,8,2022-10-15,Sat,PL2 — Div. 1,Matchweek 10,Home,D 3–3,Chelsea,Manchester Utd,Y,CB,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4040cc3c/Chelsea-U21-Manchester-United-U21-October-15-2022-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
9,9,9,9,9,2022-10-22,Sat,PL2 — Div. 1,Matchweek 11,Home,W 3–0,Chelsea,Blackburn Rovers,Y,DM,73,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/0262af6c/Chelsea-U21-Blackburn-Rovers-U21-October-22-2022-Premier-League-2----Division-1,1.0,0.6666666666666666,0.5
10,10,10,10,10,2022-10-30,Sun,PL2 — Div. 1,Matchweek 12,Away,D 2–2,Chelsea,Brighton,Y,DM,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/df9a81c9/Brighton-and-Hove-Albion-U21-Chelsea-U21-October-30-2022-Premier-League-2----Division-1,0.5,0.8333333333333334,0.5
11,11,11,11,11,2022-11-09,Wed,EFL Cup,Third round,Away,L 0–2,Chelsea,Manchester City,Y,LM,74,0,0,0,0,2.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/828fe798/Manchester-City-Chelsea-November-9-2022-EFL-Cup,0.0,0.6666666666666666,0.5
12,12,12,12,12,2022-11-12,Sat,Premier League,Matchweek 16,Away,L 0–1,Chelsea,Newcastle Utd,Y,"WB,LB",72,0,0,0,0,0.0,0.0,0,0,39.0,1.0,3.0,0.0,0.0,0.0,0.1,2.0,0.0,20.0,29.0,69.0,0.0,23.0,2.0,5.0,2.0,/en/matches/e1b3eb1b/Newcastle-United-Chelsea-November-12-2022-Premier-League,0.0,0.5,0.8444444444444446
