,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,2021-08-22,Sun,Premier League,Matchweek 2,Home,L 0–2,Arsenal,Chelsea,Y,CB,90,0,0,0,0,1,0,1,0,50.0,2.0,0,6.0,0.1,0.1,0.0,0.0,0.0,25.0,36.0,69.4,1.0,22.0,0.0,0.0,0.0,/en/matches/93954213/North-West-London-Derby-Arsenal-Chelsea-August-22-2021-Premier-League,0.0,0.5,0.5357142857142857
1,1,1,1,1,1,1,1,1,1,2021-08-25,Wed,EFL Cup,Second round,Away,W 6–0,Arsenal,West Brom,Y,CB,90,0,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,/en/matches/3d303a43/West-Bromwich-Albion-Arsenal-August-25-2021-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Away,L 0–5,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,33.0,3.0,2,5.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,77.8,1.0,18.0,0.0,0.0,0.0,/en/matches/d4650aa2/Manchester-City-Arsenal-August-28-2021-Premier-League,0.0,0.5,0.4642857142857142
3,3,3,3,3,3,3,3,3,3,2021-09-22,Wed,EFL Cup,Third round,Home,W 3–0,Arsenal,AFC Wimbledon,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ea446884/Arsenal-AFC-Wimbledon-September-22-2021-EFL-Cup,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,2021-10-26,Tue,EFL Cup,Fourth round,Home,W 2–0,Arsenal,Leeds United,Y*,CB,75,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup,1.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,2021-12-11,Sat,Premier League,Matchweek 16,Home,W 3–0,Arsenal,Southampton,N,CB,22,0,0,0,0,1,0,0,0,24.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,86.4,1.0,13.0,1.0,0.0,0.0,/en/matches/6a35f07c/Arsenal-Southampton-December-11-2021-Premier-League,1.0,0.6666666666666666,0.3717948717948717
6,6,6,6,6,6,6,6,6,6,2021-12-21,Tue,EFL Cup,Quarter-finals,Home,W 5–1,Arsenal,Sunderland,Y*,CB,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/072fa153/Arsenal-Sunderland-December-21-2021-EFL-Cup,1.0,1.0,0.5
7,7,7,7,7,7,7,7,7,7,2021-12-26,Sun,Premier League,Matchweek 19,Away,W 5–0,Arsenal,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,69.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,51.0,59.0,86.4,2.0,38.0,0.0,1.0,0.0,/en/matches/83ce723b/Norwich-City-Arsenal-December-26-2021-Premier-League,1.0,1.0,0.1666666666666666
8,8,8,8,8,8,8,8,8,8,2022-01-01,Sat,Premier League,Matchweek 21,Home,L 1–2,Arsenal,Manchester City,N,CB,28,0,0,0,0,0,0,1,0,12.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,/en/matches/a9903a63/Arsenal-Manchester-City-January-1-2022-Premier-League,0.0,1.0,0.5
9,9,9,9,9,9,9,9,9,9,2022-01-09,Sun,FA Cup,Third round proper,Away,L 0–1,Arsenal,Nott'ham Forest,Y*,CB,90,0,0,0,0,2,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/cd639503/Nottingham-Forest-Arsenal-January-9-2022-FA-Cup,0.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,2022-01-13,Thu,EFL Cup,Semi-finals,Away,D 0–0,Arsenal,Liverpool,N,,63,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/16ed0d3e/Liverpool-Arsenal-January-13-2022-EFL-Cup,0.5,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,2022-01-23,Sun,Premier League,Matchweek 23,Home,D 0–0,Arsenal,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,101.0,0.0,0,1.0,0.1,0.1,0.0,0.0,0.0,85.0,96.0,88.5,4.0,71.0,2.0,0.0,0.0,/en/matches/845ec84d/Arsenal-Burnley-January-23-2022-Premier-League,0.5,0.1666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,2022-02-10,Thu,Premier League,Matchweek 24,Away,W 1–0,Arsenal,Wolves,N,CB,20,0,0,0,0,0,0,0,0,11.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/bf5f0f9e/Wolverhampton-Wanderers-Arsenal-February-10-2022-Premier-League,1.0,0.3333333333333333,0.5
