,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2019-08-09,Fri,PL2 — Div. 2,Matchweek 1,Away,W 5–0,Manchester Utd,West Brom,Y,DM,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/79ac1142/West-Bromwich-Albion-U23-Manchester-United-U23-August-9-2019-Premier-League-2----Division-2,1.0,0.5,0.5
1,1,1,2019-08-16,Fri,PL2 — Div. 2,Matchweek 2,Home,W 2–0,Manchester Utd,Reading,Y,DM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/cc1f6482/Manchester-United-U23-Reading-U23-August-16-2019-Premier-League-2----Division-2,1.0,0.5,0.5
2,2,2,2019-08-23,Fri,PL2 — Div. 2,Matchweek 3,Away,W 4–0,Manchester Utd,Newcastle Utd,Y,DM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ce817276/Newcastle-United-U23-Manchester-United-U23-August-23-2019-Premier-League-2----Division-2,1.0,0.5,0.5
3,3,3,2019-09-13,Fri,PL2 — Div. 2,Matchweek 5,Home,W 1–0,Manchester Utd,Fulham,Y,DM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/3fbe9695/Manchester-United-U23-Fulham-U23-September-13-2019-Premier-League-2----Division-2,1.0,1.0,0.5
4,4,4,2019-09-27,Fri,PL2 — Div. 2,Matchweek 7,Home,W 2–0,Manchester Utd,Norwich City,Y*,DM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/2dde404e/Manchester-United-U23-Norwich-City-U23-September-27-2019-Premier-League-2----Division-2,1.0,1.0,0.5
5,5,5,2019-10-24,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,rs Partizan,Y,"CM,DM",81,0,0,0,0,1.0,0.0,0,0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,41.0,82.9,1.0,24.0,0.0,2.0,0.0,/en/matches/27ad0187/Partizan-Manchester-United-October-24-2019-Europa-League,1.0,1.0,0.5
6,6,6,2019-10-27,Sun,Premier League,Matchweek 10,Away,W 3–1,Manchester Utd,Norwich City,N,RM,9,0,0,0,0,0.0,0.0,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,14.0,100.0,0.0,7.0,0.0,0.0,0.0,/en/matches/a31a1d67/Norwich-City-Manchester-United-October-27-2019-Premier-League,1.0,1.0,0.26190476190476186
7,7,7,2019-11-07,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,rs Partizan,N,DM,28,0,0,0,0,0.0,0.0,0,0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,0.0,15.0,0.0,0.0,0.0,/en/matches/879dcaa5/Manchester-United-Partizan-November-7-2019-Europa-League,1.0,1.0,0.5
8,8,8,2019-11-28,Thu,Europa Lg,Group stage,Away,L 1–2,eng Manchester Utd,kz Astana FK,Y,DM,83,0,0,0,0,1.0,0.0,0,0,94.0,3.0,2.0,0.0,0.1,0.1,0.0,5.0,0.0,83.0,85.0,97.6,6.0,61.0,2.0,2.0,2.0,/en/matches/f65db418/Astana-FK-Manchester-United-November-28-2019-Europa-League,0.0,1.0,0.5
9,9,9,2019-12-09,Mon,PL2 — Div. 2,Matchweek 12,Home,W 3–1,Manchester Utd,West Brom,Y,DM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b9f710fe/Manchester-United-U23-West-Bromwich-Albion-U23-December-9-2019-Premier-League-2----Division-2,1.0,0.6666666666666666,0.5
