,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-25,Sat,Matchweek 5,Away,L 1–3,Newcastle Utd,Liverpool,Y,LM,90,0,0,0,1,0,0,2,2,2,0,0,0,5,1,2,33.3,/en/matches/cde24fee/Liverpool-Newcastle-United-September-14-2019-Premier-League
1,2019-08-25,Sat,Matchweek 6,Home,D 0–0,Newcastle Utd,Brighton,Y,"LM,RM",90,1,0,0,1,0,0,1,0,0,0,0,0,7,1,1,50.0,/en/matches/966fb8b0/Newcastle-United-Brighton-and-Hove-Albion-September-21-2019-Premier-League
2,2019-08-25,Sun,Matchweek 7,Away,L 0–5,Newcastle Utd,Leicester City,Y,LW,90,0,0,0,0,1,0,2,1,0,0,0,0,4,2,1,66.7,/en/matches/40d77688/Leicester-City-Newcastle-United-September-29-2019-Premier-League
3,2019-08-25,Sun,Matchweek 8,Home,W 1–0,Newcastle Utd,Manchester Utd,N,LM,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,/en/matches/e4a80056/Newcastle-United-Manchester-United-October-6-2019-Premier-League
4,2019-08-25,Sat,Matchweek 9,Away,L 0–1,Newcastle Utd,Chelsea,N,LM,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,/en/matches/c17538b0/Chelsea-Newcastle-United-October-19-2019-Premier-League
5,2019-08-25,Sun,Matchweek 10,Home,D 1–1,Newcastle Utd,Wolves,N,CM,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,/en/matches/efe2b576/Newcastle-United-Wolverhampton-Wanderers-October-27-2019-Premier-League
6,2019-08-25,Sat,Matchweek 11,Away,W 3–2,Newcastle Utd,West Ham,N,LM,14,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,,/en/matches/ac4523c2/West-Ham-United-Newcastle-United-November-2-2019-Premier-League
7,2019-08-25,Sat,Matchweek 12,Home,W 2–1,Newcastle Utd,Bournemouth,N,LM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,/en/matches/698f846d/Newcastle-United-Bournemouth-November-9-2019-Premier-League
8,2019-08-25,Mon,Matchweek 13,Away,L 0–2,Newcastle Utd,Aston Villa,N,RM,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,/en/matches/f6f8808e/Aston-Villa-Newcastle-United-November-25-2019-Premier-League
9,2019-08-25,Sat,Matchweek 14,Home,D 2–2,Newcastle Utd,Manchester City,N,LM,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,/en/matches/f43fa290/Newcastle-United-Manchester-City-November-30-2019-Premier-League
10,2019-08-25,Thu,Matchweek 15,Away,W 2–0,Newcastle Utd,Sheffield Utd,N,LM,10,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,,/en/matches/8a9fa2d9/Sheffield-United-Newcastle-United-December-5-2019-Premier-League
11,2019-08-25,Sun,Matchweek 16,Home,W 2–1,Newcastle Utd,Southampton,N,"On matchday squad, but did not play",/en/matches/5d9f7fe3/Newcastle-United-Southampton-December-8-2019-Premier-League,,,,,,,,,,,,,,,,,
12,2019-08-25,Sat,Matchweek 17,Away,L 0–1,Newcastle Utd,Burnley,Y,RM,79,0,0,0,1,1,0,1,0,0,0,0,0,2,1,1,50.0,/en/matches/4c3c57fa/Burnley-Newcastle-United-December-14-2019-Premier-League
13,2019-08-25,Sat,Matchweek 18,Home,W 1–0,Newcastle Utd,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/5e599d06/Newcastle-United-Crystal-Palace-December-21-2019-Premier-League,,,,,,,,,,,,,,,,,
14,2019-08-25,Thu,Matchweek 19,Away,L 1–4,Newcastle Utd,Manchester Utd,N,"LM,LW",32,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,,/en/matches/b3d5292f/Manchester-United-Newcastle-United-December-26-2019-Premier-League
15,2019-08-25,Sat,Matchweek 20,Home,L 1–2,Newcastle Utd,Everton,N,"RM,LB",17,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,,/en/matches/6edbd555/Newcastle-United-Everton-December-28-2019-Premier-League
16,2019-08-25,Wed,Matchweek 21,Home,L 0–3,Newcastle Utd,Leicester City,N,"On matchday squad, but did not play",/en/matches/a7902bb1/Newcastle-United-Leicester-City-January-1-2020-Premier-League,,,,,,,,,,,,,,,,,
17,2019-08-25,Sat,Matchweek 22,Away,D 1–1,Newcastle Utd,Wolves,N,RM,63,1,0,0,2,0,1,1,1,0,0,0,0,2,0,3,0.0,/en/matches/d5b1eda9/Wolverhampton-Wanderers-Newcastle-United-January-11-2020-Premier-League
18,2019-08-25,Sat,Matchweek 23,Home,W 1–0,Newcastle Utd,Chelsea,N,"On matchday squad, but did not play",/en/matches/e5a20f1e/Newcastle-United-Chelsea-January-18-2020-Premier-League,,,,,,,,,,,,,,,,,
19,2019-08-25,Tue,Matchweek 24,Away,D 2–2,Newcastle Utd,Everton,Y,LM,61,0,0,0,1,1,0,0,1,2,0,0,0,0,0,1,0.0,/en/matches/33b8c50a/Everton-Newcastle-United-January-21-2020-Premier-League
20,2019-08-25,Sat,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,N,"On matchday squad, but did not play",/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League,,,,,,,,,,,,,,,,,
21,2019-08-25,Sun,Matchweek 26,Away,L 0–4,Newcastle Utd,Arsenal,N,"On matchday squad, but did not play",/en/matches/6ce374b0/Arsenal-Newcastle-United-February-16-2020-Premier-League,,,,,,,,,,,,,,,,,
22,2019-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2019-08-25,Wed,Matchweek 34,Away,L 0–5,Newcastle Utd,Manchester City,N,CM,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,/en/matches/426dcb15/Manchester-City-Newcastle-United-July-8-2020-Premier-League
24,2019-08-25,Sat,Matchweek 35,Away,L 1–2,Newcastle Utd,Watford,N,"On matchday squad, but did not play",/en/matches/ae59ff28/Watford-Newcastle-United-July-11-2020-Premier-League,,,,,,,,,,,,,,,,,
25,2019-08-25,Wed,Matchweek 36,Home,L 1–3,Newcastle Utd,Tottenham,N,"On matchday squad, but did not play",/en/matches/21cbea56/Newcastle-United-Tottenham-Hotspur-July-15-2020-Premier-League,,,,,,,,,,,,,,,,,
26,2019-08-25,Mon,Matchweek 37,Away,D 0–0,Newcastle Utd,Brighton,N,"On matchday squad, but did not play",/en/matches/9defdd38/Brighton-and-Hove-Albion-Newcastle-United-July-20-2020-Premier-League,,,,,,,,,,,,,,,,,
