,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2020-09-23,Wed,EFL Cup,Third round,Home,L 0–2,Leicester City,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/6d62a0f4/Leicester-City-Arsenal-September-23-2020-EFL-Cup,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,2020-10-29,Thu,Europa Lg,Group stage,Away,W 2–1,eng Leicester City,gr AEK Athens,N,WB,45,0,0,0,0,0,0,1,0,31.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,22.0,63.6,0.0,17.0,0.0,1.0,0.0,/en/matches/ec5211d9/AEK-Athens-Leicester-City-October-29-2020-Europa-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2020-11-02,Mon,Premier League,Matchweek 7,Away,W 4–1,Leicester City,Leeds United,Y,WB,90,0,0,0,0,1,1,1,0,45.0,4.0,1,2.0,0.0,0.0,0.0,1.0,0.0,9.0,22.0,40.9,0.0,16.0,1.0,1.0,1.0,/en/matches/55d775ec/Leeds-United-Leicester-City-November-2-2020-Premier-League,1.0,0.5,0.5833333333333333
3,3,3,3,3,3,3,3,3,2020-11-05,Thu,Europa Lg,Group stage,Home,W 4–0,eng Leicester City,pt Braga,Y,WB,90,0,0,0,0,0,0,0,0,38.0,1.0,0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,35.0,71.4,2.0,17.0,3.0,2.0,2.0,/en/matches/b8b6d30f/Leicester-City-Braga-November-5-2020-Europa-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,2020-11-08,Sun,Premier League,Matchweek 8,Home,W 1–0,Leicester City,Wolves,Y,WB,45,0,0,0,0,0,0,0,0,25.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,52.6,0.0,16.0,1.0,3.0,1.0,/en/matches/8407be08/Leicester-City-Wolverhampton-Wanderers-November-8-2020-Premier-League,1.0,1.0,0.761904761904762
5,5,5,5,5,5,5,5,5,2020-11-26,Thu,Europa Lg,Group stage,Away,D 3–3,eng Leicester City,pt Braga,Y,WB,90,1,0,0,0,2,1,0,0,54.0,0.0,2,3.0,0.7,0.7,0.0,1.0,0.0,23.0,46.0,50.0,1.0,29.0,2.0,1.0,0.0,/en/matches/d415d953/Braga-Leicester-City-November-26-2020-Europa-League,0.5,1.0,0.5
6,6,6,6,6,6,6,6,6,2020-11-30,Mon,Premier League,Matchweek 10,Home,L 1–2,Leicester City,Fulham,Y,WB,45,0,0,0,0,0,0,0,0,13.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,7.0,0.0,1.0,0.0,/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League,0.0,0.8333333333333334,0.2976190476190476
7,7,7,7,7,7,7,7,7,2020-12-03,Thu,Europa Lg,Group stage,Away,L 0–1,eng Leicester City,ua Zorya Luhansk,N,LB,45,0,0,0,0,1,0,0,0,33.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,75.9,3.0,20.0,1.0,2.0,2.0,/en/matches/819adac5/Zorya-Luhansk-Leicester-City-December-3-2020-Europa-League,0.0,0.5,0.5
8,8,8,8,8,8,8,8,8,2020-12-10,Thu,Europa Lg,Group stage,Home,W 2–0,eng Leicester City,gr AEK Athens,Y,LB,90,0,1,0,0,0,0,0,0,81.0,1.0,0,0.0,0.0,0.0,0.1,2.0,1.0,72.0,78.0,92.3,6.0,56.0,5.0,1.0,0.0,/en/matches/1ba15715/Leicester-City-AEK-Athens-December-10-2020-Europa-League,1.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,2020-12-28,Mon,Premier League,Matchweek 16,Away,D 1–1,Leicester City,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,75.0,0.0,1,1.0,0.0,0.0,0.0,2.0,0.0,49.0,63.0,77.8,3.0,36.0,0.0,2.0,1.0,/en/matches/77437741/Crystal-Palace-Leicester-City-December-28-2020-Premier-League,0.5,0.3333333333333333,0.3461538461538461
