,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-15,Sun,La Liga,Matchweek 1,Away,W 2–1,Atlético Madrid,Celta Vigo,Y,"LW,CM",90,0,1,0,0,1,0,0,0,74.0,4.0,0,2.0,0.1,0.1,0.1,2.0,1.0,50.0,64.0,78.1,3.0,30.0,1.0,2.0,1.0,/en/matches/c1065902/Celta-Vigo-Atletico-Madrid-August-15-2021-La-Liga,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-22,Sun,La Liga,Matchweek 2,Home,W 1–0,Atlético Madrid,Elche,Y,"LW,CM",90,0,0,0,0,2,0,0,0,53.0,3.0,0,5.0,0.2,0.2,0.0,1.0,0.0,39.0,43.0,90.7,2.0,23.0,3.0,0.0,0.0,/en/matches/80604449/Atletico-Madrid-Elche-August-22-2021-La-Liga,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-29,Sun,La Liga,Matchweek 3,Home,D 2–2,Atlético Madrid,Villarreal,N,FW,21,0,0,0,0,1,0,0,0,11.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,6.0,10.0,60.0,0.0,5.0,0.0,0.0,0.0,/en/matches/ac93ead3/Atletico-Madrid-Villarreal-August-29-2021-La-Liga,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-11,Sat,Premier League,Matchweek 4,Home,W 3–0,Chelsea,Aston Villa,Y,CM,45,0,0,0,0,0,0,0,0,42.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,38.0,81.6,3.0,18.0,0.0,0.0,0.0,/en/matches/67bbc3a5/Chelsea-Aston-Villa-September-11-2021-Premier-League,1.0,0.8333333333333334,0.6071428571428571
4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-22,Wed,EFL Cup,Third round,Home,D 1 (4)–1 (3),Chelsea,Aston Villa,Y,CM,75,0,0,0,0,3,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/29251311/Chelsea-Aston-Villa-September-22-2021-EFL-Cup,0.5,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Chelsea,se Malmö,N,CM,26,0,0,0,0,1,0,0,0,31.0,1.0,0,2.0,0.1,0.1,0.0,0.0,0.0,18.0,23.0,78.3,0.0,12.0,0.0,2.0,1.0,/en/matches/615bb75f/Chelsea-Malmo-October-20-2021-Champions-League,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-26,Tue,EFL Cup,Fourth round,Home,D 1 (4)–1 (3),Chelsea,Southampton,Y,DM,90,0,0,0,0,4,3,0,0,,,1,,,,,,,,,,,,,,,/en/matches/026f8b03/Chelsea-Southampton-October-26-2021-EFL-Cup,0.5,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-30,Sat,Premier League,Matchweek 10,Away,W 3–0,Chelsea,Newcastle Utd,N,AM,3,0,0,0,0,0,0,0,0,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,2.0,0.0,0.0,0.0,/en/matches/49478cd2/Newcastle-United-Chelsea-October-30-2021-Premier-League,1.0,0.6666666666666666,0.2499999999999999
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-11-23,Tue,Champions Lg,Group stage,Home,W 4–0,eng Chelsea,it Juventus,N,CM,15,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,17.0,100.0,2.0,6.0,0.0,0.0,0.0,/en/matches/8b15222a/Chelsea-Juventus-November-23-2021-Champions-League,1.0,0.8333333333333334,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,2021-12-01,Wed,Premier League,Matchweek 14,Away,W 2–1,Chelsea,Watford,Y,CM,45,0,0,0,0,1,0,1,0,19.0,2.0,0,1.0,0.2,0.2,0.0,0.0,0.0,10.0,13.0,76.9,0.0,6.0,0.0,0.0,0.0,/en/matches/f475576b/Watford-Chelsea-December-1-2021-Premier-League,1.0,0.8333333333333334,0.3809523809523809
