,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2021-08-21,Sat,Matchweek 4,Home,W 3–0,Crystal Palace,Tottenham,N,"On matchday squad, but did not play",/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League,,,,,,,,,,,,,,,,,
1,2021-08-21,Sat,Matchweek 5,Away,L 0–3,Crystal Palace,Liverpool,N,"On matchday squad, but did not play",/en/matches/59ef8c18/Liverpool-Crystal-Palace-September-18-2021-Premier-League,,,,,,,,,,,,,,,,,
2,2021-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-21,Sun,Matchweek 7,Home,D 2–2,Crystal Palace,Leicester City,N,"On matchday squad, but did not play",/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League,,,,,,,,,,,,,,,,,
4,2021-08-21,Mon,Matchweek 8,Away,D 2–2,Crystal Palace,Arsenal,N,CB,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,/en/matches/0f3a1892/Arsenal-Crystal-Palace-October-18-2021-Premier-League
5,2021-08-21,Sat,Matchweek 9,Home,D 1–1,Crystal Palace,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/4d1b6f6f/Crystal-Palace-Newcastle-United-October-23-2021-Premier-League,,,,,,,,,,,,,,,,,
6,2021-08-21,Sat,Matchweek 10,Away,W 2–0,Crystal Palace,Manchester City,N,"On matchday squad, but did not play",/en/matches/eb6c294f/Manchester-City-Crystal-Palace-October-30-2021-Premier-League,,,,,,,,,,,,,,,,,
7,2021-08-21,Sat,Matchweek 11,Home,W 2–0,Crystal Palace,Wolves,N,"On matchday squad, but did not play",/en/matches/3a2fff4d/Crystal-Palace-Wolverhampton-Wanderers-November-6-2021-Premier-League,,,,,,,,,,,,,,,,,
8,2021-08-21,Sat,Matchweek 12,Away,D 3–3,Crystal Palace,Burnley,N,"On matchday squad, but did not play",/en/matches/e7ab34c4/Burnley-Crystal-Palace-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,
9,2021-08-21,Sat,Matchweek 13,Home,L 1–2,Crystal Palace,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,1,0,0,0,0,10,0,0,,/en/matches/4a7a9e3b/Crystal-Palace-Aston-Villa-November-27-2021-Premier-League
10,2021-08-21,Tue,Matchweek 14,Away,L 0–1,Crystal Palace,Leeds United,Y,CB,90,0,0,0,1,0,0,0,2,0,0,0,0,5,2,1,66.7,/en/matches/b0ab4044/Leeds-United-Crystal-Palace-November-30-2021-Premier-League
11,2021-08-21,Sun,Matchweek 15,Away,L 0–1,Crystal Palace,Manchester Utd,Y,CB,90,0,0,0,2,0,0,0,0,2,0,0,0,6,5,1,83.3,/en/matches/8d10c8d4/Manchester-United-Crystal-Palace-December-5-2021-Premier-League
12,2021-08-21,Sun,Matchweek 16,Home,W 3–1,Crystal Palace,Everton,Y,CB,90,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,/en/matches/02abf29a/Crystal-Palace-Everton-December-12-2021-Premier-League
13,2021-08-21,Wed,Matchweek 17,Home,D 2–2,Crystal Palace,Southampton,Y,CB,80,1,0,0,3,1,0,0,1,1,0,0,0,6,1,1,50.0,/en/matches/9ebb60f0/Crystal-Palace-Southampton-December-15-2021-Premier-League
14,2021-08-21,Sun,Matchweek 19,Away,L 0–3,Crystal Palace,Tottenham,Y,CB,90,1,0,0,1,0,0,0,0,0,0,0,0,2,2,1,66.7,/en/matches/ac4560d6/Tottenham-Hotspur-Crystal-Palace-December-26-2021-Premier-League
15,2021-08-21,Tue,Matchweek 20,Home,W 3–0,Crystal Palace,Norwich City,N,CB,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,/en/matches/59ef01ea/Crystal-Palace-Norwich-City-December-28-2021-Premier-League
16,2021-08-21,Sat,Matchweek 21,Home,L 2–3,Crystal Palace,West Ham,N,"On matchday squad, but did not play",/en/matches/b0b5cba6/Crystal-Palace-West-Ham-United-January-1-2022-Premier-League,,,,,,,,,,,,,,,,,
17,2021-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2021-08-21,Wed,Matchweek 24,Away,D 1–1,Crystal Palace,Norwich City,N,"On matchday squad, but did not play",/en/matches/22d9fbc9/Norwich-City-Crystal-Palace-February-9-2022-Premier-League,,,,,,,,,,,,,,,,,
19,2021-08-21,Sat,Matchweek 25,Away,D 0–0,Crystal Palace,Brentford,N,"On matchday squad, but did not play",/en/matches/427597d4/Brentford-Crystal-Palace-February-12-2022-Premier-League,,,,,,,,,,,,,,,,,
20,2021-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2021-08-21,Mon,Matchweek 29,Home,D 0–0,Crystal Palace,Manchester City,N,"On matchday squad, but did not play",/en/matches/f5b6f5c5/Crystal-Palace-Manchester-City-March-14-2022-Premier-League,,,,,,,,,,,,,,,,,
22,2021-08-21,Mon,Matchweek 31,Home,W 3–0,Crystal Palace,Arsenal,N,"On matchday squad, but did not play",/en/matches/d96b144a/Crystal-Palace-Arsenal-April-4-2022-Premier-League,,,,,,,,,,,,,,,,,
23,2021-08-21,Sun,Matchweek 32,Away,L 1–2,Crystal Palace,Leicester City,N,"On matchday squad, but did not play",/en/matches/816c435d/Leicester-City-Crystal-Palace-April-10-2022-Premier-League,,,,,,,,,,,,,,,,,
24,2021-08-21,Wed,Matchweek 30,Away,L 0–1,Crystal Palace,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/7a668764/Newcastle-United-Crystal-Palace-April-20-2022-Premier-League,,,,,,,,,,,,,,,,,
25,2021-08-21,Mon,Matchweek 34,Home,D 0–0,Crystal Palace,Leeds United,N,"On matchday squad, but did not play",/en/matches/1a9f4c1e/Crystal-Palace-Leeds-United-April-25-2022-Premier-League,,,,,,,,,,,,,,,,,
26,2021-08-21,Sat,Matchweek 35,Away,W 2–1,Crystal Palace,Southampton,N,"On matchday squad, but did not play",/en/matches/d260be24/Southampton-Crystal-Palace-April-30-2022-Premier-League,,,,,,,,,,,,,,,,,
27,2021-08-21,Sat,Matchweek 36,Home,W 1–0,Crystal Palace,Watford,N,"On matchday squad, but did not play",/en/matches/1206a1df/Crystal-Palace-Watford-May-7-2022-Premier-League,,,,,,,,,,,,,,,,,
