,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,2021-08-15,Sun,Ligue 1,Matchweek 2,Away,L 0–3,Lyon,Angers,Y,CM,45,0,0,0,0,0.0,0.0,0,0,37.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,76.5,4.0,23.0,2.0,0.0,0.0,/en/matches/90346ee2/Angers-Lyon-August-15-2021-Ligue-1,0.0,0.5,0.5
1,1,1,1,2021-08-22,Sun,Ligue 1,Matchweek 3,Home,D 3–3,Lyon,Clermont Foot,Y,DM,82,0,0,0,0,0.0,0.0,1,0,79.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,62.0,68.0,91.2,12.0,58.0,3.0,4.0,3.0,/en/matches/6cf6252f/Lyon-Clermont-Foot-August-22-2021-Ligue-1,0.5,0.5,0.5
2,2,2,2,2021-08-27,Fri,Ligue 1,Matchweek 4,Away,W 1–0,Lyon,Nantes,Y,DM,90,0,0,0,0,1.0,0.0,0,0,86.0,2.0,0.0,1.0,0.1,0.1,0.4,3.0,0.0,73.0,79.0,92.4,8.0,47.0,4.0,3.0,2.0,/en/matches/3215e7eb/Nantes-Lyon-August-27-2021-Ligue-1,1.0,0.5,0.5
3,3,3,3,2021-09-02,Thu,WCQ,WCQ — CONMEBOL (M),Away,W 1–0,br Brazil,cl Chile,Y,CM,45,0,0,0,0,0.0,0.0,1,0,,,2.0,,,,,,,,,,,,,,,/en/matches/86e9755d/Chile-Brazil-September-2-2021-WCQ----CONMEBOL-M,1.0,0.5,0.5
4,4,4,4,2021-09-09,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 2–0,br Brazil,pe Peru,N,,13,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/412055d2/Brazil-Peru-September-9-2021-WCQ----CONMEBOL-M,1.0,0.8333333333333334,0.5
5,5,5,5,2021-09-12,Sun,Ligue 1,Matchweek 5,Home,W 3–1,Lyon,Strasbourg,Y,DM,89,0,1,0,0,1.0,1.0,0,0,85.0,0.0,1.0,0.0,0.0,0.0,0.5,5.0,2.0,64.0,78.0,82.1,10.0,66.0,3.0,5.0,5.0,/en/matches/aae0c87a/Lyon-Strasbourg-September-12-2021-Ligue-1,1.0,1.0,0.5
6,6,6,6,2021-09-16,Thu,Europa Lg,Group stage,Away,W 2–0,fr Lyon,sct Rangers,Y,CM,90,0,1,0,0,0.0,0.0,0,0,74.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,61.0,67.0,91.0,10.0,43.0,2.0,5.0,5.0,/en/matches/90a8e1dd/Rangers-Lyon-September-16-2021-Europa-League,1.0,1.0,0.5
7,7,7,7,2021-09-19,Sun,Ligue 1,Matchweek 6,Away,L 1–2,Lyon,Paris S-G,Y,DM,90,0,0,0,0,1.0,0.0,0,0,79.0,4.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,61.0,66.0,92.4,10.0,61.0,4.0,4.0,2.0,/en/matches/94943e52/Paris-Saint-Germain-Lyon-September-19-2021-Ligue-1,0.0,1.0,0.5
8,8,8,8,2021-09-22,Wed,Ligue 1,Matchweek 7,Home,W 3–1,Lyon,Troyes,Y,DM,90,0,1,0,0,1.0,1.0,0,0,88.0,1.0,2.0,1.0,0.0,0.0,0.4,5.0,2.0,65.0,75.0,86.7,7.0,65.0,3.0,5.0,2.0,/en/matches/2c536cdf/Lyon-Troyes-September-22-2021-Ligue-1,1.0,0.6666666666666666,0.5
9,9,9,9,2021-09-25,Sat,Ligue 1,Matchweek 8,Home,D 1–1,Lyon,Lorient,Y,"DM,CM",90,0,0,0,0,1.0,0.0,0,0,80.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,47.0,65.0,72.3,11.0,49.0,8.0,2.0,1.0,/en/matches/730af461/Lyon-Lorient-September-25-2021-Ligue-1,0.5,0.6666666666666666,0.5
