,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
29,Sun,Premier League,Matchweek 25,Away,L 0–2,Chelsea,Tottenham,Y,GK,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,21,23,91.3,0,11,0,0,0,Match Report
30,Sat,Premier League,Matchweek 26,Home,W 1–0,Chelsea,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,25,34,73.5,0,19,0,0,0,Match Report
31,Tue,Champions Lg,Round of 16,Home,W 2–0,eng Chelsea,de Dortmund,Y,GK,90,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,20,0,0,0,Match Report
32,Sat,Premier League,Matchweek 27,Away,W 3–1,Chelsea,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,22,0,0,0,Match Report
33,Sat,Premier League,Matchweek 28,Home,D 2–2,Chelsea,Everton,Y,GK,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,33,39,84.6,0,24,0,0,0,Match Report
34,Sat,Euro Qualifying,Group stage,Home,W 3–0,es Spain,no Norway,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
35,Tue,Euro Qualifying,Group stage,Away,L 0–2,es Spain,sct Scotland,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
36,Sat,Premier League,Matchweek 29,Home,L 0–2,Chelsea,Aston Villa,Y,GK,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,14,16,87.5,0,11,0,0,0,Match Report
37,Tue,Premier League,Matchweek 8,Home,D 0–0,Chelsea,Liverpool,Y,GK,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,28,0,0,0,Match Report
38,Sat,Premier League,Matchweek 30,Away,L 0–1,Chelsea,Wolves,Y,GK,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,31,44,70.5,0,26,0,0,0,Match Report
39,Wed,Champions Lg,Quarter-finals,Away,L 0–2,eng Chelsea,es Real Madrid,Y,GK,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,29,41,70.7,0,32,0,0,0,Match Report
40,Sat,Premier League,Matchweek 31,Home,L 1–2,Chelsea,Brighton,Y*,GK,90,0,0,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,0,0,46,66,69.7,0,48,0,1,1,Match Report
41,Tue,Champions Lg,Quarter-finals,Home,L 0–2,eng Chelsea,es Real Madrid,Y,GK,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,22,0,0,0,Match Report
42,Wed,Premier League,Matchweek 33,Home,L 0–2,Chelsea,Brentford,Y,GK,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,12,0,0,0,Match Report
43,Tue,Premier League,Matchweek 34,Away,L 1–3,Chelsea,Arsenal,Y,GK,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,19,24,79.2,0,11,0,0,0,Match Report
44,Sat,Premier League,Matchweek 35,Away,W 3–1,Chelsea,Bournemouth,Y,GK,90,0,0,0,0,0,0,0,0,40,0,1,0,0.0,0.0,0.0,0,0,35,39,89.7,0,20,0,0,0,Match Report
45,Sat,Premier League,Matchweek 36,Home,D 2–2,Chelsea,Nott'ham Forest,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Sun,Premier League,Matchweek 37,Away,L 0–1,Chelsea,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,31,0,0,0,Match Report
47,Thu,Premier League,Matchweek 32,Away,L 1–4,Chelsea,Manchester Utd,Y,GK,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,40,43,93.0,0,19,0,0,0,Match Report
48,Sun,Premier League,Matchweek 38,Home,D 1–1,Chelsea,Newcastle Utd,Y,GK,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,29,31,93.5,0,25,0,0,0,Match Report
49,Thu,UEFA Nations League,Semi-finals,Neutral,W 2–1,es Spain,it Italy,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Sun,UEFA Nations League,Final,Neutral,D 0 (5)–0 (4),es Spain,hr Croatia,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,13-10-18,,,41/41,,"3,645",0,0,0,0,0,0,3,0,1407,2,2,0,0.0,0.0,0.0,1,0,1070,1319,81.1,1,856,0,1,1,
