,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-13,Sun,Premier League,Matchweek 1,Home,L 0–3,West Brom,Leicester City,Y*,CM,90,0,0,0,0,0.0,0.0,0,0,33.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,27.0,74.1,1.0,14.0,0.0,0.0,0.0,/en/matches/7dd01ca9/West-Bromwich-Albion-Leicester-City-September-13-2020-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 2–5,West Brom,Everton,Y*,CM,90,0,0,0,0,2.0,0.0,0,0,42.0,2.0,3.0,2.0,0.1,0.1,0.0,1.0,0.0,22.0,29.0,75.9,2.0,13.0,0.0,0.0,0.0,/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League,0.0,0.5,0.5952380952380951
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-26,Sat,Premier League,Matchweek 3,Home,D 3–3,West Brom,Chelsea,Y*,CM,90,0,0,0,0,0.0,0.0,0,0,28.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,14.0,24.0,58.3,0.0,8.0,0.0,0.0,0.0,/en/matches/d725a16c/West-Bromwich-Albion-Chelsea-September-26-2020-Premier-League,0.5,0.5,0.5595238095238095
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 0–2,West Brom,Southampton,Y*,"DM,AM",90,0,0,0,0,0.0,0.0,1,0,35.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,23.0,78.3,3.0,8.0,0.0,1.0,0.0,/en/matches/39864083/Southampton-West-Bromwich-Albion-October-4-2020-Premier-League,0.0,0.1666666666666666,0.358974358974359
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-19,Mon,Premier League,Matchweek 5,Home,D 0–0,West Brom,Burnley,Y*,DM,90,0,0,0,0,0.0,0.0,1,0,46.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,82.9,3.0,22.0,0.0,0.0,0.0,/en/matches/13f3ae88/West-Bromwich-Albion-Burnley-October-19-2020-Premier-League,0.5,0.1666666666666666,0.2051282051282051
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-26,Mon,Premier League,Matchweek 6,Away,D 1–1,West Brom,Brighton,Y*,DM,62,0,0,0,0,0.0,0.0,0,0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,4.0,21.0,0.0,0.0,0.0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League,0.5,0.3333333333333333,0.2976190476190475
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-11-02,Mon,Premier League,Matchweek 7,Away,L 0–2,West Brom,Fulham,Y*,CM,55,0,0,0,0,0.0,0.0,0,0,19.0,4.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,13.0,16.0,81.3,0.0,5.0,0.0,1.0,1.0,/en/matches/f2b91282/Fulham-West-Bromwich-Albion-November-2-2020-Premier-League,0.0,0.3333333333333333,0.2261904761904761
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-11-08,Sun,Premier League,Matchweek 8,Home,L 0–1,West Brom,Tottenham,Y*,CM,88,0,0,0,0,2.0,0.0,0,0,41.0,2.0,1.0,3.0,0.1,0.1,0.0,1.0,0.0,17.0,24.0,70.8,2.0,10.0,0.0,0.0,0.0,/en/matches/90c0e34c/West-Bromwich-Albion-Tottenham-Hotspur-November-8-2020-Premier-League,0.0,0.3333333333333333,0.7857142857142857
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-12-15,Tue,Premier League,Matchweek 13,Away,D 1–1,West Brom,Manchester City,Y*,CM,79,0,0,0,0,0.0,0.0,0,0,26.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,18.0,50.0,2.0,9.0,0.0,0.0,0.0,/en/matches/40b42ca1/Manchester-City-West-Bromwich-Albion-December-15-2020-Premier-League,0.5,0.1666666666666666,0.7948717948717948
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-12-20,Sun,Premier League,Matchweek 14,Home,L 0–3,West Brom,Aston Villa,Y*,CM,35,0,0,0,0,0.0,0.0,0,1,17.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,16.0,68.8,1.0,12.0,0.0,0.0,0.0,/en/matches/4bbe55ff/West-Bromwich-Albion-Aston-Villa-December-20-2020-Premier-League,0.0,0.1666666666666666,0.4393939393939394
