,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2019-09-24,Tue,EFL Cup,Third round,Away,W 4–0,Leicester City,Luton Town,Y,RB,90,1,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/6244e915/Luton-Town-Leicester-City-September-24-2019-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,2019-10-29,Tue,EFL Cup,Fourth round,Away,W 3–1,Leicester City,Burton Albion,Y,RB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/85106595/Burton-Albion-Leicester-City-October-29-2019-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2019-12-04,Wed,Premier League,Matchweek 15,Home,W 2–0,Leicester City,Watford,N,WB,11,0,1,0,0,0,0,0,0,15.0,1.0,0,0.0,0.0,0.0,0.4,2.0,1.0,12.0,14.0,85.7,2.0,8.0,1.0,1.0,1.0,/en/matches/8b04b0d5/Leicester-City-Watford-December-4-2019-Premier-League,1.0,0.5,0.2976190476190476
3,3,3,3,3,3,3,3,2019-12-08,Sun,Premier League,Matchweek 16,Away,W 4–1,Leicester City,Aston Villa,N,LB,11,0,0,0,0,0,0,0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,2.0,7.0,3.0,0.0,0.0,/en/matches/559e812a/Aston-Villa-Leicester-City-December-8-2019-Premier-League,1.0,1.0,0.4642857142857142
4,4,4,4,4,4,4,4,2019-12-28,Sat,Premier League,Matchweek 20,Away,W 2–1,Leicester City,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,85.0,2.0,1,2.0,0.0,0.0,0.0,1.0,1.0,59.0,72.0,81.9,5.0,46.0,1.0,2.0,1.0,/en/matches/1f2bd890/West-Ham-United-Leicester-City-December-28-2019-Premier-League,1.0,1.0,0.3214285714285714
5,5,5,5,5,5,5,5,2020-01-04,Sat,FA Cup,Third round,Home,W 2–0,Leicester City,Wigan Athletic,Y,RB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5e1d79b5/Leicester-City-Wigan-Athletic-January-4-2020-FA-Cup,1.0,1.0,0.5
6,6,6,6,6,6,6,6,2020-01-25,Sat,FA Cup,Fourth round,Away,W 1–0,Leicester City,Brentford,Y,RB,90,0,1,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/eac53bf0/Brentford-Leicester-City-January-25-2020-FA-Cup,1.0,1.0,0.5
7,7,7,7,7,7,7,7,2020-03-09,Mon,Premier League,Matchweek 29,Home,W 4–0,Leicester City,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,93.0,1.0,0,0.0,0.0,0.0,0.1,5.0,1.0,65.0,83.0,78.3,8.0,54.0,4.0,6.0,2.0,/en/matches/76f492dc/Leicester-City-Aston-Villa-March-9-2020-Premier-League,1.0,1.0,0.5
8,8,8,8,8,8,8,8,2020-06-20,Sat,Premier League,Matchweek 30,Away,D 1–1,Leicester City,Watford,Y,RB,90,0,0,0,0,0,0,0,0,108.0,7.0,1,1.0,0.0,0.0,0.1,3.0,0.0,76.0,95.0,80.0,7.0,58.0,1.0,0.0,0.0,/en/matches/e5f403c2/Watford-Leicester-City-June-20-2020-Premier-League,0.5,1.0,0.5
9,9,9,9,9,9,9,9,2020-06-23,Tue,Premier League,Matchweek 31,Home,D 0–0,Leicester City,Brighton,Y,RB,90,0,0,0,0,0,0,1,0,93.0,3.0,1,2.0,0.0,0.0,0.0,1.0,0.0,68.0,82.0,82.9,4.0,62.0,3.0,1.0,1.0,/en/matches/481a9a3a/Leicester-City-Brighton-and-Hove-Albion-June-23-2020-Premier-League,0.5,0.8333333333333334,0.5
10,10,10,10,10,10,10,10,2020-06-28,Sun,FA Cup,Quarter-finals,Home,L 0–1,Leicester City,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/40607a06/Leicester-City-Chelsea-June-28-2020-FA-Cup,0.0,0.6666666666666666,0.5
11,11,11,11,11,11,11,11,2020-07-01,Wed,Premier League,Matchweek 32,Away,L 1–2,Leicester City,Everton,Y,RB,90,0,0,0,0,1,0,0,0,87.0,2.0,0,1.0,0.0,0.0,0.1,1.0,0.0,65.0,81.0,80.2,7.0,60.0,2.0,0.0,0.0,/en/matches/c2c7ebbf/Everton-Leicester-City-July-1-2020-Premier-League,0.0,0.3333333333333333,0.5
12,12,12,12,12,12,12,12,2020-07-04,Sat,Premier League,Matchweek 33,Home,W 3–0,Leicester City,Crystal Palace,Y,CB,90,0,0,0,0,2,0,0,0,75.0,7.0,2,0.0,0.1,0.1,0.0,0.0,0.0,48.0,57.0,84.2,1.0,45.0,1.0,1.0,0.0,/en/matches/88e800c1/Leicester-City-Crystal-Palace-July-4-2020-Premier-League,1.0,0.1666666666666666,0.5
13,13,13,13,13,13,13,13,2020-07-07,Tue,Premier League,Matchweek 34,Away,D 1–1,Leicester City,Arsenal,Y,"RM,RB",90,0,0,0,0,2,0,0,0,63.0,4.0,0,3.0,0.1,0.1,0.1,3.0,0.0,39.0,47.0,83.0,4.0,29.0,5.0,1.0,1.0,/en/matches/a26b0a22/Arsenal-Leicester-City-July-7-2020-Premier-League,0.5,0.3333333333333333,0.5
14,14,14,14,14,14,14,14,2020-07-12,Sun,Premier League,Matchweek 35,Away,L 1–4,Leicester City,Bournemouth,Y,"WB,RB,CB",90,0,0,0,0,0,0,0,0,83.0,1.0,1,0.0,0.0,0.0,0.0,3.0,0.0,57.0,77.0,74.0,4.0,47.0,3.0,0.0,0.0,/en/matches/d2adf574/Bournemouth-Leicester-City-July-12-2020-Premier-League,0.0,0.5,0.5
15,15,15,15,15,15,15,15,2020-07-16,Thu,Premier League,Matchweek 36,Home,W 2–0,Leicester City,Sheffield Utd,Y,RM,90,0,0,0,0,0,0,0,0,56.0,0.0,2,1.0,0.0,0.0,0.1,1.0,0.0,34.0,44.0,77.3,1.0,29.0,2.0,5.0,2.0,/en/matches/0903cee0/Leicester-City-Sheffield-United-July-16-2020-Premier-League,1.0,0.5,0.5
16,16,16,16,16,16,16,16,2020-07-19,Sun,Premier League,Matchweek 37,Away,L 0–3,Leicester City,Tottenham,Y,"RB,RM",90,0,0,0,0,2,0,0,0,102.0,4.0,1,2.0,0.1,0.1,0.1,2.0,0.0,77.0,90.0,85.6,7.0,56.0,3.0,0.0,0.0,/en/matches/d4ce66f6/Tottenham-Hotspur-Leicester-City-July-19-2020-Premier-League,0.0,0.5,0.5
17,17,17,17,17,17,17,17,2020-07-26,Sun,Premier League,Matchweek 38,Home,L 0–2,Leicester City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,81.0,4.0,2,3.0,0.0,0.0,0.1,3.0,0.0,56.0,68.0,82.4,4.0,46.0,1.0,0.0,0.0,/en/matches/3873cc78/Leicester-City-Manchester-United-July-26-2020-Premier-League,0.0,0.3333333333333333,0.5
