,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2023-08-27,Sun,Premier League,Matchweek 3,Home,L 1–2,Newcastle Utd,Liverpool,N,LB,4,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,100.0,0.0,6.0,0.0,0.0,0.0,/en/matches/b31156ab/Newcastle-United-Liverpool-August-27-2023-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,2023-09-02,Sat,Premier League,Matchweek 4,Away,L 1–3,Newcastle Utd,Brighton,Y,LB,73,0,0,0,0,0,0,1,0,44.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,34.0,85.3,2.0,28.0,1.0,2.0,0.0,/en/matches/4f754e0a/Brighton-and-Hove-Albion-Newcastle-United-September-2-2023-Premier-League,0.0,0.5,0.6041666666666666
2,2,2,2,2,2,2,2023-09-27,Wed,EFL Cup,Third round,Home,W 1–0,Newcastle Utd,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/ea61505c/Newcastle-United-Manchester-City-September-27-2023-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,2023-10-04,Wed,Champions Lg,Group stage,Home,W 4–1,eng Newcastle Utd,fr Paris S-G,N,LB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/4d5a6bf1/Newcastle-United-Paris-Saint-Germain-October-4-2023-Champions-League,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Newcastle Utd,West Ham,N,LW,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/017c9ca5/West-Ham-United-Newcastle-United-October-8-2023-Premier-League,0.5,0.6666666666666666,0.717948717948718
5,5,5,5,5,5,5,2023-10-25,Wed,Champions Lg,Group stage,Home,L 0–1,eng Newcastle Utd,de Dortmund,N,LB,21,0,0,0,0,0,0,0,0,30.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,25.0,30.0,83.3,5.0,10.0,1.0,0.0,0.0,/en/matches/ab67c6cc/Newcastle-United-Dortmund-October-25-2023-Champions-League,0.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,2023-11-01,Wed,EFL Cup,Fourth round,Away,W 3–0,Newcastle Utd,Manchester Utd,Y,CM,4,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7ce66c13/Manchester-United-Newcastle-United-November-1-2023-EFL-Cup,1.0,0.5,0.5
