,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,W 3–1,Everton,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,52.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,27.0,43.0,62.8,3.0,23.0,0.0,0.0,0.0,/en/matches/c99ebbf5/Everton-Southampton-August-14-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-24,Tue,EFL Cup,Second round,Away,W 2–1,Everton,Huddersfield,Y*,CB,90,0,0,0,0,0,0,0,0,,,3,,,,,,,,,,,,,,,/en/matches/46940c87/Huddersfield-Town-Everton-August-24-2021-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Away,W 2–0,Everton,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,46.0,1.0,4,2.0,0.0,0.0,0.0,0.0,0.0,26.0,37.0,70.3,3.0,23.0,0.0,0.0,0.0,/en/matches/ec8b667a/Brighton-and-Hove-Albion-Everton-August-28-2021-Premier-League,1.0,0.5,0.5357142857142857
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-21,Tue,EFL Cup,Third round,Away,D 2 (7)–2 (8),Everton,QPR,Y,CB,90,0,0,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d02210bf/Queens-Park-Rangers-Everton-September-21-2021-EFL-Cup,0.5,1.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-11-01,Mon,Premier League,Matchweek 10,Away,L 1–2,Everton,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,53.0,2.0,0,3.0,0.5,0.5,0.0,0.0,0.0,31.0,44.0,70.5,4.0,25.0,0.0,0.0,0.0,/en/matches/c9ad66cc/Wolverhampton-Wanderers-Everton-November-1-2021-Premier-League,0.0,0.8333333333333334,0.7619047619047619
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-11-07,Sun,Premier League,Matchweek 11,Home,D 0–0,Everton,Tottenham,N,CM,8,0,0,0,0,0,0,0,1,2.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League,0.5,0.5,0.6428571428571429
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-12-06,Mon,Premier League,Matchweek 15,Home,W 2–1,Everton,Arsenal,N,CB,60,0,0,0,0,0,0,0,0,37.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,19.0,29.0,65.5,0.0,11.0,0.0,1.0,0.0,/en/matches/5fdb6c19/Everton-Arsenal-December-6-2021-Premier-League,1.0,0.3333333333333333,0.4404761904761903
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-12-12,Sun,Premier League,Matchweek 16,Away,L 1–3,Everton,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,61.0,4.0,1,2.0,0.0,0.0,0.0,0.0,0.0,33.0,48.0,68.8,2.0,24.0,0.0,0.0,0.0,/en/matches/02abf29a/Crystal-Palace-Everton-December-12-2021-Premier-League,0.0,0.5,0.0952380952380952
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-12-16,Thu,Premier League,Matchweek 17,Away,D 1–1,Everton,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,22.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,28.6,1.0,3.0,0.0,0.0,0.0,/en/matches/70209eb1/Chelsea-Everton-December-16-2021-Premier-League,0.5,0.5,0.630952380952381
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-01-02,Sun,Premier League,Matchweek 21,Home,L 2–3,Everton,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,66.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,38.0,60.0,63.3,4.0,27.0,1.0,1.0,1.0,/en/matches/e22bb565/Everton-Brighton-and-Hove-Albion-January-2-2022-Premier-League,0.0,0.5,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2022-01-22,Sat,Premier League,Matchweek 23,Home,L 0–1,Everton,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,54.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,31.0,48.0,64.6,0.0,24.0,0.0,0.0,0.0,/en/matches/83bac3da/Everton-Aston-Villa-January-22-2022-Premier-League,0.0,0.1666666666666666,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-02-05,Sat,FA Cup,Fourth round proper,Home,W 4–1,Everton,Brentford,Y,CB,90,1,0,0,0,1,1,0,0,,,2,,,,,,,,,,,,,,,/en/matches/311b1a4c/Everton-Brentford-February-5-2022-FA-Cup,1.0,0.1666666666666666,0.5
