,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Home,L 0–3,Norwich City,Liverpool,Y*,CB,90,0,0,0,0,1.0,0.0,0,0,67.0,1.0,1.0,1.0,0.4,0.4,0.5,1.0,0.0,47.0,53.0,88.7,0.0,43.0,0.0,0.0,0.0,/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Away,L 0–5,Norwich City,Manchester City,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,51.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,43.0,97.7,0.0,28.0,0.0,0.0,0.0,/en/matches/ab6db0d6/Manchester-City-Norwich-City-August-21-2021-Premier-League,0.0,0.5,0.4523809523809524
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,L 1–2,Norwich City,Leicester City,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,77.5,2.0,25.0,0.0,0.0,0.0,/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League,0.0,0.5,0.6309523809523808
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-01,Wed,WCQ,First round,Away,L 0–2,sct Scotland,dk Denmark,Y,CB,90,0,0,0,0,1.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/42e7a972/Denmark-Scotland-September-1-2021-WCQ----UEFA-M,0.0,0.0,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-04,Sat,WCQ,First round,Home,W 1–0,sct Scotland,md Moldova,Y,CB,90,0,0,0,0,2.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/62c130a1/Scotland-Moldova-September-4-2021-WCQ----UEFA-M,1.0,0.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-07,Tue,WCQ,First round,Away,W 1–0,sct Scotland,at Austria,Y,CB,90,0,0,0,0,0.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0c0e9a3b/Austria-Scotland-September-7-2021-WCQ----UEFA-M,1.0,0.3333333333333333,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-11,Sat,Premier League,Matchweek 4,Away,L 0–1,Norwich City,Arsenal,Y*,CB,90,0,0,0,0,0.0,0.0,1,0,66.0,0.0,1.0,3.0,0.0,0.0,0.1,1.0,0.0,48.0,54.0,88.9,2.0,39.0,0.0,1.0,0.0,/en/matches/4ac58f71/Arsenal-Norwich-City-September-11-2021-Premier-League,0.0,0.6666666666666666,0.4642857142857143
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-18,Sat,Premier League,Matchweek 5,Home,L 1–3,Norwich City,Watford,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,58.0,3.0,4.0,0.0,0.0,0.0,0.1,1.0,0.0,40.0,42.0,95.2,3.0,37.0,0.0,0.0,0.0,/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League,0.0,0.6666666666666666,0.4523809523809523
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-21,Tue,EFL Cup,Third round,Home,L 0–3,Norwich City,Liverpool,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/1d32b710/Norwich-City-Liverpool-September-21-2021-EFL-Cup,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-25,Sat,Premier League,Matchweek 6,Away,L 0–2,Norwich City,Everton,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,72.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,51.0,58.0,87.9,1.0,44.0,0.0,2.0,1.0,/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League,0.0,0.0,0.5238095238095238
