,Unnamed: 0.34,Unnamed: 0.33,Unnamed: 0.32,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-15,Sun,Premier League,Matchweek 1,Away,W 4–2,West Ham,Newcastle Utd,Y,AM,87,1,1,0,0,3.0,1.0,0,0,45.0,1.0,0.0,0.0,0.4,0.4,0.3,5.0,2.0,25.0,36.0,69.4,3.0,29.0,4.0,1.0,1.0,/en/matches/41091264/Newcastle-United-West-Ham-United-August-15-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-23,Mon,Premier League,Matchweek 2,Home,W 4–1,West Ham,Leicester City,Y,LW,87,1,1,0,0,2.0,2.0,0,0,50.0,0.0,0.0,0.0,0.4,0.4,0.2,3.0,1.0,32.0,40.0,80.0,2.0,36.0,2.0,1.0,1.0,/en/matches/1d07228e/West-Ham-United-Leicester-City-August-23-2021-Premier-League,1.0,0.5,0.5238095238095238
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,D 2–2,West Ham,Crystal Palace,Y,"AM,LW",90,0,0,0,0,1.0,1.0,0,0,38.0,2.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,27.0,31.0,87.1,6.0,25.0,0.0,2.0,1.0,/en/matches/8e017435/West-Ham-United-Crystal-Palace-August-28-2021-Premier-League,0.5,0.5,0.2222222222222221
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-02,Thu,WCQ,Second round,Home,W 8–0,dz Algeria,dj Djibouti,N,,31,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/56d53f94/Algeria-Djibouti-September-2-2021-WCQ----CAF-M,1.0,0.8333333333333334,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-07,Tue,WCQ,Second round,Away,D 1–1,dz Algeria,bf Burkina Faso,N,,23,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/1fc4cd6b/Burkina-Faso-Algeria-September-7-2021-WCQ----CAF-M,0.5,0.8333333333333334,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-11,Sat,Premier League,Matchweek 4,Away,D 0–0,West Ham,Southampton,Y,AM,62,0,0,0,0,2.0,0.0,0,0,50.0,0.0,1.0,1.0,0.1,0.1,0.2,4.0,0.0,28.0,40.0,70.0,2.0,36.0,3.0,1.0,0.0,/en/matches/ddff1858/Southampton-West-Ham-United-September-11-2021-Premier-League,0.5,0.6666666666666666,0.5384615384615384
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-16,Thu,Europa Lg,Group stage,Away,W 2–0,eng West Ham,hr Dinamo Zagreb,N,AM,40,0,0,0,0,2.0,0.0,0,0,25.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,14.0,18.0,77.8,3.0,17.0,0.0,2.0,0.0,/en/matches/e7e7f198/Dinamo-Zagreb-West-Ham-United-September-16-2021-Europa-League,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 1–2,West Ham,Manchester Utd,Y,FW,87,1,0,0,0,3.0,1.0,0,0,52.0,2.0,0.0,1.0,0.1,0.1,0.2,2.0,0.0,29.0,41.0,70.7,1.0,33.0,1.0,3.0,3.0,/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League,0.0,0.6666666666666666,0.619047619047619
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-25,Sat,Premier League,Matchweek 6,Away,W 2–1,West Ham,Leeds United,Y,"LW,AM,RM",90,0,0,0,0,5.0,1.0,0,0,48.0,4.0,1.0,0.0,0.2,0.2,0.3,7.0,0.0,28.0,34.0,82.4,4.0,28.0,4.0,7.0,3.0,/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League,1.0,0.5,0.4285714285714285
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-30,Thu,Europa Lg,Group stage,Home,W 2–0,eng West Ham,at Rapid Wien,Y,"LW,FW",90,1,0,0,0,2.0,1.0,0,0,55.0,2.0,0.0,1.0,0.2,0.2,0.1,3.0,0.0,32.0,38.0,84.2,2.0,34.0,2.0,8.0,4.0,/en/matches/d2ff6580/West-Ham-United-Rapid-Wien-September-30-2021-Europa-League,1.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-10-03,Sun,Premier League,Matchweek 7,Home,L 1–2,West Ham,Brentford,Y,AM,90,0,0,0,0,5.0,2.0,0,0,44.0,2.0,0.0,0.0,0.2,0.2,0.1,4.0,0.0,25.0,34.0,73.5,5.0,24.0,2.0,2.0,1.0,/en/matches/f1eead63/West-Ham-United-Brentford-October-3-2021-Premier-League,0.0,0.6666666666666666,0.5952380952380952
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-10-08,Fri,WCQ,Second round,Home,W 6–1,dz Algeria,ne Niger,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ba3dd2c4/Algeria-Niger-October-8-2021-WCQ----CAF-M,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-10-17,Sun,Premier League,Matchweek 8,Away,W 1–0,West Ham,Everton,Y,AM,86,0,0,0,0,3.0,0.0,0,0,41.0,0.0,0.0,1.0,0.2,0.2,0.1,4.0,0.0,26.0,35.0,74.3,5.0,32.0,4.0,3.0,2.0,/en/matches/15871600/Everton-West-Ham-United-October-17-2021-Premier-League,1.0,0.6666666666666666,0.6250000000000001
