,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-14,Mon,Premier League,Matchweek 1,Home,W 1–0,Manchester Utd,Wolves,N,CB,45,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,0.0,10.0,0.0,0.0,0.0,/en/matches/f1ecda2c/Manchester-United-Wolverhampton-Wanderers-August-14-2023-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2023-08-26,Sat,Premier League,Matchweek 3,Home,W 3–2,Manchester Utd,Nott'ham Forest,N,CB,45,0,0,0,0,0,0,0,0,24.0,0.0,0,1.0,0.0,0.0,0.1,2.0,0.0,19.0,20.0,95.0,2.0,15.0,1.0,0.0,0.0,/en/matches/70d9b1ab/Manchester-United-Nottingham-Forest-August-26-2023-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2023-09-03,Sun,Premier League,Matchweek 4,Away,L 1–3,Manchester Utd,Arsenal,Y,CB,83,0,0,0,0,0,0,1,0,72.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,67.0,69.0,97.1,0.0,49.0,0.0,0.0,0.0,/en/matches/74125d47/Arsenal-Manchester-United-September-3-2023-Premier-League,0.0,0.5,0.7083333333333334
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2023-09-09,Sat,Euro Qualifying,Group stage,Away,W 5–0,se Sweden,ee Estonia,Y*,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/a1056614/Estonia-Sweden-September-9-2023-Euro-Qualifying,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2023-09-12,Tue,Euro Qualifying,Group stage,Home,L 1–3,se Sweden,at Austria,Y*,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/3a859826/Sweden-Austria-September-12-2023-Euro-Qualifying,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2023-09-16,Sat,Premier League,Matchweek 5,Home,L 1–3,Manchester Utd,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,69.0,0.0,1,0.0,0.1,0.1,0.1,3.0,0.0,62.0,66.0,93.9,3.0,54.0,0.0,1.0,1.0,/en/matches/ddcf2857/Manchester-United-Brighton-and-Hove-Albion-September-16-2023-Premier-League,0.0,0.3333333333333333,0.6666666666666666
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2023-09-20,Wed,Champions Lg,Group stage,Away,L 3–4,eng Manchester Utd,de Bayern Munich,Y,CB,90,0,0,0,0,0,0,0,0,70.0,0.0,0,2.0,0.0,0.0,0.0,1.0,0.0,59.0,64.0,92.2,3.0,46.0,1.0,0.0,0.0,/en/matches/8c29e4f7/Bayern-Munich-Manchester-United-September-20-2023-Champions-League,0.0,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2023-09-23,Sat,Premier League,Matchweek 6,Away,W 1–0,Manchester Utd,Burnley,Y,"CB,LB",90,0,0,0,0,0,0,0,0,68.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0,57.0,64.0,89.1,1.0,40.0,0.0,0.0,0.0,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League,1.0,0.0,0.4270833333333333
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2023-09-26,Tue,EFL Cup,Third round,Home,W 3–0,Manchester Utd,Crystal Palace,N,,45,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/d89d2a1a/Manchester-United-Crystal-Palace-September-26-2023-EFL-Cup,1.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2023-09-30,Sat,Premier League,Matchweek 7,Home,L 0–1,Manchester Utd,Crystal Palace,Y,CB,87,0,0,0,0,0,0,0,0,103.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,96.0,94.8,6.0,80.0,3.0,0.0,0.0,/en/matches/ef2b7ab9/Manchester-United-Crystal-Palace-September-30-2023-Premier-League,0.0,0.6666666666666666,0.282051282051282
