,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2023-09-02,Sat,Matchweek 6,Away,W 3–1,Everton,Brentford,Y,LM,90,60,0,8,28,24,1,60,1,0,0.0,1,100.0,42,291,141,5,2,1,2,2,40,6,/en/matches/96681b93/Brentford-Everton-September-23-2023-Premier-League
1,2023-09-02,Sat,Matchweek 7,Home,L 1–2,Everton,Luton Town,Y,LM,83,69,0,6,27,36,3,69,5,2,40.0,3,60.0,40,243,111,3,0,0,3,1,45,5,/en/matches/921d5f17/Everton-Luton-Town-September-30-2023-Premier-League
2,2023-09-02,Sat,Matchweek 8,Home,W 3–0,Everton,Bournemouth,Y,LM,90,53,1,8,15,33,7,53,2,2,100.0,0,0.0,26,266,115,8,5,3,3,3,30,6,/en/matches/497b9558/Everton-Bournemouth-October-7-2023-Premier-League
