,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-16,Thu,Conf Lg,Group stage,Away,D 2–2,eng Tottenham,fr Rennes,Y,"LM,DM",77,0,0,0,0,1,1,0,0,47.0,1.0,2,0.0,0.1,0.1,0.0,3.0,0.0,30.0,34.0,88.2,6.0,30.0,2.0,4.0,4.0,/en/matches/6073e129/Rennes-Tottenham-Hotspur-September-16-2021-Europa-Conference-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,Y,RM,61,0,0,0,0,1,0,0,0,44.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,37.0,89.2,3.0,32.0,1.0,1.0,1.0,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League,0.0,0.5,0.8974358974358974
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-22,Wed,EFL Cup,Third round,Away,D 2 (3)–2 (2),Tottenham,Wolves,Y,CM,120,1,0,0,0,2,2,1,0,,,2,,,,,,,,,,,,,,,/en/matches/c1b6e56d/Wolverhampton-Wanderers-Tottenham-Hotspur-September-22-2021-EFL-Cup,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-26,Sun,Premier League,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,Y,"LM,AM",69,0,0,0,0,0,0,0,0,38.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,33.0,84.8,2.0,21.0,3.0,4.0,4.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,0.0,0.3333333333333333,0.9166666666666669
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-10-03,Sun,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Aston Villa,Y,AM,75,0,0,0,0,1,1,0,0,36.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,18.0,25.0,72.0,0.0,19.0,0.0,2.0,1.0,/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League,1.0,0.1666666666666666,0.7142857142857143
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-17,Sun,Premier League,Matchweek 8,Away,W 3–2,Tottenham,Newcastle Utd,Y,AM,90,1,0,0,0,5,1,0,0,88.0,4.0,0,1.0,0.2,0.2,0.0,4.0,0.0,61.0,67.0,91.0,6.0,58.0,4.0,9.0,4.0,/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League,1.0,0.5,0.3452380952380952
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-24,Sun,Premier League,Matchweek 9,Away,L 0–1,Tottenham,West Ham,Y,AM,83,0,0,0,0,2,1,0,0,64.0,0.0,1,1.0,0.1,0.1,0.2,3.0,0.0,46.0,54.0,85.2,3.0,45.0,3.0,1.0,0.0,/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League,0.0,0.6666666666666666,0.8076923076923077
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-27,Wed,EFL Cup,Fourth round,Away,W 1–0,Tottenham,Burnley,N,,25,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/fb218c5e/Burnley-Tottenham-Hotspur-October-27-2021-EFL-Cup,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–3,Tottenham,Manchester Utd,N,DM,25,0,0,0,0,0,0,0,0,28.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,96.0,2.0,18.0,0.0,1.0,1.0,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,0.0,0.6666666666666666,0.4404761904761904
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-11-04,Thu,Conf Lg,Group stage,Home,W 3–2,eng Tottenham,nl Vitesse,N,LW,19,0,0,0,0,0,0,0,0,16.0,0.0,1,1.0,0.0,0.0,0.5,2.0,0.0,9.0,11.0,81.8,1.0,11.0,0.0,0.0,0.0,/en/matches/b88406a6/Tottenham-Hotspur-Vitesse-November-4-2021-Europa-Conference-League,1.0,0.3333333333333333,0.5
