,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-12,Sun,Matchweek 4,Away,L 2–7,Liverpool,Aston Villa,N,"On matchday squad, but did not play",/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League,,,,,,,,,,,,,,,,
2,2020-09-12,Sat,Matchweek 5,Away,D 2–2,Liverpool,Everton,Y*,RM,90,68,64,4,1,0,1,3,1,0,0,0,0,52,0,1,/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
3,2020-09-12,Sat,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,Y*,"DM,CM",90,98,95,3,2,0,1,3,1,0,0,0,0,88,0,3,/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League
4,2020-09-12,Sat,Matchweek 7,Home,W 2–1,Liverpool,West Ham,Y*,"CM,DM",90,145,144,1,1,0,0,2,0,0,0,0,0,133,0,1,/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League
5,2020-09-12,Sun,Matchweek 8,Away,D 1–1,Liverpool,Manchester City,Y*,DM,90,43,41,2,2,0,0,1,0,0,0,0,0,37,0,0,/en/matches/26382194/Manchester-City-Liverpool-November-8-2020-Premier-League
6,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-09-12,Sat,Matchweek 10,Away,D 1–1,Liverpool,Brighton,N,CM,45,35,34,1,1,0,0,1,0,0,0,0,0,26,0,0,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
8,2020-09-12,Sun,Matchweek 11,Home,W 4–0,Liverpool,Wolves,Y*,RM,80,91,85,6,4,0,0,2,0,2,0,1,0,81,0,1,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
9,2020-09-12,Sun,Matchweek 12,Away,D 1–1,Liverpool,Fulham,Y*,"CB,CM",90,115,113,2,1,0,0,1,1,0,0,0,0,96,0,1,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
10,2020-09-12,Wed,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,Y*,CM,90,124,124,0,0,0,0,4,0,0,0,0,0,102,0,2,/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League
11,2020-09-12,Sat,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,Y*,CM,90,121,120,1,0,1,1,1,0,0,0,0,0,104,0,0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
12,2020-09-12,Sun,Matchweek 15,Home,D 1–1,Liverpool,West Brom,Y*,CM,90,164,162,2,1,0,0,5,1,0,0,0,0,146,0,2,/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League
13,2020-09-12,Wed,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,Y*,CM,90,77,76,0,0,1,0,2,0,0,0,0,0,64,1,3,/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League
14,2020-09-12,Mon,Matchweek 17,Away,L 0–1,Liverpool,Southampton,Y*,CB,90,102,100,2,2,0,0,0,0,0,0,0,0,87,0,2,/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League
15,2020-09-12,Sun,Matchweek 19,Home,D 0–0,Liverpool,Manchester Utd,Y*,CB,90,90,86,4,2,0,2,1,2,0,0,0,0,81,0,0,/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League
16,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-09-12,Thu,Matchweek 20,Away,W 3–1,Liverpool,Tottenham,Y*,CB,90,66,62,4,3,0,0,0,1,0,0,0,0,57,0,0,/en/matches/17bac3d1/Tottenham-Hotspur-Liverpool-January-28-2021-Premier-League
18,2020-09-12,Sun,Matchweek 21,Away,W 3–1,Liverpool,West Ham,Y*,CB,90,92,91,1,1,0,0,0,0,0,0,0,0,83,0,0,/en/matches/3de3a736/West-Ham-United-Liverpool-January-31-2021-Premier-League
19,2020-09-12,Wed,Matchweek 22,Home,L 0–1,Liverpool,Brighton,Y*,CB,90,113,111,2,1,0,0,0,1,0,0,0,0,101,0,0,/en/matches/314c860f/Liverpool-Brighton-and-Hove-Albion-February-3-2021-Premier-League
20,2020-09-12,Sun,Matchweek 23,Home,L 1–4,Liverpool,Manchester City,Y*,CB,90,108,106,2,1,0,0,0,1,0,0,0,0,97,0,0,/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League
21,2020-09-12,Sat,Matchweek 24,Away,L 1–3,Liverpool,Leicester City,Y*,CB,90,84,84,0,0,1,0,1,0,0,0,0,0,69,0,0,/en/matches/666f6961/Leicester-City-Liverpool-February-13-2021-Premier-League
22,2020-09-12,Sat,Matchweek 25,Home,L 0–2,Liverpool,Everton,Y*,CB,29,31,31,0,0,0,1,0,0,0,0,0,0,27,0,0,/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League
23,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020-09-12,Sun,Matchweek 38,Home,W 2–0,Liverpool,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/c2fc07f0/Liverpool-Crystal-Palace-May-23-2021-Premier-League,,,,,,,,,,,,,,,,
