,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-09-11,Sat,Matchweek 6,Away,W 2–1,West Ham,Leeds United,N,"On matchday squad, but did not play",/en/matches/6e228b2c/Leeds-United-West-Ham-United-September-25-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
1,2021-09-11,Sun,Matchweek 7,Home,L 1–2,West Ham,Brentford,N,"On matchday squad, but did not play",/en/matches/f1eead63/West-Ham-United-Brentford-October-3-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
2,2021-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021-09-11,Sun,Matchweek 11,Home,W 3–2,West Ham,Liverpool,N,"On matchday squad, but did not play",/en/matches/63538dc7/West-Ham-United-Liverpool-November-7-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
4,2021-09-11,Sat,Matchweek 12,Away,L 0–1,West Ham,Wolves,N,"On matchday squad, but did not play",/en/matches/013c4797/Wolverhampton-Wanderers-West-Ham-United-November-20-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
5,2021-09-11,Sun,Matchweek 13,Away,L 1–2,West Ham,Manchester City,N,"On matchday squad, but did not play",/en/matches/c37446de/Manchester-City-West-Ham-United-November-28-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
6,2021-09-11,Wed,Matchweek 14,Home,D 1–1,West Ham,Brighton,N,"On matchday squad, but did not play",/en/matches/2049300f/West-Ham-United-Brighton-and-Hove-Albion-December-1-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2021-09-11,Sat,Matchweek 15,Home,W 3–2,West Ham,Chelsea,N,"On matchday squad, but did not play",/en/matches/776aa8ab/West-Ham-United-Chelsea-December-4-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
8,2021-09-11,Sun,Matchweek 16,Away,D 0–0,West Ham,Burnley,N,"On matchday squad, but did not play",/en/matches/6d236ce6/Burnley-West-Ham-United-December-12-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2021-09-11,Wed,Matchweek 17,Away,L 0–2,West Ham,Arsenal,N,"On matchday squad, but did not play",/en/matches/3f1ff3a5/Arsenal-West-Ham-United-December-15-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
10,2021-09-11,Sun,Matchweek 19,Home,L 2–3,West Ham,Southampton,N,"On matchday squad, but did not play",/en/matches/36a056cf/West-Ham-United-Southampton-December-26-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
11,2021-09-11,Tue,Matchweek 20,Away,W 4–1,West Ham,Watford,N,AM,1,2,0,0,2,0,0,2,0,0,,0,,1,2,2,0,0,0,0,0,1,0,/en/matches/b56fd899/Watford-West-Ham-United-December-28-2021-Premier-League
12,2021-09-11,Sat,Matchweek 21,Away,W 3–2,West Ham,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/b0b5cba6/Crystal-Palace-West-Ham-United-January-1-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
