,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-15,Sun,Premier League,Matchweek 1,Home,W 1–0,Tottenham,Manchester City,Y,LM,90,0,0,0,0,0.0,0.0,0,0,32.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,22.0,77.3,3.0,19.0,1.0,1.0,1.0,/en/matches/ff51efc7/Tottenham-Hotspur-Manchester-City-August-15-2021-Premier-League,1.0,0.5,0.5238095238095238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-22,Sun,Premier League,Matchweek 2,Away,W 1–0,Tottenham,Wolves,Y,"LM,AM",90,1,0,1,1,0.0,0.0,0,0,55.0,2.0,0.0,6.0,0.8,0.0,0.0,1.0,1.0,26.0,32.0,81.3,3.0,29.0,1.0,7.0,1.0,/en/matches/26ceb3c9/Wolverhampton-Wanderers-Tottenham-Hotspur-August-22-2021-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-26,Thu,Conf Lg,Play-off round,Home,W 3–0,eng Tottenham,pt Paços,N,,7,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c2e330d2/Tottenham-Hotspur-Pacos-de-Ferreira-August-26-2021-Europa-Conference-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-08-29,Sun,Premier League,Matchweek 3,Home,W 1–0,Tottenham,Watford,Y,"LM,AM",90,0,0,0,0,2.0,1.0,1,0,50.0,3.0,0.0,4.0,0.2,0.2,0.0,1.0,0.0,29.0,36.0,80.6,3.0,24.0,3.0,0.0,0.0,/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League,1.0,1.0,0.5595238095238095
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-11,Sat,Premier League,Matchweek 4,Away,L 0–3,Tottenham,Crystal Palace,Y,"AM,LM",90,0,0,0,0,0.0,0.0,0,0,31.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,86.4,4.0,17.0,0.0,5.0,3.0,/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League,0.0,1.0,0.4523809523809523
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-16,Thu,Conf Lg,Group stage,Away,D 2–2,eng Tottenham,fr Rennes,N,LM,13,0,0,0,0,0.0,0.0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,2.0,10.0,2.0,1.0,1.0,/en/matches/6073e129/Rennes-Tottenham-Hotspur-September-16-2021-Europa-Conference-League,0.5,0.6666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,Y,LM,90,0,0,0,0,0.0,0.0,0,0,60.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,32.0,42.0,76.2,2.0,37.0,0.0,4.0,2.0,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League,0.0,0.5,0.8974358974358974
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-22,Wed,EFL Cup,Third round,Away,D 2 (3)–2 (2),Tottenham,Wolves,Y,CM,81,0,1,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c1b6e56d/Wolverhampton-Wanderers-Tottenham-Hotspur-September-22-2021-EFL-Cup,0.5,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-09-26,Sun,Premier League,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,Y,RM,45,0,0,0,0,0.0,0.0,0,0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,87.5,0.0,7.0,0.0,2.0,0.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,0.0,0.3333333333333333,0.9166666666666669
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-09-30,Thu,Conf Lg,Group stage,Home,W 5–1,eng Tottenham,si NŠ Mura,Y*,AM,58,1,0,1,1,2.0,2.0,0,0,49.0,3.0,0.0,0.0,0.9,0.1,0.0,1.0,1.0,27.0,37.0,73.0,3.0,41.0,3.0,6.0,3.0,/en/matches/45ed3342/Tottenham-Hotspur-NS-Mura-September-30-2021-Europa-Conference-League,1.0,0.1666666666666666,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-10-21,Thu,Conf Lg,Group stage,Away,L 0–1,eng Tottenham,nl Vitesse,Y,AM,90,0,0,0,0,1.0,0.0,0,0,50.0,0.0,0.0,2.0,0.1,0.1,0.0,1.0,0.0,32.0,39.0,82.1,2.0,37.0,3.0,2.0,0.0,/en/matches/a434d3cf/Vitesse-Tottenham-Hotspur-October-21-2021-Europa-Conference-League,0.0,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–3,Tottenham,Manchester Utd,N,AM,18,0,0,0,0,0.0,0.0,0,0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,11.0,72.7,2.0,5.0,1.0,0.0,0.0,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,0.0,0.3333333333333333,0.4404761904761904
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-11-21,Sun,Premier League,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,N,AM,3,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League,1.0,0.3333333333333333,0.4880952380952381
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-11-25,Thu,Conf Lg,Group stage,Away,L 1–2,eng Tottenham,si NŠ Mura,Y,"AM,LM",53,0,0,0,0,0.0,0.0,1,0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,21.0,85.7,3.0,17.0,2.0,2.0,1.0,/en/matches/c28fbe33/NS-Mura-Tottenham-Hotspur-November-25-2021-Europa-Conference-League,0.0,0.3333333333333333,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-12-19,Sun,Premier League,Matchweek 18,Home,D 2–2,Tottenham,Liverpool,Y,CM,80,0,0,0,0,1.0,1.0,0,0,40.0,0.0,1.0,5.0,0.6,0.6,0.2,1.0,0.0,14.0,22.0,63.6,1.0,19.0,1.0,7.0,5.0,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League,0.5,0.3333333333333333,0.9523809523809524
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-12-22,Wed,EFL Cup,Quarter-finals,Home,W 2–1,Tottenham,West Ham,N,,14,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/6981927c/Tottenham-Hotspur-West-Ham-United-December-22-2021-EFL-Cup,1.0,0.5,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-12-28,Tue,Premier League,Matchweek 20,Away,D 1–1,Tottenham,Southampton,Y,AM,61,0,0,0,0,0.0,0.0,0,0,38.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,25.0,72.0,0.0,27.0,1.0,1.0,0.0,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League,0.5,0.5,0.5384615384615384
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2022-01-09,Sun,FA Cup,Third round proper,Home,W 3–1,Tottenham,Morecambe,Y,FW,68,0,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0127adcc/Tottenham-Hotspur-Morecambe-January-9-2022-FA-Cup,1.0,0.6666666666666666,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2022-02-08,Tue,Premier League,Matchweek 24,Away,L 1–3,Everton,Newcastle Utd,N,AM,66,0,0,0,0,1.0,0.0,0,0,41.0,2.0,1.0,1.0,0.1,0.1,0.0,3.0,0.0,14.0,24.0,58.3,2.0,16.0,4.0,5.0,3.0,/en/matches/fde8d97d/Newcastle-United-Everton-February-8-2022-Premier-League,0.0,0.8333333333333334,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2022-02-12,Sat,Premier League,Matchweek 25,Home,W 3–0,Everton,Leeds United,N,AM,19,0,0,0,0,1.0,0.0,0,0,17.0,0.0,0.0,0.0,0.0,0.0,0.3,3.0,0.0,9.0,15.0,60.0,3.0,11.0,0.0,0.0,0.0,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League,1.0,0.5,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2022-02-19,Sat,Premier League,Matchweek 26,Away,L 0–2,Everton,Southampton,N,LM,16,0,0,0,0,1.0,0.0,0,0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,61.5,1.0,7.0,0.0,1.0,0.0,/en/matches/53cc3dbd/Southampton-Everton-February-19-2022-Premier-League,0.0,0.6666666666666666,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2022-02-26,Sat,Premier League,Matchweek 27,Home,L 0–1,Everton,Manchester City,N,RW,20,0,0,0,0,0.0,0.0,1,0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.0,88.9,1.0,7.0,0.0,0.0,0.0,/en/matches/ab729bd6/Everton-Manchester-City-February-26-2022-Premier-League,0.0,0.3333333333333333,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2022-03-07,Mon,Premier League,Matchweek 28,Away,L 0–5,Everton,Tottenham,N,LW,22,0,0,0,0,0.0,0.0,0,0,27.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,23.0,91.3,0.0,18.0,0.0,1.0,0.0,/en/matches/6e11eac6/Tottenham-Hotspur-Everton-March-7-2022-Premier-League,0.0,0.3333333333333333,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2022-03-13,Sun,Premier League,Matchweek 29,Home,L 0–1,Everton,Wolves,N,"AM,LW",32,0,0,0,0,0.0,0.0,0,0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,66.7,3.0,6.0,0.0,0.0,0.0,/en/matches/9e5d1f93/Everton-Wolverhampton-Wanderers-March-13-2022-Premier-League,0.0,0.0,0.5
