,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-11,Sat,Premier League,Matchweek 4,Home,W 3–0,Crystal Palace,Tottenham,N,CM,24,0,0,0,0,0,0,0,0,15.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,71.4,0.0,6.0,0.0,0.0,0.0,/en/matches/17e86f90/Crystal-Palace-Tottenham-Hotspur-September-11-2021-Premier-League,1.0,0.5,0.858974358974359
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-09-27,Mon,Premier League,Matchweek 6,Home,D 1–1,Crystal Palace,Brighton,Y*,CM,71,0,0,0,0,2,0,0,0,60.0,1.0,2,0.0,0.1,0.1,0.0,2.0,0.0,43.0,54.0,79.6,3.0,34.0,0.0,0.0,0.0,/en/matches/3d7659fc/Crystal-Palace-Brighton-and-Hove-Albion-September-27-2021-Premier-League,0.5,0.5,0.7500000000000001
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-10-03,Sun,Premier League,Matchweek 7,Home,D 2–2,Crystal Palace,Leicester City,Y*,CM,90,0,0,0,0,0,0,0,0,65.0,0.0,1,2.0,0.0,0.0,0.1,4.0,0.0,50.0,61.0,82.0,10.0,41.0,2.0,1.0,1.0,/en/matches/b06fd537/Crystal-Palace-Leicester-City-October-3-2021-Premier-League,0.5,0.5,0.3571428571428571
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-10-18,Mon,Premier League,Matchweek 8,Away,D 2–2,Crystal Palace,Arsenal,Y*,DM,66,0,0,0,0,0,0,0,0,51.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,48.0,77.1,4.0,36.0,0.0,1.0,1.0,/en/matches/0f3a1892/Arsenal-Crystal-Palace-October-18-2021-Premier-League,0.5,0.6666666666666666,0.7261904761904763
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-10-23,Sat,Premier League,Matchweek 9,Home,D 1–1,Crystal Palace,Newcastle Utd,Y*,CM,72,0,0,0,0,1,0,0,0,61.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,45.0,53.0,84.9,5.0,33.0,0.0,0.0,0.0,/en/matches/4d1b6f6f/Crystal-Palace-Newcastle-United-October-23-2021-Premier-League,0.5,0.5,0.2380952380952379
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-11-20,Sat,Premier League,Matchweek 12,Away,D 3–3,Crystal Palace,Burnley,Y*,CM,86,0,0,0,0,2,0,0,0,61.0,1.0,0,1.0,0.1,0.1,0.1,2.0,0.0,49.0,54.0,90.7,6.0,36.0,0.0,0.0,0.0,/en/matches/e7ab34c4/Burnley-Crystal-Palace-November-20-2021-Premier-League,0.5,0.5,0.5897435897435896
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-11-27,Sat,Premier League,Matchweek 13,Home,L 1–2,Crystal Palace,Aston Villa,Y*,DM,59,0,0,0,0,0,0,1,0,46.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,72.7,4.0,24.0,0.0,0.0,0.0,/en/matches/4a7a9e3b/Crystal-Palace-Aston-Villa-November-27-2021-Premier-League,0.0,0.5,0.4880952380952381
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-12-28,Tue,Premier League,Matchweek 20,Home,W 3–0,Crystal Palace,Norwich City,N,LM,18,0,0,0,0,0,0,0,0,13.0,0.0,0,0.0,0.0,0.0,0.2,2.0,0.0,10.0,12.0,83.3,0.0,5.0,0.0,0.0,0.0,/en/matches/59ef01ea/Crystal-Palace-Norwich-City-December-28-2021-Premier-League,1.0,0.3333333333333333,0.1666666666666666
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-01-01,Sat,Premier League,Matchweek 21,Home,L 2–3,Crystal Palace,West Ham,Y*,CM,59,0,0,0,0,2,0,0,0,44.0,1.0,1,0.0,0.1,0.1,0.1,3.0,0.0,29.0,39.0,74.4,1.0,17.0,0.0,0.0,0.0,/en/matches/b0b5cba6/Crystal-Palace-West-Ham-United-January-1-2022-Premier-League,0.0,0.5,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-01-08,Sat,FA Cup,Third round proper,Away,W 2–1,Crystal Palace,Millwall,N,,10,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/1c59fae0/Millwall-Crystal-Palace-January-8-2022-FA-Cup,1.0,0.3333333333333333,0.5
