,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Match Report,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Off,PassLive,PassDead,TO,Fld,Def,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl%,Lost,Pass,Tkl+Int,Clr,Err,Def Pen,Att Pen,Succ%,Tkld,Tkld%,CPA,Mis,Dis,Rec,PrgR,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Won%
63,2023-02-11,Sat,Premier League,Matchweek 23,Away,W 2–1,Wolves,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,67,0,0,3,0.0,0.0,0.0,0,0,43,56,76.8,1,37,1,0,https://fbref.com/en/matches/8c7913ed/Southampton-Wolverhampton-Wanderers-February-11-2023-Premier-League,728,209,0.0,0,1,0,0,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,0,7,0,18,0,,0,,0,0,0,45,0,0,0,0,0,0,5,2,33.3
64,2023-02-18,Sat,Premier League,Matchweek 24,Home,L 0–1,Wolves,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,90,2,0,1,0.0,0.0,0.0,0,0,69,80,86.3,7,63,1,1,https://fbref.com/en/matches/eaf37ab4/Wolverhampton-Wanderers-Bournemouth-February-18-2023-Premier-League,1548,548,0.0,0,9,0,0,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,100.0,0,0,2,5,0,11,1,100.0,0,0.0,0,1,0,58,0,0,0,0,0,0,16,4,100.0
65,2023-02-24,Fri,Premier League,Matchweek 25,Away,D 1–1,Wolves,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,41,0,1,1,0.2,0.2,0.0,0,0,23,35,65.7,2,22,1,3,https://fbref.com/en/matches/b452508e/Fulham-Wolverhampton-Wanderers-February-24-2023-Premier-League,496,176,0.0,0,3,0,0,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,1,3,0,5,1,100.0,0,0.0,0,0,0,28,0,0,0,0,0,0,3,4,80.0
66,2023-03-01,Wed,Premier League,Matchweek 7,Away,L 0–2,Wolves,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,0,0,35,41,85.4,1,26,0,1,https://fbref.com/en/matches/5e05f5f4/Liverpool-Wolverhampton-Wanderers-March-1-2023-Premier-League,693,281,0.0,0,1,0,0,40,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,4,0,9,0,100.0,0,0.0,0,1,1,27,0,0,1,0,0,0,8,2,100.0
67,2023-03-04,Sat,Premier League,Matchweek 26,Home,W 1–0,Wolves,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,58,0,0,1,0.0,0.0,0.0,0,0,43,51,84.3,2,41,2,0,https://fbref.com/en/matches/bf4ac62d/Wolverhampton-Wanderers-Tottenham-Hotspur-March-4-2023-Premier-League,788,240,0.0,0,2,0,0,49,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,4,0,13,1,,0,,0,2,0,43,0,0,0,0,0,0,8,0,0.0
68,2023-03-12,Sun,Premier League,Matchweek 27,Away,L 1–2,Wolves,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,74,2,0,4,0.0,0.0,0.0,1,0,49,63,77.8,2,41,0,0,https://fbref.com/en/matches/c416a3de/Newcastle-United-Wolverhampton-Wanderers-March-12-2023-Premier-League,1010,449,0.0,1,3,0,0,62,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,100.0,0,0,2,3,0,14,0,,0,,0,0,1,49,0,0,0,0,0,0,5,2,50.0
69,2023-03-18,Sat,Premier League,Matchweek 28,Home,L 2–4,Wolves,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,78,0,1,0,0.0,0.0,0.0,3,0,63,74,85.1,10,46,4,2,https://fbref.com/en/matches/3cb714a4/Wolverhampton-Wanderers-Leeds-United-March-18-2023-Premier-League,1219,426,0.3,0,7,2,1,74,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,1,1,0,4,3,66.7,1,33.3,1,0,0,57,3,0,1,0,0,0,7,3,60.0
70,2023-04-01,Sat,Premier League,Matchweek 29,Away,D 1–1,Wolves,Nott'ham Forest,Y,CB,90,0,0,0,0,1,0,0,0,122,0,0,0,0.0,0.0,0.0,1,0,105,113,92.9,10,88,1,0,https://fbref.com/en/matches/c14b278c/Nottingham-Forest-Wolverhampton-Wanderers-April-1-2023-Premier-League,2102,611,0.0,0,7,1,1,113,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,7,0,11,0,,0,,0,0,0,95,0,0,1,0,0,0,11,5,71.4
71,2023-04-08,Sat,Premier League,Matchweek 30,Home,W 1–0,Wolves,Chelsea,Y*,CB,90,0,0,0,0,0,0,0,0,54,1,0,4,0.0,0.0,0.0,0,0,28,38,73.7,3,29,0,0,https://fbref.com/en/matches/aa1fa8dc/Wolverhampton-Wanderers-Chelsea-April-8-2023-Premier-League,709,254,0.0,0,4,0,0,34,3,3,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,0,2,1,10,0,18,0,,0,,0,0,0,26,0,0,0,0,0,0,5,1,50.0
72,2023-04-15,Sat,Premier League,Matchweek 31,Home,W 2–0,Wolves,Brentford,Y*,CB,90,0,0,0,0,0,0,0,0,67,2,0,2,0.0,0.0,0.0,1,0,47,54,87.0,2,51,0,0,https://fbref.com/en/matches/b2402736/Wolverhampton-Wanderers-Brentford-April-15-2023-Premier-League,1030,353,0.0,0,6,0,0,54,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.0,1,0,2,4,0,10,0,0.0,1,100.0,0,0,2,43,0,0,0,0,0,0,11,1,100.0
73,2023-04-22,Sat,Premier League,Matchweek 32,Away,L 1–2,Wolves,Leicester City,Y*,CB,90,0,0,0,0,1,0,0,0,55,2,0,2,0.1,0.1,0.0,2,0,41,48,85.4,0,42,0,0,https://fbref.com/en/matches/b87e66b4/Leicester-City-Wolverhampton-Wanderers-April-22-2023-Premier-League,720,279,0.0,0,2,0,0,48,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0.0,1,1,2,2,0,5,1,,0,,0,0,0,44,0,0,0,0,0,0,2,2,100.0
74,2023-04-25,Tue,Premier League,Matchweek 33,Home,W 2–0,Wolves,Crystal Palace,Y,CB,90,0,0,0,0,1,0,0,0,62,0,0,2,0.1,0.1,0.0,0,0,47,54,87.0,2,31,0,0,https://fbref.com/en/matches/825c78f1/Wolverhampton-Wanderers-Crystal-Palace-April-25-2023-Premier-League,1091,351,0.0,0,1,0,0,53,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,0,11,1,,0,,0,0,0,45,0,0,2,0,0,0,2,6,100.0
75,2023-04-29,Sat,Premier League,Matchweek 34,Away,L 0–6,Wolves,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,46,2,2,1,0.0,0.0,0.0,0,0,32,39,82.1,0,31,0,1,https://fbref.com/en/matches/21f920e0/Brighton-and-Hove-Albion-Wolverhampton-Wanderers-April-29-2023-Premier-League,632,129,0.0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,66.7,1,0,4,3,0,3,1,100.0,0,0.0,0,0,0,28,0,0,2,0,0,0,8,0,0.0
76,2023-05-06,Sat,Premier League,Matchweek 35,Home,W 1–0,Wolves,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,43,0,0,3,0.0,0.0,0.0,0,0,26,34,76.5,0,27,1,1,https://fbref.com/en/matches/217a7faf/Wolverhampton-Wanderers-Aston-Villa-May-6-2023-Premier-League,593,148,0.0,0,0,0,0,31,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,2,0,6,0,18,0,100.0,0,0.0,0,0,0,27,0,0,1,0,0,0,5,3,75.0
77,2023-05-13,Sat,Premier League,Matchweek 36,Away,L 0–2,Wolves,Manchester Utd,Y,CB,90,0,0,0,0,2,0,0,0,72,1,0,2,0.1,0.1,0.1,1,0,49,65,75.4,6,31,1,3,https://fbref.com/en/matches/f5d61382/Manchester-United-Wolverhampton-Wanderers-May-13-2023-Premier-League,939,322,0.0,1,2,0,0,64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100.0,0,2,1,2,0,10,2,100.0,0,0.0,0,0,0,50,1,0,0,0,0,0,9,5,83.3
78,2023-05-28,Sun,Premier League,Matchweek 38,Away,L 0–5,Wolves,Arsenal,Y*,CB,67,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.1,1,0,40,46,87.0,3,30,1,0,https://fbref.com/en/matches/71d5bd41/Arsenal-Wolverhampton-Wanderers-May-28-2023-Premier-League,886,412,0.0,1,5,0,0,45,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,1,0,2,1,9,1,0.0,1,100.0,1,1,0,41,0,0,0,0,0,0,2,1,50.0
