,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2021-09-16,Thu,Conf Lg,Group stage,Away,D 2–2,eng Tottenham,fr Rennes,Y*,FW,53,0,0,0,0,1.0,1.0,0,0,25.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,19.0,21.0,90.5,4.0,19.0,1.0,0.0,0.0,/en/matches/6073e129/Rennes-Tottenham-Hotspur-September-16-2021-Europa-Conference-League,0.5,0.5,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,Y,AM,90,0,0,0,0,2.0,1.0,0,0,41.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,23.0,32.0,71.9,2.0,29.0,1.0,2.0,1.0,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League,0.0,0.3333333333333333,0.8974358974358974
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2021-09-22,Wed,EFL Cup,Third round,Away,D 2 (3)–2 (2),Tottenham,Wolves,Y*,FW,120,1,0,0,0,3.0,3.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c1b6e56d/Wolverhampton-Wanderers-Tottenham-Hotspur-September-22-2021-EFL-Cup,0.5,0.1666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2021-09-26,Sun,Premier League,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,Y,FW,90,0,0,0,0,5.0,1.0,0,0,22.0,0.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,5.0,11.0,45.5,0.0,14.0,0.0,1.0,0.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,0.0,0.3333333333333333,0.9166666666666669
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2021-09-30,Thu,Conf Lg,Group stage,Home,W 5–1,eng Tottenham,si NŠ Mura,N,FW,32,3,0,0,0,3.0,3.0,0,0,20.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,16.0,87.5,2.0,17.0,2.0,2.0,1.0,/en/matches/45ed3342/Tottenham-Hotspur-NS-Mura-September-30-2021-Europa-Conference-League,1.0,0.1666666666666666,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2021-10-03,Sun,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Aston Villa,Y,FW,90,0,0,0,0,6.0,4.0,0,0,47.0,1.0,0.0,0.0,0.4,0.4,0.2,3.0,0.0,18.0,29.0,62.1,1.0,22.0,1.0,4.0,1.0,/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League,1.0,0.5,0.7142857142857143
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2021-10-12,Tue,WCQ,First round,Home,D 1–1,eng England,hu Hungary,Y*,FW,75,0,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/ff6936ad/England-Hungary-October-12-2021-WCQ----UEFA-M,0.5,0.6666666666666666,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2021-10-17,Sun,Premier League,Matchweek 8,Away,W 3–2,Tottenham,Newcastle Utd,Y,FW,90,1,1,0,0,2.0,1.0,0,0,34.0,0.0,0.0,0.0,0.5,0.5,0.8,3.0,1.0,23.0,25.0,92.0,4.0,20.0,2.0,3.0,1.0,/en/matches/4bd69343/Newcastle-United-Tottenham-Hotspur-October-17-2021-Premier-League,1.0,0.8333333333333334,0.3452380952380952
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2021-10-24,Sun,Premier League,Matchweek 9,Away,L 0–1,Tottenham,West Ham,Y,FW,90,0,0,0,0,1.0,1.0,0,0,31.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,20.0,24.0,83.3,5.0,19.0,1.0,5.0,2.0,/en/matches/70c508ee/West-Ham-United-Tottenham-Hotspur-October-24-2021-Premier-League,0.0,0.8333333333333334,0.8076923076923077
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2021-10-27,Wed,EFL Cup,Fourth round,Away,W 1–0,Tottenham,Burnley,Y*,FW,90,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/fb218c5e/Burnley-Tottenham-Hotspur-October-27-2021-EFL-Cup,1.0,0.5,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2021-10-30,Sat,Premier League,Matchweek 10,Home,L 0–3,Tottenham,Manchester Utd,Y,FW,90,0,0,0,0,1.0,0.0,0,0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,65.2,3.0,10.0,1.0,3.0,1.0,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League,0.0,0.6666666666666666,0.4404761904761904
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2021-11-04,Thu,Conf Lg,Group stage,Home,W 3–2,eng Tottenham,nl Vitesse,Y,FW,90,0,1,0,0,0.0,0.0,0,0,31.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,2.0,15.0,21.0,71.4,2.0,26.0,1.0,2.0,2.0,/en/matches/b88406a6/Tottenham-Hotspur-Vitesse-November-4-2021-Europa-Conference-League,1.0,0.3333333333333333,0.5
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2021-11-07,Sun,Premier League,Matchweek 11,Away,D 0–0,Tottenham,Everton,Y,FW,90,0,0,0,0,2.0,0.0,0,0,42.0,0.0,0.0,0.0,0.1,0.1,0.3,3.0,0.0,27.0,36.0,75.0,4.0,21.0,2.0,2.0,1.0,/en/matches/224d1c99/Everton-Tottenham-Hotspur-November-7-2021-Premier-League,0.5,0.6666666666666666,0.1785714285714285
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-11-12,Fri,WCQ,First round,Home,W 5–0,eng England,al Albania,Y*,FW,62,3,1,0,0,8.0,4.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/a7100028/England-Albania-November-12-2021-WCQ----UEFA-M,1.0,0.5,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-11-15,Mon,WCQ,First round,Away,W 10–0,eng England,sm San Marino,Y*,FW,61,4,0,2,2,7.0,4.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/4a3eae2f/San-Marino-England-November-15-2021-WCQ----UEFA-M,1.0,0.8333333333333334,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-11-21,Sun,Premier League,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,Y,FW,90,0,0,0,0,4.0,1.0,0,0,47.0,2.0,0.0,1.0,0.7,0.7,0.0,4.0,1.0,19.0,24.0,79.2,4.0,30.0,2.0,7.0,3.0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League,1.0,0.8333333333333334,0.4880952380952381
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-11-25,Thu,Conf Lg,Group stage,Away,L 1–2,eng Tottenham,si NŠ Mura,Y*,FW,90,1,0,0,0,6.0,2.0,0,0,54.0,1.0,0.0,0.0,0.6,0.6,0.1,2.0,0.0,24.0,33.0,72.7,3.0,38.0,3.0,3.0,0.0,/en/matches/c28fbe33/NS-Mura-Tottenham-Hotspur-November-25-2021-Europa-Conference-League,0.0,1.0,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-12-02,Thu,Premier League,Matchweek 14,Home,W 2–0,Tottenham,Brentford,Y,FW,90,0,0,0,0,2.0,1.0,0,0,42.0,0.0,0.0,1.0,0.2,0.2,0.4,7.0,1.0,24.0,33.0,72.7,5.0,25.0,4.0,3.0,2.0,/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League,1.0,0.6666666666666666,0.5714285714285714
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-12-05,Sun,Premier League,Matchweek 15,Home,W 3–0,Tottenham,Norwich City,Y,FW,90,0,0,0,0,5.0,2.0,0,0,37.0,0.0,0.0,1.0,0.4,0.4,0.0,1.0,1.0,12.0,22.0,54.5,2.0,27.0,3.0,4.0,2.0,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League,1.0,0.6666666666666666,0.630952380952381
