,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Home,L 0–1,Everton,Chelsea,Y,CB,90,0,0,0,0,2,2,0,0,46.0,0.0,2,4.0,0.1,0.1,0.1,1.0,0.0,30.0,37.0,81.1,2.0,26.0,0.0,0.0,0.0,/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,0.0,0.5,0.4583333333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 1–2,Everton,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,60.0,2.0,1,0.0,0.1,0.1,0.1,1.0,0.0,41.0,50.0,82.0,0.0,22.0,0.0,0.0,0.0,/en/matches/8cd71c65/Aston-Villa-Everton-August-13-2022-Premier-League,0.0,0.5,0.4270833333333333
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-20,Sat,Premier League,Matchweek 3,Home,D 1–1,Everton,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,58.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,63.6,3.0,19.0,1.0,1.0,0.0,/en/matches/3c3cc86f/Everton-Nottingham-Forest-August-20-2022-Premier-League,0.5,0.5,0.4642857142857142
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-23,Tue,EFL Cup,Second round,Away,W 1–0,Everton,Fleetwood Town,N,,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/2baf1ea7/Fleetwood-Town-Everton-August-23-2022-EFL-Cup,1.0,0.1666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-27,Sat,Premier League,Matchweek 4,Away,D 1–1,Everton,Brentford,Y,CB,90,0,0,0,0,2,1,0,0,61.0,2.0,2,2.0,0.3,0.3,0.0,1.0,0.0,34.0,42.0,81.0,5.0,18.0,0.0,0.0,0.0,/en/matches/db59fc65/Brentford-Everton-August-27-2022-Premier-League,0.5,0.5,0.5833333333333333
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-08-30,Tue,Premier League,Matchweek 5,Away,D 1–1,Everton,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,47.0,1.0,2,2.0,0.0,0.0,0.4,0.0,0.0,28.0,35.0,80.0,1.0,23.0,0.0,0.0,0.0,/en/matches/42d294e5/Leeds-United-Everton-August-30-2022-Premier-League,0.5,0.6666666666666666,0.611111111111111
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-03,Sat,Premier League,Matchweek 6,Home,D 0–0,Everton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,44.0,0.0,4,4.0,0.0,0.0,0.0,1.0,0.0,21.0,29.0,72.4,1.0,18.0,0.0,0.0,0.0,/en/matches/073227b6/Merseyside-Derby-Everton-Liverpool-September-3-2022-Premier-League,0.5,0.6666666666666666,0.6562499999999999
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-09-18,Sun,Premier League,Matchweek 8,Home,W 1–0,Everton,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,67.0,0.0,1,6.0,0.0,0.0,0.0,0.0,0.0,42.0,49.0,85.7,2.0,43.0,1.0,0.0,0.0,/en/matches/96e9dc0f/Everton-West-Ham-United-September-18-2022-Premier-League,1.0,0.5,0.6555555555555554
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-10-01,Sat,Premier League,Matchweek 9,Away,W 2–1,Everton,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,51.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,75.0,2.0,20.0,0.0,0.0,0.0,/en/matches/06d00bcb/Southampton-Everton-October-1-2022-Premier-League,1.0,0.6666666666666666,0.3666666666666666
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-10-09,Sun,Premier League,Matchweek 10,Home,L 1–2,Everton,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,66.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,41.0,53.0,77.4,3.0,32.0,0.0,1.0,1.0,/en/matches/5d426690/Everton-Manchester-United-October-9-2022-Premier-League,0.0,0.8333333333333334,0.6190476190476192
