,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-28,Sat,Matchweek 6,Home,W 2–1,Liverpool,Sheffield Utd,N,"On matchday squad, but did not play",/en/matches/0bc8d984/Liverpool-Sheffield-United-October-24-2020-Premier-League,,,,,,,,,,,,,,,
2,2020-09-28,Sat,Matchweek 7,Home,W 2–1,Liverpool,West Ham,N,"On matchday squad, but did not play",/en/matches/56ad8025/Liverpool-West-Ham-United-October-31-2020-Premier-League,,,,,,,,,,,,,,,
3,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-09-28,Sun,Matchweek 9,Home,W 3–0,Liverpool,Leicester City,N,RB,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/cc230451/Liverpool-Leicester-City-November-22-2020-Premier-League
5,2020-09-28,Sat,Matchweek 10,Away,D 1–1,Liverpool,Brighton,Y,RB,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/31baf354/Brighton-and-Hove-Albion-Liverpool-November-28-2020-Premier-League
6,2020-09-28,Sun,Matchweek 11,Home,W 4–0,Liverpool,Wolves,Y,RB,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/25249736/Liverpool-Wolverhampton-Wanderers-December-6-2020-Premier-League
7,2020-09-28,Sun,Matchweek 12,Away,D 1–1,Liverpool,Fulham,N,RB,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
8,2020-09-28,Wed,Matchweek 13,Home,W 2–1,Liverpool,Tottenham,N,"On matchday squad, but did not play",/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League,,,,,,,,,,,,,,,
9,2020-09-28,Sat,Matchweek 14,Away,W 7–0,Liverpool,Crystal Palace,N,"On matchday squad, but did not play",/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League,,,,,,,,,,,,,,,
10,2020-09-28,Sun,Matchweek 15,Home,D 1–1,Liverpool,West Brom,N,"On matchday squad, but did not play",/en/matches/daa09f69/Liverpool-West-Bromwich-Albion-December-27-2020-Premier-League,,,,,,,,,,,,,,,
11,2020-09-28,Wed,Matchweek 16,Away,D 0–0,Liverpool,Newcastle Utd,N,"On matchday squad, but did not play",/en/matches/385cda3f/Newcastle-United-Liverpool-December-30-2020-Premier-League,,,,,,,,,,,,,,,
12,2020-09-28,Mon,Matchweek 17,Away,L 0–1,Liverpool,Southampton,N,"On matchday squad, but did not play",/en/matches/d0482032/Southampton-Liverpool-January-4-2021-Premier-League,,,,,,,,,,,,,,,
13,2020-09-28,Sun,Matchweek 19,Home,D 0–0,Liverpool,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/7e1384ef/North-West-Derby-Liverpool-Manchester-United-January-17-2021-Premier-League,,,,,,,,,,,,,,,
14,2020-09-28,Thu,Matchweek 18,Home,L 0–1,Liverpool,Burnley,N,"On matchday squad, but did not play",/en/matches/787d11cc/Liverpool-Burnley-January-21-2021-Premier-League,,,,,,,,,,,,,,,
15,2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-09-28,Sun,Matchweek 21,Away,W 3–1,Liverpool,West Ham,N,"On matchday squad, but did not play",/en/matches/3de3a736/West-Ham-United-Liverpool-January-31-2021-Premier-League,,,,,,,,,,,,,,,
17,2020-09-28,Wed,Matchweek 22,Home,L 0–1,Liverpool,Brighton,N,"On matchday squad, but did not play",/en/matches/314c860f/Liverpool-Brighton-and-Hove-Albion-February-3-2021-Premier-League,,,,,,,,,,,,,,,
18,2020-09-28,Sun,Matchweek 23,Home,L 1–4,Liverpool,Manchester City,N,"On matchday squad, but did not play",/en/matches/e044d71d/Liverpool-Manchester-City-February-7-2021-Premier-League,,,,,,,,,,,,,,,
19,2020-09-28,Sat,Matchweek 24,Away,L 1–3,Liverpool,Leicester City,N,"On matchday squad, but did not play",/en/matches/666f6961/Leicester-City-Liverpool-February-13-2021-Premier-League,,,,,,,,,,,,,,,
20,2020-09-28,Sat,Matchweek 25,Home,L 0–2,Liverpool,Everton,N,"On matchday squad, but did not play",/en/matches/e4ac45fb/Merseyside-Derby-Liverpool-Everton-February-20-2021-Premier-League,,,,,,,,,,,,,,,
