,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 2–0,Liverpool,Burnley,N,LB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/94d9dac0/Liverpool-Burnley-August-21-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,2021-09-15,Wed,Champions Lg,Group stage,Home,W 3–2,eng Liverpool,it Milan,Y,CB,90,0,0,0,0,0,0,0,0,87.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,70.0,79.0,88.6,5.0,63.0,2.0,0.0,0.0,/en/matches/ff3e4ae2/Liverpool-Milan-September-15-2021-Champions-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2021-09-21,Tue,EFL Cup,Third round,Away,W 3–0,Liverpool,Norwich City,Y*,CB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/1d32b710/Norwich-City-Liverpool-September-21-2021-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,2021-09-28,Tue,Champions Lg,Group stage,Away,W 5–1,eng Liverpool,pt Porto,N,RB,25,0,0,0,0,0,0,0,0,26.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,22.0,72.7,0.0,12.0,0.0,1.0,1.0,/en/matches/1c876d93/Porto-Liverpool-September-28-2021-Champions-League,1.0,1.0,0.5
4,4,4,4,4,4,4,4,4,2021-10-03,Sun,Premier League,Matchweek 7,Home,D 2–2,Liverpool,Manchester City,N,RB,13,0,0,0,0,0,0,0,0,14.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,58.3,0.0,5.0,0.0,0.0,0.0,/en/matches/2598b046/Liverpool-Manchester-City-October-3-2021-Premier-League,0.5,1.0,0.5694444444444445
5,5,5,5,5,5,5,5,5,2021-10-19,Tue,Champions Lg,Group stage,Away,W 3–2,eng Liverpool,es Atlético Madrid,N,RB,6,0,0,0,0,0,0,0,0,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,89.5,2.0,9.0,1.0,0.0,0.0,/en/matches/0f05c98d/Atletico-Madrid-Liverpool-October-19-2021-Champions-League,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,2021-10-27,Wed,EFL Cup,Fourth round,Away,W 2–0,Liverpool,Preston,Y*,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/54dca3c9/Preston-North-End-Liverpool-October-27-2021-EFL-Cup,1.0,0.8333333333333334,0.5
7,7,7,7,7,7,7,7,7,2021-12-07,Tue,Champions Lg,Group stage,Away,W 2–1,eng Liverpool,it Milan,N,RB,27,0,0,0,0,0,0,0,0,17.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,15.0,73.3,0.0,9.0,0.0,0.0,0.0,/en/matches/dd8d2903/Milan-Liverpool-December-7-2021-Champions-League,1.0,0.8333333333333334,0.5
8,8,8,8,8,8,8,8,8,2021-12-19,Sun,Premier League,Matchweek 18,Away,D 2–2,Liverpool,Tottenham,N,"CB,RM",1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League,0.5,1.0,0.7142857142857143
9,9,9,9,9,9,9,9,9,2021-12-22,Wed,EFL Cup,Quarter-finals,Home,D 3 (5)–3 (4),Liverpool,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7d868ad3/Liverpool-Leicester-City-December-22-2021-EFL-Cup,0.5,0.8333333333333334,0.5
