,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2020-08-28,Fri,Ligue 1,Matchweek 2,Home,W 4–1,Lyon,Dijon,N,WB,20,0,0,0,0,0.0,0.0,0,0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,20.0,85.0,2.0,14.0,1.0,0.0,0.0,/en/matches/7512406f/Lyon-Dijon-August-28-2020-Ligue-1,1.0,0.5,0.5
1,1,1,1,1,1,2020-09-16,Wed,EFL Cup,Second round,Away,W 1–0,Fulham,Ipswich Town,Y,RB,80,0,1,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/ec354b22/Ipswich-Town-Fulham-September-16-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2020-09-19,Sat,Premier League,Matchweek 2,Away,L 3–4,Fulham,Leeds United,Y,RB,90,0,1,0,0,0.0,0.0,1,0,52.0,3.0,4.0,0.0,0.0,0.0,0.4,2.0,1.0,31.0,40.0,77.5,3.0,23.0,1.0,1.0,0.0,/en/matches/583c2b60/Leeds-United-Fulham-September-19-2020-Premier-League,0.0,0.5,0.4615384615384615
3,3,3,3,3,3,2020-09-28,Mon,Premier League,Matchweek 3,Home,L 0–3,Fulham,Aston Villa,Y,RM,38,0,0,0,0,0.0,0.0,0,0,30.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,22.0,27.0,81.5,2.0,17.0,2.0,1.0,0.0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,0.0,0.6666666666666666,0.6071428571428571
4,4,4,4,4,4,2020-12-11,Fri,PL2 — Div. 2,Matchweek 11,Home,W 3–1,Fulham,Middlesbrough,Y,RB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/a382787d/Fulham-U23-Middlesbrough-U23-December-11-2020-Premier-League-2----Division-2,1.0,0.3333333333333333,0.5
5,5,5,5,5,5,2021-01-09,Sat,FA Cup,Third round proper,Away,W 2–0,Fulham,QPR,Y,RW,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/75c17e4f/Queens-Park-Rangers-Fulham-January-9-2021-FA-Cup,1.0,0.3333333333333333,0.5
6,6,6,6,6,6,2021-01-13,Wed,Premier League,Matchweek 16,Away,D 1–1,Fulham,Tottenham,Y,WB,66,0,0,0,0,1.0,0.0,0,0,42.0,0.0,2.0,1.0,0.1,0.1,0.1,2.0,0.0,23.0,34.0,67.6,4.0,19.0,2.0,0.0,0.0,/en/matches/fcad17a1/Tottenham-Hotspur-Fulham-January-13-2021-Premier-League,0.5,0.6666666666666666,0.5
7,7,7,7,7,7,2021-01-16,Sat,Premier League,Matchweek 19,Home,L 0–1,Fulham,Chelsea,Y,"RB,CB",90,0,0,0,0,0.0,0.0,0,0,46.0,6.0,0.0,0.0,0.0,0.0,0.3,2.0,0.0,23.0,35.0,65.7,2.0,17.0,1.0,1.0,1.0,/en/matches/714c642d/Fulham-Chelsea-January-16-2021-Premier-League,0.0,0.8333333333333334,0.5
8,8,8,8,8,8,2021-01-20,Wed,Premier League,Matchweek 18,Home,L 1–2,Fulham,Manchester Utd,Y,"WB,RB",90,0,0,0,0,0.0,0.0,0,0,60.0,5.0,3.0,2.0,0.0,0.0,0.1,3.0,0.0,25.0,36.0,69.4,4.0,26.0,0.0,2.0,0.0,/en/matches/2a3855db/Fulham-Manchester-United-January-20-2021-Premier-League,0.0,0.5,0.5
9,9,9,9,9,9,2021-01-27,Wed,Premier League,Matchweek 20,Away,D 0–0,Fulham,Brighton,Y,RM,78,0,0,0,0,1.0,0.0,0,0,47.0,3.0,2.0,0.0,0.0,0.0,0.1,1.0,0.0,25.0,34.0,73.5,3.0,20.0,2.0,1.0,0.0,/en/matches/ea5464bd/Brighton-and-Hove-Albion-Fulham-January-27-2021-Premier-League,0.5,0.1666666666666666,0.5
