,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,2020-09-20,Sun,Premier League,Matchweek 2,Home,L 0–2,Chelsea,Liverpool,N,CB,45,0,0,0,0,0,0,0,0,41.0,2.0,2,1.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,96.6,0.0,13.0,0.0,0.0,0.0,/en/matches/c64e5792/Chelsea-Liverpool-September-20-2020-Premier-League,0.0,0.5,0.5714285714285714
1,1,1,1,1,2020-09-23,Wed,EFL Cup,Third round,Home,W 6–0,Chelsea,Barnsley,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/9c3229db/Chelsea-Barnsley-September-23-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2020-09-29,Tue,EFL Cup,Fourth round,Away,D 1 (4)–1 (5),Chelsea,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/2e02cd1a/Tottenham-Hotspur-Chelsea-September-29-2020-EFL-Cup,0.5,0.5,0.5
3,3,3,3,3,2021-01-10,Sun,FA Cup,Third round proper,Home,W 4–0,Chelsea,Morecambe,N,,11,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/7db82f30/Chelsea-Morecambe-January-10-2021-FA-Cup,1.0,0.5,0.5
4,4,4,4,4,2021-01-26,Tue,Coppa Italia,Quarter-finals,Away,L 1–2,Milan,Inter,N,,71,0,0,0,0,0,0,0,0,,,4,,,,,,,,,,,,,,,/en/matches/c65b4ad3/Derby-della-Madonnina-Internazionale-Milan-January-26-2021-Coppa-Italia,0.0,0.8333333333333334,0.5
5,5,5,5,5,2021-01-30,Sat,Serie A,Matchweek 20,Away,W 2–1,Milan,Bologna,Y,CB,90,0,0,0,0,0,0,0,0,79.0,3.0,3,3.0,0.0,0.0,0.0,0.0,0.0,61.0,68.0,89.7,4.0,30.0,1.0,0.0,0.0,/en/matches/d5a77034/Bologna-Milan-January-30-2021-Serie-A,1.0,0.5,0.5
6,6,6,6,6,2021-02-07,Sun,Serie A,Matchweek 21,Home,W 4–0,Milan,Crotone,Y,CB,90,0,0,0,0,0,0,0,0,41.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,87.9,0.0,17.0,0.0,0.0,0.0,/en/matches/32d2f8ec/Milan-Crotone-February-7-2021-Serie-A,1.0,0.6666666666666666,0.5
7,7,7,7,7,2021-02-13,Sat,Serie A,Matchweek 22,Away,L 0–2,Milan,Spezia,N,CB,26,0,0,0,0,0,0,0,0,32.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,80.8,1.0,17.0,0.0,1.0,1.0,/en/matches/6a8f8283/Spezia-Milan-February-13-2021-Serie-A,0.0,0.6666666666666666,0.5
8,8,8,8,8,2021-02-18,Thu,Europa Lg,Round of 32,Neutral,D 2–2,it Milan,rs Red Star,Y,CB,90,0,0,0,0,0,0,0,0,54.0,1.0,0,2.0,0.0,0.0,0.0,1.0,0.0,39.0,50.0,78.0,1.0,38.0,2.0,1.0,1.0,/en/matches/5e20c93d/Red-Star-Belgrade-Milan-February-18-2021-Europa-League,0.5,0.6666666666666666,0.5
9,9,9,9,9,2021-02-25,Thu,Europa Lg,Round of 32,Neutral,D 1–1,it Milan,rs Red Star,Y,CB,90,0,0,0,0,0,0,0,0,44.0,3.0,1,5.0,0.0,0.0,0.0,0.0,0.0,22.0,31.0,71.0,2.0,22.0,0.0,0.0,0.0,/en/matches/8223839a/Milan-Red-Star-Belgrade-February-25-2021-Europa-League,0.5,0.5,0.5
10,10,10,10,10,2021-02-28,Sun,Serie A,Matchweek 24,Away,W 2–1,Milan,Roma,Y,CB,90,0,0,0,0,1,1,0,0,71.0,0.0,1,3.0,0.4,0.4,0.0,0.0,0.0,53.0,60.0,88.3,2.0,43.0,0.0,1.0,1.0,/en/matches/456108e4/Roma-Milan-February-28-2021-Serie-A,1.0,0.3333333333333333,0.5
11,11,11,11,11,2021-03-07,Sun,Serie A,Matchweek 26,Away,W 2–0,Milan,Hellas Verona,Y,CB,90,0,0,0,0,0,0,0,0,65.0,2.0,3,2.0,0.0,0.0,0.0,2.0,0.0,42.0,54.0,77.8,2.0,31.0,0.0,0.0,0.0,/en/matches/e521d168/Hellas-Verona-Milan-March-7-2021-Serie-A,1.0,0.6666666666666666,0.5
12,12,12,12,12,2021-03-11,Thu,Europa Lg,Round of 16,Away,D 1–1,it Milan,eng Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,69.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,87.9,3.0,43.0,0.0,2.0,2.0,/en/matches/277f9a5b/Manchester-United-Milan-March-11-2021-Europa-League,0.5,0.8333333333333334,0.5
13,13,13,13,13,2021-03-14,Sun,Serie A,Matchweek 27,Home,L 0–1,Milan,Napoli,Y,CB,90,0,0,0,0,0,0,0,0,87.0,4.0,0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,79.0,86.1,1.0,53.0,0.0,0.0,0.0,/en/matches/5b0eaf99/Milan-Napoli-March-14-2021-Serie-A,0.0,0.8333333333333334,0.5
14,14,14,14,14,2021-03-18,Thu,Europa Lg,Round of 16,Home,L 0–1,it Milan,eng Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,72.0,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,83.6,0.0,45.0,1.0,0.0,0.0,/en/matches/a4f15ace/Milan-Manchester-United-March-18-2021-Europa-League,0.0,0.5,0.5
15,15,15,15,15,2021-03-21,Sun,Serie A,Matchweek 28,Away,W 3–2,Milan,Fiorentina,Y,CB,90,0,0,0,0,0,0,0,0,56.0,4.0,0,0.0,0.0,0.0,0.0,1.0,1.0,46.0,47.0,97.9,6.0,28.0,1.0,0.0,0.0,/en/matches/07624790/Fiorentina-Milan-March-21-2021-Serie-A,1.0,0.1666666666666666,0.5
16,16,16,16,16,2021-04-03,Sat,Serie A,Matchweek 29,Home,D 1–1,Milan,Sampdoria,Y,CB,90,0,0,0,0,0,0,0,0,76.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,52.0,67.0,77.6,4.0,50.0,1.0,0.0,0.0,/en/matches/b442d9c8/Milan-Sampdoria-April-3-2021-Serie-A,0.5,0.3333333333333333,0.5
17,17,17,17,17,2021-04-10,Sat,Serie A,Matchweek 30,Away,W 3–1,Milan,Parma,Y,CB,90,0,0,0,0,0,0,0,0,53.0,3.0,0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,43.0,93.0,1.0,34.0,0.0,0.0,0.0,/en/matches/d524d212/Parma-Milan-April-10-2021-Serie-A,1.0,0.5,0.5
18,18,18,18,18,2021-04-18,Sun,Serie A,Matchweek 31,Home,W 2–1,Milan,Genoa,Y,CB,90,0,0,0,0,0,0,0,0,72.0,0.0,0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,62.0,80.6,3.0,50.0,0.0,0.0,0.0,/en/matches/ab91fa34/Milan-Genoa-April-18-2021-Serie-A,1.0,0.8333333333333334,0.5
19,19,19,19,19,2021-04-21,Wed,Serie A,Matchweek 32,Home,L 1–2,Milan,Sassuolo,Y,CB,90,0,0,0,0,1,0,0,0,73.0,1.0,0,3.0,0.0,0.0,0.0,1.0,0.0,58.0,61.0,95.1,6.0,38.0,0.0,0.0,0.0,/en/matches/24bbd9bb/Milan-Sassuolo-April-21-2021-Serie-A,0.0,0.8333333333333334,0.5
