,Unnamed: 0.31,Unnamed: 0.30,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Away,D 1–1,Sheffield Utd,Bournemouth,Y,CM,77,0,0,0,0,1,0,0,0,43.0,1.0,1,1.0,0.0,0.0,0.4,5.0,0.0,33.0,40.0,82.5,3.0,20.0,0.0,0.0,0.0,/en/matches/d402cacd/Bournemouth-Sheffield-United-August-10-2019-Premier-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-18,Sun,Premier League,Matchweek 2,Home,W 1–0,Sheffield Utd,Crystal Palace,Y,"CM,DM",90,1,0,0,0,2,1,1,0,67.0,4.0,2,1.0,0.5,0.5,0.6,2.0,0.0,39.0,45.0,86.7,8.0,27.0,1.0,2.0,0.0,/en/matches/7ca12d31/Sheffield-United-Crystal-Palace-August-18-2019-Premier-League,1.0,0.5,0.511904761904762
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-24,Sat,Premier League,Matchweek 3,Home,L 1–2,Sheffield Utd,Leicester City,Y,"CM,RM",90,0,0,0,0,1,0,1,0,64.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,47.0,59.0,79.7,5.0,31.0,0.0,1.0,1.0,/en/matches/48fcf75b/Sheffield-United-Leicester-City-August-24-2019-Premier-League,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Away,D 2–2,Sheffield Utd,Chelsea,Y,"CM,RM",90,0,0,0,0,0,0,0,0,56.0,0.0,5,1.0,0.0,0.0,0.0,2.0,0.0,38.0,49.0,77.6,3.0,28.0,0.0,2.0,1.0,/en/matches/495db223/Chelsea-Sheffield-United-August-31-2019-Premier-League,0.5,0.5,0.6547619047619049
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-14,Sat,Premier League,Matchweek 5,Home,L 0–1,Sheffield Utd,Southampton,Y,CM,71,0,0,0,0,0,0,0,0,51.0,2.0,0,2.0,0.0,0.0,0.1,3.0,0.0,33.0,44.0,75.0,4.0,24.0,2.0,1.0,1.0,/en/matches/e5f9905d/Sheffield-United-Southampton-September-14-2019-Premier-League,0.0,0.5,0.630952380952381
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-21,Sat,Premier League,Matchweek 6,Away,W 2–0,Sheffield Utd,Everton,Y,CM,90,0,1,0,0,0,0,0,0,40.0,2.0,3,2.0,0.0,0.0,0.4,2.0,2.0,21.0,28.0,75.0,1.0,12.0,3.0,3.0,1.0,/en/matches/707ee0eb/Everton-Sheffield-United-September-21-2019-Premier-League,1.0,0.1666666666666666,0.5238095238095238
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-28,Sat,Premier League,Matchweek 7,Home,L 0–1,Sheffield Utd,Liverpool,Y,CM,90,0,0,0,0,2,0,0,0,45.0,1.0,3,1.0,0.1,0.1,0.0,2.0,0.0,25.0,32.0,78.1,3.0,19.0,1.0,0.0,0.0,/en/matches/1224c8ae/Sheffield-United-Liverpool-September-28-2019-Premier-League,0.0,0.5,0.7142857142857142
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-05,Sat,Premier League,Matchweek 8,Away,D 0–0,Sheffield Utd,Watford,Y,CM,90,0,0,0,0,1,0,1,0,79.0,0.0,0,0.0,0.1,0.1,0.1,3.0,0.0,57.0,68.0,83.8,6.0,47.0,2.0,1.0,0.0,/en/matches/2b83068d/Watford-Sheffield-United-October-5-2019-Premier-League,0.5,0.3333333333333333,0.3571428571428571
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-21,Mon,Premier League,Matchweek 9,Home,W 1–0,Sheffield Utd,Arsenal,Y,"CM,RM",90,0,0,0,0,0,0,0,0,40.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,24.0,30.0,80.0,2.0,21.0,0.0,1.0,0.0,/en/matches/f63044fd/Sheffield-United-Arsenal-October-21-2019-Premier-League,1.0,0.5,0.8095238095238094
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-26,Sat,Premier League,Matchweek 10,Away,D 1–1,Sheffield Utd,West Ham,Y,CM,90,0,0,0,0,2,0,0,0,46.0,4.0,1,1.0,0.2,0.2,0.1,3.0,0.0,27.0,32.0,84.4,5.0,24.0,3.0,1.0,0.0,/en/matches/43aa7711/West-Ham-United-Sheffield-United-October-26-2019-Premier-League,0.5,0.5,0.2499999999999999
