,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2019-08-11,Sun,Premier League,Matchweek 1,Home,L 0–1,Newcastle Utd,Arsenal,Y,"WB,CM",90,0,0,0,0,0,0,0,0,56.0,1.0,3,0.0,0.0,0.0,0.1,3.0,0.0,32.0,49.0,65.3,1.0,24.0,0.0,1.0,0.0,/en/matches/1405a610/Newcastle-United-Arsenal-August-11-2019-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–3,Newcastle Utd,Norwich City,Y,WB,90,0,0,0,0,3,1,0,0,72.0,4.0,2,1.0,0.1,0.1,0.2,5.0,0.0,38.0,56.0,67.9,1.0,37.0,2.0,2.0,1.0,/en/matches/3ea63f4b/Norwich-City-Newcastle-United-August-17-2019-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2019-08-25,Sun,Premier League,Matchweek 3,Away,W 1–0,Newcastle Utd,Tottenham,Y,LB,90,0,0,0,0,0,0,1,0,48.0,1.0,0,2.0,0.0,0.0,0.1,5.0,1.0,33.0,41.0,80.5,0.0,23.0,0.0,1.0,1.0,/en/matches/c224d1e8/Tottenham-Hotspur-Newcastle-United-August-25-2019-Premier-League,1.0,0.5,0.5
3,3,3,3,3,3,3,2019-08-28,Wed,EFL Cup,Second round,Home,D 1 (2)–1 (4),Newcastle Utd,Leicester City,Y,LM,44,0,0,0,0,0,0,1,0,,,0,,,,,,,,,,,,,,,/en/matches/551a9edd/Newcastle-United-Leicester-City-August-28-2019-EFL-Cup,0.5,0.3333333333333333,0.5
4,4,4,4,4,4,4,2020-01-04,Sat,FA Cup,Third round,Away,D 1–1,Newcastle Utd,Rochdale,N,,27,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/030e0a8f/Rochdale-Newcastle-United-January-4-2020-FA-Cup,0.5,0.5,0.5
5,5,5,5,5,5,5,2020-01-14,Tue,FA Cup,Third round,Home,W 4–1,Newcastle Utd,Rochdale,Y,LB,68,0,1,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/b1b251e0/Newcastle-United-Rochdale-January-14-2020-FA-Cup,1.0,0.6666666666666666,0.5
6,6,6,6,6,6,6,2020-01-18,Sat,Premier League,Matchweek 23,Home,W 1–0,Newcastle Utd,Chelsea,N,LB,79,0,0,0,0,0,0,0,0,41.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,62.2,4.0,18.0,1.0,1.0,1.0,/en/matches/e5a20f1e/Newcastle-United-Chelsea-January-18-2020-Premier-League,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,2020-01-21,Tue,Premier League,Matchweek 24,Away,D 2–2,Newcastle Utd,Everton,Y,LB,90,0,0,0,0,0,0,0,0,73.0,0.0,2,1.0,0.0,0.0,0.1,2.0,0.0,39.0,58.0,67.2,3.0,30.0,1.0,0.0,0.0,/en/matches/33b8c50a/Everton-Newcastle-United-January-21-2020-Premier-League,0.5,0.8333333333333334,0.5
8,8,8,8,8,8,8,2020-01-25,Sat,FA Cup,Fourth round,Home,D 0–0,Newcastle Utd,Oxford United,Y,LB,90,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5250414d/Newcastle-United-Oxford-United-January-25-2020-FA-Cup,0.5,0.8333333333333334,0.5
9,9,9,9,9,9,9,2020-02-01,Sat,Premier League,Matchweek 25,Home,D 0–0,Newcastle Utd,Norwich City,Y,"LB,LM",90,0,0,0,0,2,0,0,0,68.0,0.0,3,2.0,0.1,0.1,0.2,5.0,0.0,33.0,52.0,63.5,6.0,33.0,5.0,0.0,0.0,/en/matches/eef415ec/Newcastle-United-Norwich-City-February-1-2020-Premier-League,0.5,0.6666666666666666,0.5
