,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2022-08-27,Sat,Premier League,Matchweek 4,Home,W 2–1,Arsenal,Fulham,N,CB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/8b69fd2d/Arsenal-Fulham-August-27-2022-Premier-League,1.0,0.5,0.59375
1,1,1,1,1,1,1,1,2022-08-31,Wed,Premier League,Matchweek 5,Home,W 2–1,Arsenal,Aston Villa,N,"CB,RW",3,0,0,0,0,0,0,0,0,3.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/cc235aad/Arsenal-Aston-Villa-August-31-2022-Premier-League,1.0,0.5,0.3571428571428571
2,2,2,2,2,2,2,2,2022-09-08,Thu,Europa Lg,Group stage,Away,W 2–1,eng Arsenal,ch Zürich,Y,CB,90,0,0,0,0,0,0,0,0,64.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,54.0,58.0,93.1,7.0,48.0,0.0,0.0,0.0,/en/matches/e77d99bf/Zurich-Arsenal-September-8-2022-Europa-League,1.0,0.5,0.5
3,3,3,3,3,3,3,3,2022-10-06,Thu,Europa Lg,Group stage,Home,W 3–0,eng Arsenal,no Bodø/Glimt,Y,CB,90,1,0,0,0,1,1,0,0,81.0,1.0,1,1.0,0.1,0.1,0.0,0.0,0.0,68.0,72.0,94.4,5.0,60.0,1.0,0.0,0.0,/en/matches/91a1d3df/Arsenal-BodoGlimt-October-6-2022-Europa-League,1.0,1.0,0.5
4,4,4,4,4,4,4,4,2022-10-13,Thu,Europa Lg,Group stage,Away,W 1–0,eng Arsenal,no Bodø/Glimt,Y,CB,90,0,0,0,0,0,0,0,0,84.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,73.0,94.5,7.0,60.0,1.0,2.0,0.0,/en/matches/04e59775/BodoGlimt-Arsenal-October-13-2022-Europa-League,1.0,1.0,0.5
5,5,5,5,5,5,5,5,2022-10-16,Sun,Premier League,Matchweek 11,Away,W 1–0,Arsenal,Leeds United,N,CB,9,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,0.0,0.0,/en/matches/92885cfc/Leeds-United-Arsenal-October-16-2022-Premier-League,1.0,1.0,0.3444444444444443
6,6,6,6,6,6,6,6,2022-10-20,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,nl PSV Eindhoven,Y,CB,90,0,0,0,0,0,0,0,0,97.0,0.0,1,0.0,0.0,0.0,0.1,2.0,0.0,80.0,92.0,87.0,5.0,72.0,1.0,0.0,0.0,/en/matches/ba3ab652/Arsenal-PSV-Eindhoven-October-20-2022-Europa-League,1.0,1.0,0.5
7,7,7,7,7,7,7,7,2022-10-27,Thu,Europa Lg,Group stage,Away,L 0–2,eng Arsenal,nl PSV Eindhoven,Y,CB,63,0,0,0,0,0,0,0,0,67.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,56.0,62.0,90.3,1.0,43.0,1.0,0.0,0.0,/en/matches/96e0d9c5/PSV-Eindhoven-Arsenal-October-27-2022-Europa-League,0.0,1.0,0.5
8,8,8,8,8,8,8,8,2022-11-03,Thu,Europa Lg,Group stage,Home,W 1–0,eng Arsenal,ch Zürich,Y,CB,90,0,0,0,0,0,0,0,0,56.0,4.0,1,0.0,0.0,0.0,0.1,0.0,0.0,33.0,47.0,70.2,3.0,30.0,0.0,0.0,0.0,/en/matches/75b5ef0d/Arsenal-Zurich-November-3-2022-Europa-League,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,2022-11-06,Sun,Premier League,Matchweek 15,Away,W 1–0,Arsenal,Chelsea,N,CB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,1.0,0.6666666666666666,0.6666666666666665
