,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-03,Fri,UEFA Nations League,League A,Away,W 4–1,nl Netherlands,be Belgium,Y,CB,73,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/7d99f83e/Belgium-Netherlands-June-3-2022-UEFA-Nations-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-06-11,Sat,UEFA Nations League,League A,Home,D 2–2,nl Netherlands,pl Poland,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/5e169ad9/Netherlands-Poland-June-11-2022-UEFA-Nations-League,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-07-30,Sat,Community Shield,FA Community Shield,Neutral,L 1–3,Manchester City,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/341bf7a1/Liverpool-Manchester-City-July-30-2022-FA-Community-Shield,0.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-07,Sun,Premier League,Matchweek 1,Away,W 2–0,Manchester City,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,114.0,1.0,1,3.0,0.0,0.0,0.0,0.0,0.0,99.0,106.0,93.4,2.0,73.0,0.0,0.0,0.0,/en/matches/ece62baf/West-Ham-United-Manchester-City-August-7-2022-Premier-League,1.0,0.5,0.42708333333333337
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-13,Sat,Premier League,Matchweek 2,Home,W 4–0,Manchester City,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,99.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,86.0,89.0,96.6,8.0,71.0,0.0,0.0,0.0,/en/matches/311d705c/Manchester-City-Bournemouth-August-13-2022-Premier-League,1.0,0.5,0.5111111111111112
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-08-21,Sun,Premier League,Matchweek 3,Away,D 3–3,Manchester City,Newcastle Utd,Y,CB,20,0,0,0,0,0,0,0,0,20.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,18.0,20.0,90.0,0.0,9.0,0.0,0.0,0.0,/en/matches/b513d9fe/Newcastle-United-Manchester-City-August-21-2022-Premier-League,0.5,0.6666666666666666,0.5000000000000001
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-09-03,Sat,Premier League,Matchweek 6,Away,D 1–1,Manchester City,Aston Villa,N,CB,11,0,0,0,0,0,0,0,0,17.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,100.0,0.0,6.0,0.0,0.0,0.0,/en/matches/3091f0b8/Aston-Villa-Manchester-City-September-3-2022-Premier-League,0.5,0.8333333333333334,0.2976190476190476
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-09-14,Wed,Champions Lg,Group stage,Home,W 2–1,eng Manchester City,de Dortmund,Y,CB,90,0,0,0,0,0,0,0,0,107.0,1.0,2,1.0,0.0,0.0,0.0,1.0,1.0,96.0,101.0,95.0,15.0,76.0,2.0,0.0,0.0,/en/matches/f8469961/Manchester-City-Dortmund-September-14-2022-Champions-League,1.0,0.6666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-09-22,Thu,UEFA Nations League,League A,Away,W 2–0,nl Netherlands,pl Poland,Y,CB,90,0,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,,,/en/matches/5f3f2975/Poland-Netherlands-September-22-2022-UEFA-Nations-League,1.0,0.6666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-09-25,Sun,UEFA Nations League,League A,Home,W 1–0,nl Netherlands,be Belgium,Y,CB,45,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/8603c472/Netherlands-Belgium-September-25-2022-UEFA-Nations-League,1.0,0.8333333333333334,0.5
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2022-10-02,Sun,Premier League,Matchweek 9,Home,W 6–3,Manchester City,Manchester Utd,Y,"CB,LB",90,0,0,0,0,0,0,0,0,69.0,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,58.0,67.0,86.6,3.0,49.0,2.0,0.0,0.0,/en/matches/886e6108/Manchester-Derby-Manchester-City-Manchester-United-October-2-2022-Premier-League,1.0,1.0,0.7395833333333333
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2022-10-08,Sat,Premier League,Matchweek 10,Home,W 4–0,Manchester City,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,98.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,89.0,94.0,94.7,7.0,67.0,0.0,0.0,0.0,/en/matches/864294c0/Manchester-City-Southampton-October-8-2022-Premier-League,1.0,1.0,0.1777777777777777
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2022-10-11,Tue,Champions Lg,Group stage,Away,D 0–0,eng Manchester City,dk FC Copenhagen,N,CB,3,0,0,0,0,0,0,0,0,5.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,3.0,0.0,0.0,0.0,/en/matches/9fcbdbb0/FC-Copenhagen-Manchester-City-October-11-2022-Champions-League,0.5,1.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2022-10-16,Sun,Premier League,Matchweek 11,Away,L 0–1,Manchester City,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,133.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,117.0,129.0,90.7,12.0,76.0,1.0,0.0,0.0,/en/matches/2ed4b79f/Liverpool-Manchester-City-October-16-2022-Premier-League,0.0,0.8333333333333334,0.6666666666666665
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2022-10-25,Tue,Champions Lg,Group stage,Away,D 0–0,eng Manchester City,de Dortmund,Y,CB,90,0,0,0,0,2,0,0,0,158.0,3.0,1,0.0,0.1,0.1,0.0,0.0,0.0,144.0,151.0,95.4,16.0,105.0,2.0,0.0,0.0,/en/matches/606d549f/Dortmund-Manchester-City-October-25-2022-Champions-League,0.5,0.5,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2022-11-05,Sat,Premier League,Matchweek 15,Home,W 2–1,Manchester City,Fulham,Y,"LB,CB",90,0,0,0,0,0,0,0,0,100.0,0.0,2,0.0,0.0,0.0,0.1,3.0,0.0,91.0,96.0,94.8,7.0,78.0,2.0,0.0,0.0,/en/matches/6ef27b3c/Manchester-City-Fulham-November-5-2022-Premier-League,1.0,0.3333333333333333,0.7111111111111111
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2022-11-09,Wed,EFL Cup,Third round,Home,W 2–0,Manchester City,Chelsea,N,,10,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/828fe798/Manchester-City-Chelsea-November-9-2022-EFL-Cup,1.0,0.5,0.5
