,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2021-08-25,Wed,EFL Cup,Second round,Away,W 8–0,Southampton,Newport County,N,,26,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ea9d95ea/Newport-County-Southampton-August-25-2021-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,2021-09-26,Sun,Premier League,Matchweek 6,Home,L 0–1,Southampton,Wolves,N,AM,17,0,0,0,0,1,0,0,0,7.0,2.0,0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,1.0,0.0,/en/matches/d99f984c/Southampton-Wolverhampton-Wanderers-September-26-2021-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2021-10-26,Tue,EFL Cup,Fourth round,Away,D 1 (3)–1 (4),Southampton,Chelsea,N,,25,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/026f8b03/Chelsea-Southampton-October-26-2021-EFL-Cup,0.5,0.5,0.5
3,3,3,3,3,3,2021-12-15,Wed,Premier League,Matchweek 17,Away,D 2–2,Southampton,Crystal Palace,N,FW,21,0,0,0,0,1,1,0,0,9.0,1.0,0,0.0,0.1,0.1,0.0,1.0,0.0,3.0,5.0,60.0,0.0,7.0,1.0,0.0,0.0,/en/matches/9ebb60f0/Crystal-Palace-Southampton-December-15-2021-Premier-League,0.5,0.5,0.369047619047619
4,4,4,4,4,4,2021-12-28,Tue,Premier League,Matchweek 20,Home,D 1–1,Southampton,Tottenham,Y,FW,70,0,0,0,0,0,0,0,0,25.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,56.3,1.0,12.0,1.0,0.0,0.0,/en/matches/08d5ef01/Southampton-Tottenham-Hotspur-December-28-2021-Premier-League,0.5,0.3333333333333333,0.7976190476190476
5,5,5,5,5,5,2022-01-08,Sat,FA Cup,Third round proper,Away,W 3–2,Southampton,Swansea City,N,,43,1,1,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/19af61c5/Swansea-City-Southampton-January-8-2022-FA-Cup,1.0,0.5,0.5
6,6,6,6,6,6,2022-02-05,Sat,FA Cup,Fourth round proper,Home,W 2–1,Southampton,Coventry City,Y,FW,120,0,0,0,0,2,2,0,0,,,0,,,,,,,,,,,,,,,/en/matches/ccccb0d1/Southampton-Coventry-City-February-5-2022-FA-Cup,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,2022-02-09,Wed,Premier League,Matchweek 24,Away,W 3–2,Southampton,Tottenham,N,FW,3,0,0,0,0,0,0,0,0,9.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,2.0,0.0,1.0,1.0,/en/matches/0613df22/Tottenham-Hotspur-Southampton-February-9-2022-Premier-League,1.0,0.8333333333333334,0.5
8,8,8,8,8,8,2022-02-19,Sat,Premier League,Matchweek 26,Home,W 2–0,Southampton,Everton,N,FW,8,1,0,0,0,1,1,0,0,7.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,2.0,50.0,0.0,4.0,0.0,1.0,0.0,/en/matches/53cc3dbd/Southampton-Everton-February-19-2022-Premier-League,1.0,1.0,0.5
9,9,9,9,9,9,2022-02-25,Fri,Premier League,Matchweek 27,Home,W 2–0,Southampton,Norwich City,N,FW,8,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,/en/matches/17c79d36/Southampton-Norwich-City-February-25-2022-Premier-League,1.0,1.0,0.5
10,10,10,10,10,10,2022-03-02,Wed,FA Cup,Fifth round proper,Home,W 3–1,Southampton,West Ham,Y,FW,45,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/c29212bb/Southampton-West-Ham-United-March-2-2022-FA-Cup,1.0,1.0,0.5
11,11,11,11,11,11,2022-03-10,Thu,Premier League,Matchweek 21,Home,L 1–2,Southampton,Newcastle Utd,N,"FW,CM",12,0,0,0,0,0,0,0,0,4.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,/en/matches/2d6fb488/Southampton-Newcastle-United-March-10-2022-Premier-League,0.0,1.0,0.5
12,12,12,12,12,12,2022-03-13,Sun,Premier League,Matchweek 29,Home,L 1–2,Southampton,Watford,N,FW,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/2c627dd8/Southampton-Watford-March-13-2022-Premier-League,0.0,0.6666666666666666,0.5
13,13,13,13,13,13,2022-03-20,Sun,FA Cup,Quarter-finals,Home,L 1–4,Southampton,Manchester City,Y,FW,62,0,0,0,0,1,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/776bdea8/Southampton-Manchester-City-March-20-2022-FA-Cup,0.0,0.3333333333333333,0.5
14,14,14,14,14,14,2022-04-02,Sat,Premier League,Matchweek 31,Away,D 1–1,Southampton,Leeds United,N,FW,1,0,0,0,0,1,0,0,0,3.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League,0.5,0.0,0.5
15,15,15,15,15,15,2022-04-16,Sat,Premier League,Matchweek 33,Home,W 1–0,Southampton,Arsenal,N,FW,17,0,0,0,0,0,0,1,0,6.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,4.0,0.0,0.0,0.0,/en/matches/5ea2687c/Southampton-Arsenal-April-16-2022-Premier-League,1.0,0.1666666666666666,0.5
16,16,16,16,16,16,2022-04-24,Sun,Premier League,Matchweek 34,Away,D 2–2,Southampton,Brighton,Y,FW,78,0,0,0,0,4,3,0,0,29.0,0.0,0,0.0,0.3,0.3,0.0,0.0,0.0,10.0,15.0,66.7,0.0,17.0,0.0,0.0,0.0,/en/matches/32a11932/Brighton-and-Hove-Albion-Southampton-April-24-2022-Premier-League,0.5,0.5,0.5
