,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2023-08-11,Sat,Matchweek 4,Home,L 2–5,Burnley,Tottenham,N,CM,45,25,18,7,0,1,0,5,0,6,1,1,1,19,0,1,/en/matches/f1786fb8/Burnley-Tottenham-Hotspur-September-2-2023-Premier-League
1,2023-08-11,Mon,Matchweek 5,Away,D 1–1,Burnley,Nott'ham Forest,Y*,DM,90,40,35,4,1,0,0,4,2,1,1,0,0,25,1,0,/en/matches/ad7ecfad/Nottingham-Forest-Burnley-September-18-2023-Premier-League
2,2023-08-11,Sat,Matchweek 6,Home,L 0–1,Burnley,Manchester Utd,Y*,LM,85,40,34,6,3,0,0,3,0,3,1,0,0,31,0,0,/en/matches/8e26793d/Burnley-Manchester-United-September-23-2023-Premier-League
3,2023-08-11,Sat,Matchweek 7,Away,L 0–2,Burnley,Newcastle Utd,Y*,AM,90,36,32,4,1,1,0,3,0,3,2,0,0,26,0,2,/en/matches/a79ff136/Newcastle-United-Burnley-September-30-2023-Premier-League
4,2023-08-11,Tue,Matchweek 2,Away,W 2–1,Burnley,Luton Town,Y*,LM,90,66,54,10,4,0,1,5,0,6,2,1,1,47,2,3,/en/matches/4f7b3f27/Luton-Town-Burnley-October-3-2023-Premier-League
5,2023-08-11,Sat,Matchweek 8,Home,L 1–4,Burnley,Chelsea,Y*,LM,90,35,25,10,1,0,0,4,0,7,4,0,0,26,0,2,/en/matches/cfd83ca3/Burnley-Chelsea-October-7-2023-Premier-League
