,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 1–5,Brentford,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,34.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,66.7,1.0,10.0,0.0,1.0,1.0,/en/matches/7dd42d3f/Newcastle-United-Brentford-October-8-2022-Premier-League,0.0,0.5,0.6145833333333333
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-10-14,Fri,Premier League,Matchweek 11,Home,W 2–0,Brentford,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,38.0,2.0,1,1.0,0.0,0.0,0.0,1.0,1.0,22.0,27.0,81.5,5.0,7.0,0.0,0.0,0.0,/en/matches/69409682/Brentford-Brighton-and-Hove-Albion-October-14-2022-Premier-League,1.0,0.5,0.4523809523809523
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-10-19,Wed,Premier League,Matchweek 12,Home,D 0–0,Brentford,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,51.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,27.0,36.0,75.0,5.0,16.0,0.0,0.0,0.0,/en/matches/b7a32aeb/Brentford-Chelsea-October-19-2022-Premier-League,0.5,0.5,0.9583333333333334
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-10-23,Sun,Premier League,Matchweek 13,Away,L 0–4,Brentford,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,57.0,1.0,1,1.0,0.1,0.1,0.0,0.0,0.0,37.0,49.0,75.5,3.0,21.0,0.0,0.0,0.0,/en/matches/7764ca02/Aston-Villa-Brentford-October-23-2022-Premier-League,0.0,0.5,0.2083333333333332
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-10-29,Sat,Premier League,Matchweek 14,Home,D 1–1,Brentford,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,74.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,54.0,66.0,81.8,1.0,45.0,0.0,0.0,0.0,/en/matches/41e403d3/Brentford-Wolverhampton-Wanderers-October-29-2022-Premier-League,0.5,0.5,0.3076923076923077
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-11-05,Sat,Premier League,Matchweek 15,Away,D 2–2,Brentford,Nott'ham Forest,Y,CB,90,0,0,0,0,1,0,0,0,88.0,1.0,2,1.0,0.0,0.0,0.0,0.0,0.0,56.0,72.0,77.8,1.0,44.0,0.0,0.0,0.0,/en/matches/12251835/Nottingham-Forest-Brentford-November-5-2022-Premier-League,0.5,0.3333333333333333,0.4333333333333333
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-11-08,Tue,EFL Cup,Third round,Home,D 1 (5)–1 (6),Brentford,Gillingham,Y,CB,120,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/1a09c93e/Brentford-Gillingham-November-8-2022-EFL-Cup,0.5,0.3333333333333333,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-11-12,Sat,Premier League,Matchweek 16,Away,W 2–1,Brentford,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,32.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,41.7,1.0,3.0,0.0,0.0,0.0,/en/matches/28b60c1b/Manchester-City-Brentford-November-12-2022-Premier-League,1.0,0.5,0.9583333333333336
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-12-26,Mon,Premier League,Matchweek 17,Home,D 2–2,Brentford,Tottenham,Y,CB,90,0,0,0,0,1,1,0,0,40.0,1.0,2,0.0,0.1,0.1,0.0,0.0,0.0,14.0,22.0,63.6,1.0,7.0,0.0,0.0,0.0,/en/matches/14e4f648/Brentford-Tottenham-Hotspur-December-26-2022-Premier-League,0.5,0.6666666666666666,0.4743589743589743
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-12-30,Fri,Premier League,Matchweek 18,Away,W 2–0,Brentford,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,51.0,2.0,0,1.0,0.2,0.2,0.5,2.0,0.0,29.0,34.0,85.3,0.0,15.0,0.0,0.0,0.0,/en/matches/56acbbbe/West-Ham-United-Brentford-December-30-2022-Premier-League,1.0,0.6666666666666666,0.2948717948717948
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2023-01-02,Mon,Premier League,Matchweek 19,Home,W 3–1,Brentford,Liverpool,Y,CB,90,0,0,0,0,2,2,0,0,43.0,1.0,2,4.0,0.5,0.5,0.0,2.0,0.0,11.0,23.0,47.8,0.0,6.0,0.0,0.0,0.0,/en/matches/af6aa183/Brentford-Liverpool-January-2-2023-Premier-League,1.0,0.8333333333333334,0.5
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2023-01-14,Sat,Premier League,Matchweek 20,Home,W 2–0,Brentford,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,70.0,2.0,0,1.0,0.0,0.0,0.0,1.0,0.0,41.0,55.0,74.5,2.0,31.0,1.0,1.0,0.0,/en/matches/3f992264/Brentford-Bournemouth-January-14-2023-Premier-League,1.0,0.8333333333333334,0.5
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,2023-01-22,Sun,Premier League,Matchweek 21,Away,D 0–0,Brentford,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,42.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,1.0,14.0,0.0,0.0,0.0,/en/matches/f0e7d8a8/Leeds-United-Brentford-January-22-2023-Premier-League,0.5,1.0,0.5
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,2023-02-04,Sat,Premier League,Matchweek 22,Home,W 3–0,Brentford,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,48.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,37.0,56.8,4.0,18.0,0.0,0.0,0.0,/en/matches/ef31dad5/Brentford-Southampton-February-4-2023-Premier-League,1.0,0.8333333333333334,0.5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,2023-02-11,Sat,Premier League,Matchweek 23,Away,D 1–1,Brentford,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,32.0,1.0,2,0.0,0.0,0.0,0.0,1.0,1.0,13.0,15.0,86.7,0.0,10.0,0.0,0.0,0.0,/en/matches/7caa56bc/Arsenal-Brentford-February-11-2023-Premier-League,0.5,0.8333333333333334,0.5
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,2023-02-18,Sat,Premier League,Matchweek 24,Home,D 1–1,Brentford,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,81.0,1.0,2,1.0,0.0,0.0,0.0,1.0,1.0,62.0,71.0,87.3,1.0,53.0,0.0,0.0,0.0,/en/matches/f6370484/Brentford-Crystal-Palace-February-18-2023-Premier-League,0.5,0.6666666666666666,0.5
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,2023-03-06,Mon,Premier League,Matchweek 26,Home,W 3–2,Brentford,Fulham,Y,CB,90,1,0,0,0,1,1,0,0,33.0,4.0,2,1.0,0.1,0.1,0.0,1.0,1.0,15.0,21.0,71.4,2.0,3.0,0.0,0.0,0.0,/en/matches/3dce3a24/Brentford-Fulham-March-6-2023-Premier-League,1.0,0.6666666666666666,0.5
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,2023-03-11,Sat,Premier League,Matchweek 27,Away,L 0–1,Brentford,Everton,Y,CB,90,0,0,0,0,1,0,0,0,65.0,2.0,0,0.0,0.7,0.7,0.1,1.0,0.0,47.0,57.0,82.5,1.0,30.0,0.0,0.0,0.0,/en/matches/980f57d4/Everton-Brentford-March-11-2023-Premier-League,0.0,0.6666666666666666,0.5
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,2023-03-15,Wed,Premier League,Matchweek 7,Away,W 2–0,Brentford,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,38.0,2.0,0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,26.0,88.5,3.0,10.0,0.0,0.0,0.0,/en/matches/a4202b5b/Southampton-Brentford-March-15-2023-Premier-League,1.0,0.5,0.5
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,2023-03-18,Sat,Premier League,Matchweek 28,Home,D 1–1,Brentford,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,69.0,2.0,0,3.0,0.0,0.0,0.0,1.0,0.0,47.0,55.0,85.5,2.0,32.0,0.0,0.0,0.0,/en/matches/7647948e/Brentford-Leicester-City-March-18-2023-Premier-League,0.5,0.6666666666666666,0.5
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2023-04-01,Sat,Premier League,Matchweek 29,Away,D 3–3,Brentford,Brighton,Y,CB,90,1,0,0,0,1,1,0,0,44.0,1.0,1,6.0,0.5,0.5,0.0,0.0,0.0,16.0,22.0,72.7,0.0,17.0,0.0,0.0,0.0,/en/matches/ead2251e/Brighton-and-Hove-Albion-Brentford-April-1-2023-Premier-League,0.5,0.5,0.5
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,2023-04-05,Wed,Premier League,Matchweek 25,Away,L 0–1,Brentford,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,65.0,3.0,3,2.0,0.0,0.0,0.0,1.0,0.0,41.0,47.0,87.2,3.0,28.0,0.0,1.0,0.0,/en/matches/f3e6e475/Manchester-United-Brentford-April-5-2023-Premier-League,0.0,0.6666666666666666,0.5
