,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-15,Tue,EFL Cup,Second round,Away,W 3–1,Aston Villa,Burton Albion,Y,FW,70,1,0,0,0,5.0,2.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/84027e41/Burton-Albion-Aston-Villa-September-15-2020-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-21,Mon,Premier League,Matchweek 2,Home,W 1–0,Aston Villa,Sheffield Utd,Y,FW,90,0,0,0,0,3.0,0.0,0,0,28.0,0.0,0.0,0.0,0.1,0.1,0.1,3.0,0.0,13.0,19.0,68.4,2.0,14.0,2.0,1.0,0.0,/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,1.0,0.5,0.4285714285714285
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-24,Thu,EFL Cup,Third round,Away,W 3–0,Aston Villa,Bristol City,N,,21,1,0,0,0,3.0,3.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c92b74a3/Bristol-City-Aston-Villa-September-24-2020-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-09-28,Mon,Premier League,Matchweek 3,Away,W 3–0,Aston Villa,Fulham,Y,FW,90,0,0,0,0,2.0,0.0,0,0,36.0,2.0,1.0,0.0,0.2,0.2,0.0,3.0,0.0,12.0,24.0,50.0,1.0,16.0,3.0,3.0,2.0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,1.0,1.0,0.4880952380952381
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-10-01,Thu,EFL Cup,Fourth round,Home,L 0–1,Aston Villa,Stoke City,N,,20,0,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/8f27b32d/Aston-Villa-Stoke-City-October-1-2020-EFL-Cup,0.0,1.0,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-04,Sun,Premier League,Matchweek 4,Home,W 7–2,Aston Villa,Liverpool,Y,FW,90,3,1,0,0,5.0,4.0,0,0,39.0,2.0,1.0,2.0,1.6,1.6,0.1,6.0,3.0,15.0,25.0,60.0,2.0,22.0,4.0,1.0,1.0,/en/matches/14a7771b/Aston-Villa-Liverpool-October-4-2020-Premier-League,1.0,0.6666666666666666,0.8690476190476192
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-10-18,Sun,Premier League,Matchweek 5,Away,W 1–0,Aston Villa,Leicester City,Y,FW,90,0,0,0,0,1.0,1.0,0,0,29.0,2.0,2.0,0.0,0.1,0.1,0.0,1.0,0.0,16.0,19.0,84.2,0.0,15.0,2.0,1.0,0.0,/en/matches/7751d8c1/Leicester-City-Aston-Villa-October-18-2020-Premier-League,1.0,0.6666666666666666,0.5357142857142857
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-10-23,Fri,Premier League,Matchweek 6,Home,L 0–3,Aston Villa,Leeds United,Y,FW,90,0,0,0,0,2.0,0.0,0,0,43.0,0.0,1.0,0.0,0.3,0.3,0.2,3.0,0.0,23.0,38.0,60.5,2.0,26.0,5.0,1.0,1.0,/en/matches/873ab775/Aston-Villa-Leeds-United-October-23-2020-Premier-League,0.0,0.6666666666666666,0.4523809523809524
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-11-01,Sun,Premier League,Matchweek 7,Home,L 3–4,Aston Villa,Southampton,Y,FW,90,1,0,1,1,1.0,1.0,0,0,33.0,1.0,0.0,0.0,0.8,0.1,0.1,5.0,1.0,18.0,25.0,72.0,2.0,12.0,1.0,4.0,4.0,/en/matches/235264ac/Aston-Villa-Southampton-November-1-2020-Premier-League,0.0,0.6666666666666666,0.7380952380952381
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-11-08,Sun,Premier League,Matchweek 8,Away,W 3–0,Aston Villa,Arsenal,Y,FW,90,2,0,0,0,3.0,2.0,0,0,40.0,1.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,19.0,30.0,63.3,1.0,24.0,4.0,3.0,3.0,/en/matches/90fd3597/Arsenal-Aston-Villa-November-8-2020-Premier-League,1.0,0.3333333333333333,0.75
