,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,2021-08-14,Sat,Premier League,Matchweek 1,Away,W 3–0,Liverpool,Norwich City,N,RM,8,0,0,0,0,0.0,0.0,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,2.0,6.0,1.0,0.0,0.0,/en/matches/c52500ad/Norwich-City-Liverpool-August-14-2021-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,2021-08-21,Sat,Premier League,Matchweek 2,Home,W 2–0,Liverpool,Burnley,Y,RM,90,0,0,0,0,2.0,0.0,0,0,72.0,0.0,1.0,0.0,0.1,0.1,0.3,9.0,1.0,48.0,61.0,78.7,9.0,46.0,2.0,2.0,0.0,/en/matches/94d9dac0/Liverpool-Burnley-August-21-2021-Premier-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2021-08-28,Sat,Premier League,Matchweek 3,Home,D 1–1,Liverpool,Chelsea,Y,RM,90,0,0,0,0,2.0,0.0,0,0,106.0,1.0,2.0,4.0,0.2,0.2,0.1,4.0,0.0,77.0,91.0,84.6,12.0,46.0,0.0,3.0,0.0,/en/matches/78aa75e6/Liverpool-Chelsea-August-28-2021-Premier-League,0.5,0.5,0.7261904761904762
3,3,3,3,3,3,3,2021-09-12,Sun,Premier League,Matchweek 4,Away,W 3–0,Liverpool,Leeds United,Y,RM,62,0,0,0,0,3.0,1.0,0,0,41.0,0.0,0.0,2.0,0.4,0.4,0.0,4.0,0.0,25.0,32.0,78.1,4.0,32.0,2.0,3.0,1.0,/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League,1.0,0.8333333333333334,0.5833333333333333
4,4,4,4,4,4,4,2022-02-06,Sun,FA Cup,Fourth round proper,Home,W 3–1,Liverpool,Cardiff City,N,,33,1,0,0,0,3.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/53dbcb87/Liverpool-Cardiff-City-February-6-2022-FA-Cup,1.0,0.8333333333333334,0.5
5,5,5,5,5,5,5,2022-02-10,Thu,Premier League,Matchweek 24,Home,W 2–0,Liverpool,Leicester City,N,RM,32,0,0,0,0,0.0,0.0,0,0,27.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,19.0,24.0,79.2,5.0,17.0,2.0,0.0,0.0,/en/matches/911fa284/Liverpool-Leicester-City-February-10-2022-Premier-League,1.0,0.8333333333333334,0.5
6,6,6,6,6,6,6,2022-02-16,Wed,Champions Lg,Round of 16,Away,W 2–0,eng Liverpool,it Inter,Y,RM,58,0,0,0,0,0.0,0.0,0,0,35.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,23.0,32.0,71.9,5.0,17.0,1.0,1.0,0.0,/en/matches/8b1f6c45/Internazionale-Liverpool-February-16-2022-Champions-League,1.0,1.0,0.5
7,7,7,7,7,7,7,2022-02-27,Sun,EFL Cup,Final,Away,D 0 (11)–0 (10),Liverpool,Chelsea,N,,42,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/d3c5d3d5/Chelsea-Liverpool-February-27-2022-EFL-Cup,0.5,1.0,0.5
8,8,8,8,8,8,8,2022-03-02,Wed,FA Cup,Fifth round proper,Home,W 2–1,Liverpool,Norwich City,N,,45,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/8edc7255/Liverpool-Norwich-City-March-2-2022-FA-Cup,1.0,0.8333333333333334,0.5
9,9,9,9,9,9,9,2022-03-20,Sun,FA Cup,Quarter-finals,Away,W 1–0,Liverpool,Nott'ham Forest,Y,FW,63,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/1f41527b/Nottingham-Forest-Liverpool-March-20-2022-FA-Cup,1.0,0.8333333333333334,0.5
10,10,10,10,10,10,10,2022-04-02,Sat,PL2 — Div. 1,Matchweek 24,Home,D 2–2,Liverpool,Chelsea,Y,CM,45,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/6bf0d293/Liverpool-U23-Chelsea-U23-April-2-2022-Premier-League-2----Division-1,0.5,0.8333333333333334,0.5
11,11,11,11,11,11,11,2022-04-25,Mon,PL2 — Div. 1,Matchweek 25,Away,W 4–0,Liverpool,Leicester City,Y,CM,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/42b64a67/Leicester-City-U23-Liverpool-U23-April-25-2022-Premier-League-2----Division-1,1.0,0.8333333333333334,0.5
12,12,12,12,12,12,12,2022-05-17,Tue,Premier League,Matchweek 37,Away,W 2–1,Liverpool,Southampton,Y,RM,64,0,0,0,0,3.0,0.0,0,0,49.0,1.0,0.0,1.0,0.1,0.1,0.1,5.0,0.0,34.0,41.0,82.9,4.0,27.0,3.0,1.0,1.0,/en/matches/733409b2/Southampton-Liverpool-May-17-2022-Premier-League,1.0,0.8333333333333334,0.5
