,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2022-08-07,Sun,Premier League,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,N,RM,13,0,0,0,0,0,0,0,0,10.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,10.0,90.0,1.0,3.0,1.0,0.0,0.0,/en/matches/8251694e/Manchester-United-Brighton-and-Hove-Albion-August-7-2022-Premier-League,0.0,0.5,0.5222222222222223
1,1,1,1,1,1,1,1,1,1,1,1,2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,N,DM,4,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,2.0,0.0,0.0,0.0,/en/matches/04712d4e/Brentford-Manchester-United-August-13-2022-Premier-League,0.0,0.5,0.5208333333333333
2,2,2,2,2,2,2,2,2,2,2,2,2022-08-22,Mon,Premier League,Matchweek 3,Home,W 2–1,Manchester Utd,Liverpool,N,RM,5,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,/en/matches/3c9a8f71/North-West-Derby-Manchester-United-Liverpool-August-22-2022-Premier-League,1.0,0.5,0.6428571428571427
3,3,3,3,3,3,3,3,3,3,3,3,2022-10-27,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,N,AM,12,0,0,0,0,1,0,0,0,12.0,0.0,0,0.0,0.2,0.2,0.0,0.0,0.0,10.0,11.0,90.9,1.0,9.0,1.0,0.0,0.0,/en/matches/bf2f426b/Manchester-United-Sheriff-Tiraspol-October-27-2022-Europa-League,1.0,0.3333333333333333,0.5
4,4,4,4,4,4,4,4,4,4,4,4,2022-11-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,es Real Sociedad,Y,AM,57,0,0,0,0,0,0,0,0,18.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,14.0,64.3,1.0,10.0,0.0,0.0,0.0,/en/matches/5c6990ab/Real-Sociedad-Manchester-United-November-3-2022-Europa-League,1.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,2022-11-06,Sun,Premier League,Matchweek 15,Away,L 1–3,Manchester Utd,Aston Villa,Y,AM,65,0,0,0,0,1,0,0,0,18.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,16.0,81.3,1.0,11.0,0.0,1.0,1.0,/en/matches/6638574f/Aston-Villa-Manchester-United-November-6-2022-Premier-League,0.0,1.0,0.3645833333333333
6,6,6,6,6,6,6,6,6,6,6,6,2022-11-10,Thu,EFL Cup,Third round,Home,W 4–2,Manchester Utd,Aston Villa,Y,AM,61,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/067d8b49/Manchester-United-Aston-Villa-November-10-2022-EFL-Cup,1.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,2022-12-27,Tue,Premier League,Matchweek 17,Home,W 3–0,Manchester Utd,Nott'ham Forest,N,AM,26,0,0,0,0,1,0,0,0,15.0,0.0,0,1.0,0.1,0.1,0.0,0.0,0.0,10.0,12.0,83.3,2.0,7.0,0.0,1.0,1.0,/en/matches/b860f634/Manchester-United-Nottingham-Forest-December-27-2022-Premier-League,1.0,0.6666666666666666,0.75
8,8,8,8,8,8,8,8,8,8,8,8,2022-12-31,Sat,Premier League,Matchweek 18,Away,W 1–0,Manchester Utd,Wolves,N,FW,10,0,0,0,0,0,0,0,0,7.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,4.0,6.0,66.7,1.0,4.0,1.0,1.0,0.0,/en/matches/8ef80305/Wolverhampton-Wanderers-Manchester-United-December-31-2022-Premier-League,1.0,0.6666666666666666,0.6979166666666665
9,9,9,9,9,9,9,9,9,9,9,9,2023-01-03,Tue,Premier League,Matchweek 19,Home,W 3–0,Manchester Utd,Bournemouth,Y,AM,44,0,0,0,0,0,0,0,0,17.0,0.0,1,1.0,0.0,0.0,0.0,1.0,0.0,7.0,14.0,50.0,0.0,12.0,0.0,0.0,0.0,/en/matches/63fc7f12/Manchester-United-Bournemouth-January-3-2023-Premier-League,1.0,1.0,0.5
