,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,2021-02-27,Sat,Premier League,Matchweek 26,Away,L 0–1,Brighton,West Brom,Y,LB,90,0,0,0,0,0,0,0,0,58.0,3.0,3,2.0,0.0,0.0,0.0,0.0,0.0,29.0,45.0,64.4,1.0,25.0,0.0,1.0,0.0,/en/matches/ff18265a/West-Bromwich-Albion-Brighton-and-Hove-Albion-February-27-2021-Premier-League,0.0,0.1666666666666666,0.5
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,2021-03-06,Sat,Premier League,Matchweek 27,Home,L 1–2,Brighton,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,80.0,7.0,2,3.0,0.0,0.0,0.0,1.0,1.0,42.0,60.0,70.0,9.0,24.0,0.0,2.0,1.0,/en/matches/6fc64077/Brighton-and-Hove-Albion-Leicester-City-March-6-2021-Premier-League,0.0,0.1666666666666666,0.5
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2021-03-14,Sun,Premier League,Matchweek 28,Away,W 2–1,Brighton,Southampton,Y,LB,45,0,0,0,0,0,0,0,0,41.0,2.0,1,1.0,0.0,0.0,0.2,1.0,0.0,19.0,35.0,54.3,4.0,14.0,0.0,0.0,0.0,/en/matches/b40eb9c6/Southampton-Brighton-and-Hove-Albion-March-14-2021-Premier-League,1.0,0.0,0.5
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,2021-04-12,Mon,Premier League,Matchweek 31,Home,D 0–0,Brighton,Everton,N,LB,4,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,1.0,1.0,0.0,0.0,/en/matches/ac6ac8f8/Brighton-and-Hove-Albion-Everton-April-12-2021-Premier-League,0.5,0.3333333333333333,0.5
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,2021-04-20,Tue,Premier League,Matchweek 32,Away,D 0–0,Brighton,Chelsea,Y,"LW,WB",90,0,0,0,0,0,0,0,0,59.0,2.0,1,3.0,0.0,0.0,0.0,1.0,0.0,25.0,44.0,56.8,3.0,13.0,0.0,2.0,1.0,/en/matches/07b4e58b/Chelsea-Brighton-and-Hove-Albion-April-20-2021-Premier-League,0.5,0.5,0.5
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,2021-05-01,Sat,Premier League,Matchweek 34,Home,W 2–0,Brighton,Leeds United,Y,WB,90,0,0,0,0,0,0,0,0,48.0,3.0,1,1.0,0.0,0.0,0.1,3.0,0.0,22.0,30.0,73.3,0.0,17.0,1.0,2.0,2.0,/en/matches/1e2ba709/Brighton-and-Hove-Albion-Leeds-United-May-1-2021-Premier-League,1.0,0.6666666666666666,0.5
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2021-05-09,Sun,Premier League,Matchweek 35,Away,L 1–2,Brighton,Wolves,Y,LB,90,0,0,0,0,1,1,0,0,57.0,4.0,0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,41.0,82.9,0.0,25.0,3.0,0.0,0.0,/en/matches/ad903480/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-May-9-2021-Premier-League,0.0,0.6666666666666666,0.5
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,2021-05-15,Sat,Premier League,Matchweek 36,Home,D 1–1,Brighton,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,70.0,2.0,5,3.0,0.0,0.0,0.0,0.0,0.0,48.0,54.0,88.9,3.0,40.0,3.0,3.0,3.0,/en/matches/1a1095c2/Brighton-and-Hove-Albion-West-Ham-United-May-15-2021-Premier-League,0.5,0.5,0.5
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2021-05-18,Tue,Premier League,Matchweek 37,Home,W 3–2,Brighton,Manchester City,Y,CB,90,1,0,0,0,3,2,0,0,94.0,2.0,0,1.0,0.3,0.3,0.0,3.0,1.0,76.0,85.0,89.4,10.0,58.0,1.0,0.0,0.0,/en/matches/3b1cd656/Brighton-and-Hove-Albion-Manchester-City-May-18-2021-Premier-League,1.0,0.5,0.5
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2021-05-23,Sun,Premier League,Matchweek 38,Away,L 0–2,Brighton,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,53.0,3.0,3,1.0,0.0,0.0,0.0,0.0,0.0,30.0,41.0,73.2,0.0,28.0,0.0,1.0,0.0,/en/matches/9f6c52f8/Arsenal-Brighton-and-Hove-Albion-May-23-2021-Premier-League,0.0,0.5,0.5
