,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,2022-08-14,Sun,PL2 — Div. 1,Matchweek 2,Away,W 1–0,Wolverhampton Wanderers,Blackburn Rovers,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/a71b3e80/Blackburn-Rovers-U21-Wolverhampton-Wanderers-U21-August-14-2022-Premier-League-2----Division-1,1.0,0.5,0.5
1,1,1,2022-08-22,Mon,PL2 — Div. 1,Matchweek 3,Home,W 2–0,Wolverhampton Wanderers,Brighton,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/84ea5f58/Wolverhampton-Wanderers-U21-Brighton-and-Hove-Albion-U21-August-22-2022-Premier-League-2----Division-1,1.0,0.5,0.5
2,2,2,2022-09-05,Mon,PL2 — Div. 1,Matchweek 5,Home,D 1–1,Wolverhampton Wanderers,Fulham,Y,AM,63,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/c907a7ec/Wolverhampton-Wanderers-U21-Fulham-U21-September-5-2022-Premier-League-2----Division-1,0.5,0.5,0.5
3,3,3,2022-10-02,Sun,PL2 — Div. 1,Matchweek 8,Home,L 1–3,Wolverhampton Wanderers,Manchester City,Y,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/398dacb7/Wolverhampton-Wanderers-U21-Manchester-City-U21-October-2-2022-Premier-League-2----Division-1,0.0,0.8333333333333334,0.5
4,4,4,2022-10-31,Mon,PL2 — Div. 1,Matchweek 12,Home,W 3–0,Wolverhampton Wanderers,Leicester City,Y,CM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3c31c2f9/Wolverhampton-Wanderers-U21-Leicester-City-U21-October-31-2022-Premier-League-2----Division-1,1.0,0.5,0.5
5,5,5,2022-11-05,Sat,Premier League,Matchweek 15,Home,L 2–3,Wolves,Brighton,N,RM,1,0,0,0,0,0.0,0.0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,1.0,0.0,1.0,1.0,/en/matches/982d16a2/Wolverhampton-Wanderers-Brighton-and-Hove-Albion-November-5-2022-Premier-League,0.0,0.5,0.39999999999999997
6,6,6,2022-11-09,Wed,EFL Cup,Third round,Home,W 1–0,Wolves,Leeds United,Y,CM,64,0,0,0,0,1.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/01b32e30/Wolverhampton-Wanderers-Leeds-United-November-9-2022-EFL-Cup,1.0,0.3333333333333333,0.5
7,7,7,2023-02-26,Sun,MLS,Regular Season,Away,L 0–4,Colorado Rapids,Seattle,Y,LM,90,0,0,0,0,1.0,0.0,0,0,72.0,1.0,1.0,1.0,0.0,0.0,0.2,3.0,0.0,47.0,59.0,79.7,7.0,44.0,1.0,3.0,3.0,/en/matches/d0ec0590/Seattle-Sounders-FC-Colorado-Rapids-February-26-2023-Major-League-Soccer,0.0,0.6666666666666666,0.5
8,8,8,2023-03-04,Sat,MLS,Regular Season,Home,D 0–0,Colorado Rapids,Sporting KC,Y,LM,90,0,0,0,0,0.0,0.0,0,0,95.0,3.0,0.0,1.0,0.0,0.0,0.6,6.0,0.0,72.0,86.0,83.7,6.0,60.0,3.0,1.0,0.0,/en/matches/e8d75603/Colorado-Rapids-Sporting-KC-March-4-2023-Major-League-Soccer,0.5,0.3333333333333333,0.5
9,9,9,2023-03-11,Sat,MLS,Regular Season,Away,L 0–1,Colorado Rapids,San Jose,Y,CM,63,0,0,0,0,0.0,0.0,0,0,44.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,41.0,87.8,4.0,21.0,1.0,0.0,0.0,/en/matches/91e2a2a8/San-Jose-Earthquakes-Colorado-Rapids-March-11-2023-Major-League-Soccer,0.0,0.5,0.5
