,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
0,2023-01-04,Sat,Matchweek 21,Away,D 1–1,Nott'ham Forest,Bournemouth,N,LM,31,3,0,1,0,1,1,0,0,0,0,0,0,0,0,/en/matches/38c715b4/Bournemouth-Nottingham-Forest-January-21-2023-Premier-League
1,2023-01-04,Sun,Matchweek 22,Home,W 1–0,Nott'ham Forest,Leeds United,N,"On matchday squad, but did not play",/en/matches/7c47cb5e/Nottingham-Forest-Leeds-United-February-5-2023-Premier-League,,,,,,,,,,,,,,,
2,2023-01-04,Sat,Matchweek 23,Away,L 0–2,Nott'ham Forest,Fulham,Y,LW,55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/ee86dc99/Fulham-Nottingham-Forest-February-11-2023-Premier-League
3,2023-01-04,Sat,Matchweek 24,Home,D 1–1,Nott'ham Forest,Manchester City,N,"On matchday squad, but did not play",/en/matches/7f12d9aa/Nottingham-Forest-Manchester-City-February-18-2023-Premier-League,,,,,,,,,,,,,,,
4,2023-01-04,Sat,Matchweek 25,Away,L 0–4,Nott'ham Forest,West Ham,N,"On matchday squad, but did not play",/en/matches/767981c6/West-Ham-United-Nottingham-Forest-February-25-2023-Premier-League,,,,,,,,,,,,,,,
5,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,
6,2023-01-04,Fri,Matchweek 28,Home,L 1–2,Nott'ham Forest,Newcastle Utd,N,DM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/en/matches/5345049a/Nottingham-Forest-Newcastle-United-March-17-2023-Premier-League
7,2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,
8,2023-01-04,Tue,Matchweek 7,Away,L 1–2,Nott'ham Forest,Leeds United,N,LW,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,/en/matches/1251d1c0/Leeds-United-Nottingham-Forest-April-4-2023-Premier-League
