,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-09-14,Mon,Premier League,Matchweek 1,Home,L 1–3,Brighton,Chelsea,N,DM,12,0,0,0,0,0,0,0,0,14.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,3.0,9.0,0.0,0.0,0.0,/en/matches/9d7641eb/Brighton-and-Hove-Albion-Chelsea-September-14-2020-Premier-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2020-09-17,Thu,EFL Cup,Second round,Home,W 4–0,Brighton,Portsmouth,Y,AM,76,0,1,0,0,3,1,1,0,,,0,,,,,,,,,,,,,,,/en/matches/bf5d7181/Brighton-and-Hove-Albion-Portsmouth-September-17-2020-EFL-Cup,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2020-09-23,Wed,EFL Cup,Third round,Away,W 2–0,Brighton,Preston,Y*,AM,90,0,1,0,0,2,1,0,0,,,0,,,,,,,,,,,,,,,/en/matches/7166996d/Preston-North-End-Brighton-and-Hove-Albion-September-23-2020-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2020-09-26,Sat,Premier League,Matchweek 3,Home,L 2–3,Brighton,Manchester Utd,N,CM,16,0,0,0,0,1,0,0,0,21.0,0.0,0,0.0,0.0,0.0,0.1,1.0,0.0,16.0,20.0,80.0,7.0,14.0,1.0,0.0,0.0,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League,0.0,0.6666666666666666,0.5238095238095238
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2020-09-30,Wed,EFL Cup,Fourth round,Home,L 0–3,Brighton,Manchester Utd,Y,CM,90,0,0,0,0,2,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/310f1db8/Brighton-and-Hove-Albion-Manchester-United-September-30-2020-EFL-Cup,0.0,0.6666666666666666,0.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2020-10-03,Sat,Premier League,Matchweek 4,Away,L 2–4,Brighton,Everton,N,DM,9,0,0,0,0,0,0,0,0,18.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,18.0,94.4,3.0,13.0,0.0,0.0,0.0,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League,0.0,0.3333333333333333,0.9285714285714286
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 1–1,Brighton,Crystal Palace,N,CB,9,0,0,0,0,0,0,0,0,9.0,0.0,0,0.0,0.0,0.0,0.1,2.0,0.0,9.0,9.0,100.0,2.0,7.0,0.0,0.0,0.0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,0.5,0.0,0.3717948717948717
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2020-10-26,Mon,Premier League,Matchweek 6,Home,D 1–1,Brighton,West Brom,N,"CM,AM",30,0,0,0,0,0,0,0,0,31.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,28.0,67.9,2.0,15.0,1.0,0.0,0.0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League,0.5,0.1666666666666666,0.369047619047619
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2020-11-01,Sun,Premier League,Matchweek 7,Away,L 1–2,Brighton,Tottenham,Y,"DM,WB",90,0,1,0,0,0,0,0,0,72.0,2.0,0,2.0,0.0,0.0,0.2,4.0,1.0,52.0,66.0,78.8,5.0,40.0,0.0,1.0,0.0,/en/matches/1d01ff0c/Tottenham-Hotspur-Brighton-and-Hove-Albion-November-1-2020-Premier-League,0.0,0.3333333333333333,0.6785714285714287
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2020-11-06,Fri,Premier League,Matchweek 8,Home,D 0–0,Brighton,Burnley,Y,"CM,RM",90,0,0,0,0,4,1,0,0,75.0,0.0,0,0.0,0.2,0.2,0.1,4.0,0.0,55.0,69.0,79.7,10.0,40.0,2.0,2.0,1.0,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League,0.5,0.3333333333333333,0.1923076923076922
