,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,2020-10-18,Sun,Premier League,Matchweek 5,Home,D 1–1,Crystal Palace,Brighton,Y*,CB,90,0,0,0,0,0.0,0.0,0,0,42.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,32.0,81.3,1.0,16.0,0.0,0.0,0.0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League,0.5,0.5,0.2738095238095238
1,1,1,1,1,1,1,1,1,1,2020-11-09,Mon,PL2 — Div. 2,Matchweek 8,Home,W 6–0,Crystal Palace,Reading,Y,CB,45,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/df6cd0a1/Crystal-Palace-U23-Reading-U23-November-9-2020-Premier-League-2----Division-2,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2020-11-27,Fri,Premier League,Matchweek 10,Home,L 0–2,Crystal Palace,Newcastle Utd,Y,CB,90,0,0,0,0,0.0,0.0,0,0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,61.0,82.0,4.0,37.0,0.0,0.0,0.0,/en/matches/0d5962be/Crystal-Palace-Newcastle-United-November-27-2020-Premier-League,0.0,0.5,0.3461538461538461
3,3,3,3,3,3,3,3,3,3,2020-12-06,Sun,Premier League,Matchweek 11,Away,W 5–1,Crystal Palace,West Brom,Y,CB,90,0,0,0,0,1.0,0.0,0,0,56.0,0.0,0.0,1.0,0.0,0.0,0.2,2.0,0.0,44.0,48.0,91.7,5.0,44.0,0.0,0.0,0.0,/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League,1.0,0.5,0.3333333333333333
4,4,4,4,4,4,4,4,4,4,2020-12-13,Sun,Premier League,Matchweek 12,Home,D 1–1,Crystal Palace,Tottenham,Y,CB,90,0,0,0,0,0.0,0.0,0,0,42.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,32.0,36.0,88.9,4.0,20.0,1.0,0.0,0.0,/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League,0.5,0.6666666666666666,0.7738095238095238
5,5,5,5,5,5,5,5,5,5,2020-12-19,Sat,Premier League,Matchweek 14,Home,L 0–7,Crystal Palace,Liverpool,Y,CB,90,0,0,0,0,0.0,0.0,0,0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,50.0,86.0,5.0,34.0,0.0,0.0,0.0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League,0.0,0.5,0.6904761904761905
6,6,6,6,6,6,6,6,6,6,2021-01-17,Sun,Premier League,Matchweek 19,Away,L 0–4,Crystal Palace,Manchester City,Y,CB,90,0,0,0,0,0.0,0.0,0,0,33.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,0.0,14.0,0.0,0.0,0.0,/en/matches/15d2f67c/Manchester-City-Crystal-Palace-January-17-2021-Premier-League,0.0,0.5,0.5
7,7,7,7,7,7,7,7,7,7,2021-01-26,Tue,Premier League,Matchweek 20,Home,L 2–3,Crystal Palace,West Ham,Y,CB,90,0,0,0,0,0.0,0.0,0,0,69.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,48.0,60.0,80.0,5.0,27.0,0.0,0.0,0.0,/en/matches/aab6365d/Crystal-Palace-West-Ham-United-January-26-2021-Premier-League,0.0,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,2021-02-02,Tue,Premier League,Matchweek 22,Away,W 2–1,Crystal Palace,Newcastle Utd,Y,CB,90,1,0,0,0,1.0,1.0,0,0,34.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,23.0,28.0,82.1,1.0,8.0,0.0,0.0,0.0,/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League,1.0,0.0,0.5
9,9,9,9,9,9,9,9,9,9,2021-02-08,Mon,Premier League,Matchweek 23,Away,L 0–2,Crystal Palace,Leeds United,Y,CB,90,0,0,0,0,1.0,0.0,1,0,32.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,20.0,25.0,80.0,1.0,17.0,1.0,0.0,0.0,/en/matches/ff2cee2b/Leeds-United-Crystal-Palace-February-8-2021-Premier-League,0.0,0.3333333333333333,0.5
