,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Away,W 1–0,Chelsea,Everton,Y,GK,90,0,0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,96.0,0.0,15.0,0.0,0.0,0.0,/en/matches/3a917cee/Everton-Chelsea-August-6-2022-Premier-League,1.0,0.5,0.5238095238095238
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2022-08-14,Sun,Premier League,Matchweek 2,Home,D 2–2,Chelsea,Tottenham,Y,GK,90,0,0,0,0,0,0,1,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,24.0,70.8,0.0,17.0,0.0,0.0,0.0,/en/matches/01e57bf5/Chelsea-Tottenham-Hotspur-August-14-2022-Premier-League,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2022-08-21,Sun,Premier League,Matchweek 3,Away,L 0–3,Chelsea,Leeds United,Y,GK,90,0,0,0,0,0,0,0,0,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,30.0,86.7,0.0,12.0,0.0,1.0,0.0,/en/matches/a5632124/Leeds-United-Chelsea-August-21-2022-Premier-League,0.0,0.5,0.5520833333333334
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2022-08-27,Sat,Premier League,Matchweek 4,Home,W 2–1,Chelsea,Leicester City,Y,GK,90,0,0,0,0,0,0,0,0,32.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,29.0,55.2,0.0,16.0,0.0,0.0,0.0,/en/matches/b737a3a7/Chelsea-Leicester-City-August-27-2022-Premier-League,1.0,0.5,0.2499999999999998
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2022-08-30,Tue,Premier League,Matchweek 5,Away,L 1–2,Chelsea,Southampton,Y,GK,90,0,0,0,0,0,0,0,0,27.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,0.0,19.0,0.0,0.0,0.0,/en/matches/afd303a8/Southampton-Chelsea-August-30-2022-Premier-League,0.0,0.5,0.5714285714285714
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2022-09-03,Sat,Premier League,Matchweek 6,Home,W 2–1,Chelsea,West Ham,Y,GK,90,0,0,0,0,0,0,0,0,23.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,81.0,0.0,16.0,0.0,0.0,0.0,/en/matches/d7642197/Chelsea-West-Ham-United-September-3-2022-Premier-League,1.0,0.3333333333333333,0.7023809523809524
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2022-10-29,Sat,Premier League,Matchweek 14,Away,L 1–4,Chelsea,Brighton,N,GK,45,0,0,0,0,0,0,0,0,29.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,85.2,0.0,15.0,0.0,0.0,0.0,/en/matches/ac6abad1/Brighton-and-Hove-Albion-Chelsea-October-29-2022-Premier-League,0.0,0.6666666666666666,0.2142857142857142
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2022-11-02,Wed,Champions Lg,Group stage,Home,W 2–1,eng Chelsea,hr Dinamo Zagreb,Y,GK,90,0,0,0,0,0,0,0,0,26.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,92.0,0.0,19.0,0.0,0.0,0.0,/en/matches/eb2990f8/Chelsea-Dinamo-Zagreb-November-2-2022-Champions-League,1.0,0.3333333333333333,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2022-11-06,Sun,Premier League,Matchweek 15,Home,L 0–1,Chelsea,Arsenal,Y,GK,90,0,0,0,0,0,0,0,0,39.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,38.0,73.7,0.0,20.0,0.0,0.0,0.0,/en/matches/af9dc838/North-West-London-Derby-Chelsea-Arsenal-November-6-2022-Premier-League,0.0,0.6666666666666666,0.6190476190476192
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2022-11-09,Wed,EFL Cup,Third round,Away,L 0–2,Chelsea,Manchester City,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/828fe798/Manchester-City-Chelsea-November-9-2022-EFL-Cup,0.0,0.3333333333333333,0.5
