,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,2020-09-03,Thu,UEFA Nations League,League B,Away,D 1–1,ie Rep. of Ireland,bg Bulgaria,Y,CM,90,0,0,0,0,2.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/5c9256f8/Bulgaria-Republic-of-Ireland-September-3-2020-UEFA-Nations-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,2020-09-21,Mon,Premier League,Matchweek 2,Home,W 1–0,Aston Villa,Sheffield Utd,Y,RM,61,0,0,0,0,1.0,0.0,0,0,69.0,0.0,0.0,1.0,0.1,0.1,0.3,4.0,0.0,52.0,66.0,78.8,14.0,48.0,1.0,0.0,0.0,/en/matches/98b4b5b6/Aston-Villa-Sheffield-United-September-21-2020-Premier-League,1.0,0.5,0.4285714285714285
2,2,2,2,2,2,2,2,2,2,2020-09-24,Thu,EFL Cup,Third round,Away,W 3–0,Aston Villa,Bristol City,N,,13,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c92b74a3/Bristol-City-Aston-Villa-September-24-2020-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,2020-09-28,Mon,Premier League,Matchweek 3,Away,W 3–0,Aston Villa,Fulham,Y,LM,75,1,1,0,0,2.0,1.0,0,0,34.0,0.0,0.0,1.0,0.4,0.4,0.4,2.0,1.0,21.0,28.0,75.0,3.0,8.0,0.0,0.0,0.0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League,1.0,0.8333333333333334,0.4880952380952381
4,4,4,4,4,4,4,4,4,4,2020-10-08,Thu,UEFA Euro Qualifying,Semi-finals,Away,D 0 (2)–0 (4),ie Rep. of Ireland,sk Slovakia,Y,DM,120,0,0,0,0,1.0,1.0,1,0,,,2.0,,,,,,,,,,,,,,,/en/matches/c6c9cf16/Slovakia-Republic-of-Ireland-October-8-2020-UEFA-Euro-Qualifying,0.5,1.0,0.5
5,5,5,5,5,5,5,5,5,5,2020-10-11,Sun,UEFA Nations League,League B,Home,D 0–0,ie Rep. of Ireland,wls Wales,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/cbe19e95/Republic-of-Ireland-Wales-October-11-2020-UEFA-Nations-League,0.5,0.8333333333333334,0.5
6,6,6,6,6,6,6,6,6,6,2020-10-14,Wed,UEFA Nations League,League B,Away,L 0–1,ie Rep. of Ireland,fi Finland,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/8a5aa090/Finland-Republic-of-Ireland-October-14-2020-UEFA-Nations-League,0.0,0.6666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,2020-11-12,Thu,Friendlies (M),Friendlies (M),Away,L 0–3,ie Rep. of Ireland,eng England,Y,DM,70,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/035fe1c0/England-Republic-of-Ireland-November-12-2020-Friendlies-M,0.0,0.3333333333333333,0.5
8,8,8,8,8,8,8,8,8,8,2020-11-15,Sun,UEFA Nations League,League B,Away,L 0–1,ie Rep. of Ireland,wls Wales,N,,15,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c52b11de/Wales-Republic-of-Ireland-November-15-2020-UEFA-Nations-League,0.0,0.1666666666666666,0.5
9,9,9,9,9,9,9,9,9,9,2020-11-18,Wed,UEFA Nations League,League B,Home,D 0–0,ie Rep. of Ireland,bg Bulgaria,Y,CM,90,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/387d8147/Republic-of-Ireland-Bulgaria-November-18-2020-UEFA-Nations-League,0.5,0.0,0.5
10,10,10,10,10,10,10,10,10,10,2020-11-21,Sat,Premier League,Matchweek 9,Home,L 1–2,Aston Villa,Brighton,N,DM,16,0,0,0,0,0.0,0.0,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,70.0,2.0,11.0,0.0,0.0,0.0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League,0.0,0.1666666666666666,0.3333333333333333
11,11,11,11,11,11,11,11,11,11,2020-11-30,Mon,Premier League,Matchweek 10,Away,L 1–2,Aston Villa,West Ham,Y,LM,73,0,0,0,0,2.0,1.0,0,0,54.0,0.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,35.0,50.0,70.0,4.0,15.0,0.0,0.0,0.0,/en/matches/2f67603c/West-Ham-United-Aston-Villa-November-30-2020-Premier-League,0.0,0.1666666666666666,0.7142857142857143
12,12,12,12,12,12,12,12,12,12,2021-01-23,Sat,FA Cup,Fourth round proper,Home,W 5–1,Swansea City,Nott'ham Forest,Y,DM,65,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/578682fe/Swansea-City-Nottingham-Forest-January-23-2021-FA-Cup,1.0,0.1666666666666666,0.5
13,13,13,13,13,13,13,13,13,13,2021-01-27,Wed,Championship,Matchweek 26,Home,D 1–1,Swansea City,Brentford,Y,"CM,LM",90,1,0,0,0,2.0,1.0,1,0,27.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,15.0,23.0,65.2,1.0,13.0,1.0,0.0,0.0,/en/matches/254d0358/Swansea-City-Brentford-January-27-2021-Championship,0.5,0.3333333333333333,0.5
14,14,14,14,14,14,14,14,14,14,2021-01-30,Sat,Championship,Matchweek 27,Away,W 3–1,Swansea City,Rotherham Utd,Y,CM,90,1,0,0,0,1.0,1.0,0,0,71.0,5.0,0.0,5.0,0.1,0.1,0.0,3.0,1.0,32.0,52.0,61.5,5.0,20.0,0.0,2.0,1.0,/en/matches/f8c291cc/Rotherham-United-Swansea-City-January-30-2021-Championship,1.0,0.5,0.5
