,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-19,Thu,Conf Lg,Play-off round,Away,L 0–1,eng Tottenham,pt Paços,Y,LM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/e9098b8d/Pacos-de-Ferreira-Tottenham-Hotspur-August-19-2021-Europa-Conference-League,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-26,Thu,Conf Lg,Play-off round,Home,W 3–0,eng Tottenham,pt Paços,Y,FW,71,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/c2e330d2/Tottenham-Hotspur-Pacos-de-Ferreira-August-26-2021-Europa-Conference-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2021-08-29,Sun,Premier League,Matchweek 3,Home,W 1–0,Tottenham,Watford,N,LW,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/3cd9a733/Tottenham-Hotspur-Watford-August-29-2021-Premier-League,1.0,0.5,0.5595238095238095
3,3,3,3,3,3,3,3,3,3,3,3,3,2021-09-16,Thu,Conf Lg,Group stage,Away,D 2–2,eng Tottenham,fr Rennes,Y,"LW,AM",90,0,0,0,0,1.0,0.0,1,0,45.0,4.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,25.0,36.0,69.4,0.0,32.0,3.0,1.0,0.0,/en/matches/6073e129/Rennes-Tottenham-Hotspur-September-16-2021-Europa-Conference-League,0.5,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,2021-09-19,Sun,Premier League,Matchweek 5,Home,L 0–3,Tottenham,Chelsea,N,AM,29,0,0,0,0,0.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,0.0,9.0,1.0,2.0,1.0,/en/matches/eaf98461/Tottenham-Hotspur-Chelsea-September-19-2021-Premier-League,0.0,0.8333333333333334,0.8974358974358974
5,5,5,5,5,5,5,5,5,5,5,5,5,2021-09-22,Wed,EFL Cup,Third round,Away,D 2 (3)–2 (2),Tottenham,Wolves,Y,FW,120,0,0,0,0,1.0,1.0,0,0,,,2.0,,,,,,,,,,,,,,,/en/matches/c1b6e56d/Wolverhampton-Wanderers-Tottenham-Hotspur-September-22-2021-EFL-Cup,0.5,0.5,0.5
6,6,6,6,6,6,6,6,6,6,6,6,6,2021-09-26,Sun,Premier League,Matchweek 6,Away,L 1–3,Tottenham,Arsenal,N,LW,21,0,0,0,0,0.0,0.0,0,0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,11.0,15.0,73.3,2.0,9.0,3.0,3.0,3.0,/en/matches/a2c07e97/North-London-Derby-Arsenal-Tottenham-Hotspur-September-26-2021-Premier-League,0.0,0.3333333333333333,0.9166666666666669
7,7,7,7,7,7,7,7,7,7,7,7,7,2021-09-30,Thu,Conf Lg,Group stage,Home,W 5–1,eng Tottenham,si NŠ Mura,Y,LW,58,0,0,0,0,1.0,0.0,0,0,46.0,0.0,1.0,2.0,0.1,0.1,0.1,1.0,0.0,35.0,40.0,87.5,0.0,36.0,5.0,1.0,1.0,/en/matches/45ed3342/Tottenham-Hotspur-NS-Mura-September-30-2021-Europa-Conference-League,1.0,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,8,2021-10-03,Sun,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Aston Villa,N,RW,2,0,0,0,0,0.0,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,/en/matches/7bb0a43c/Tottenham-Hotspur-Aston-Villa-October-3-2021-Premier-League,1.0,0.5,0.7142857142857143
9,9,9,9,9,9,9,9,9,9,9,9,9,2021-10-06,Wed,UEFA Nations League,Semi-finals,Neutral,W 2–1,es Spain,it Italy,N,,16,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/5c6a2cfd/Italy-Spain-October-6-2021-UEFA-Nations-League,1.0,0.6666666666666666,0.5
