,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-08-24,Tue,EFL Cup,Second round,Home,W 3–0,Leeds United,Crewe Alexandra,Y,CB,45,0,0,0,0,1,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/904a62ea/Leeds-United-Crewe-Alexandra-August-24-2021-EFL-Cup,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2021-08-29,Sun,Premier League,Matchweek 3,Away,D 1–1,Leeds United,Burnley,Y,CB,64,0,0,0,0,0,0,0,0,53.0,3.0,1,2.0,0.0,0.0,0.0,0.0,0.0,32.0,42.0,76.2,7.0,31.0,3.0,1.0,0.0,/en/matches/2e5db698/Burnley-Leeds-United-August-29-2021-Premier-League,0.5,0.5,0.3461538461538461
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2021-09-12,Sun,Premier League,Matchweek 4,Home,L 0–3,Leeds United,Liverpool,Y,CB,32,0,0,0,0,0,0,1,0,27.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,60.9,1.0,22.0,0.0,0.0,0.0,/en/matches/e6a245be/Leeds-United-Liverpool-September-12-2021-Premier-League,0.0,0.5,0.7738095238095237
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2021-10-02,Sat,Premier League,Matchweek 7,Home,W 1–0,Leeds United,Watford,Y,CB,90,1,0,0,0,1,1,0,0,74.0,2.0,1,0.0,0.2,0.2,0.0,0.0,0.0,60.0,67.0,89.6,3.0,56.0,1.0,0.0,0.0,/en/matches/be9d8a45/Leeds-United-Watford-October-2-2021-Premier-League,1.0,0.5,0.4642857142857143
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2021-10-16,Sat,Premier League,Matchweek 8,Away,L 0–1,Leeds United,Southampton,Y,CB,90,0,0,0,0,0,0,1,0,70.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.0,48.0,60.0,80.0,1.0,39.0,0.0,0.0,0.0,/en/matches/8bde822c/Southampton-Leeds-United-October-16-2021-Premier-League,0.0,0.5,0.3571428571428571
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2021-10-23,Sat,Premier League,Matchweek 9,Home,D 1–1,Leeds United,Wolves,Y,CB,90,0,0,0,0,2,0,0,0,100.0,3.0,1,1.0,0.0,0.0,0.0,0.0,0.0,66.0,83.0,79.5,12.0,57.0,5.0,0.0,0.0,/en/matches/49b3afe3/Leeds-United-Wolverhampton-Wanderers-October-23-2021-Premier-League,0.5,0.3333333333333333,0.9285714285714286
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2021-10-26,Tue,EFL Cup,Fourth round,Away,L 0–2,Leeds United,Arsenal,Y,CB,58,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/2dc8556d/Arsenal-Leeds-United-October-26-2021-EFL-Cup,0.0,0.5,0.5
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2021-10-31,Sun,Premier League,Matchweek 10,Away,W 2–1,Leeds United,Norwich City,Y,CB,90,0,0,0,0,1,0,0,0,49.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,35.0,62.9,0.0,20.0,0.0,2.0,2.0,/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League,1.0,0.1666666666666666,0.4047619047619047
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2021-11-07,Sun,Premier League,Matchweek 11,Home,D 1–1,Leeds United,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,62.0,0.0,3,2.0,0.0,0.0,0.0,2.0,0.0,45.0,54.0,83.3,3.0,40.0,0.0,0.0,0.0,/en/matches/8fd004c6/Leeds-United-Leicester-City-November-7-2021-Premier-League,0.5,0.5,0.4761904761904761
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2021-11-21,Sun,Premier League,Matchweek 12,Away,L 1–2,Leeds United,Tottenham,Y,"CB,RB",90,0,0,0,0,0,0,0,0,76.0,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,54.0,64.0,84.4,5.0,47.0,3.0,3.0,2.0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League,0.0,0.5,0.5595238095238095
