,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-05,Mon,Championship,Matchweek 1,Home,L 1–2,Huddersfield,Derby County,Y,"LM,DM",90,0,0,0,0,1.0,0.0,0,0,89.0,3.0,0.0,1.0,0.0,0.0,0.1,4.0,0.0,59.0,78.0,75.6,15.0,48.0,2.0,0.0,0.0,/en/matches/eb6b8afa/Huddersfield-Town-Derby-County-August-5-2019-Championship,0.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Home,D 1–1,Brighton,West Ham,N,LW,6,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,0.0,4.0,0.0,0.0,0.0,/en/matches/894d0ca5/Brighton-and-Hove-Albion-West-Ham-United-August-17-2019-Premier-League,0.5,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-27,Tue,EFL Cup,Second round,Away,W 2–1,Brighton,Bristol Rovers,Y,CM,90,0,0,0,0,2.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/f3750880/Bristol-Rovers-Brighton-and-Hove-Albion-August-27-2019-EFL-Cup,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-09-10,Tue,WCQ,Second round,Away,W 3–0,au Australia,kw Kuwait,Y,DM,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/8a94d769/Kuwait-Australia-September-10-2019-WCQ----AFC-M,1.0,0.5,0.5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-14,Sat,Premier League,Matchweek 5,Home,D 1–1,Brighton,Burnley,N,LW,11,0,0,0,0,0.0,0.0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.6,0.0,6.0,1.0,1.0,1.0,/en/matches/1d3bbc27/Brighton-and-Hove-Albion-Burnley-September-14-2019-Premier-League,0.5,0.8333333333333334,0.2142857142857142
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-21,Sat,Premier League,Matchweek 6,Away,D 0–0,Brighton,Newcastle Utd,Y,LW,69,0,0,0,0,2.0,0.0,0,0,61.0,1.0,1.0,2.0,0.1,0.1,0.0,3.0,0.0,40.0,50.0,80.0,10.0,32.0,2.0,1.0,1.0,/en/matches/966fb8b0/Newcastle-United-Brighton-and-Hove-Albion-September-21-2019-Premier-League,0.5,0.8333333333333334,0.3928571428571428
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-28,Sat,Premier League,Matchweek 7,Away,L 0–2,Brighton,Chelsea,Y,"DM,CM",64,0,0,0,0,0.0,0.0,0,0,43.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,28.0,71.4,4.0,18.0,0.0,1.0,0.0,/en/matches/1d4b5564/Chelsea-Brighton-and-Hove-Albion-September-28-2019-Premier-League,0.0,0.6666666666666666,0.4404761904761905
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-05,Sat,Premier League,Matchweek 8,Home,W 3–0,Brighton,Tottenham,Y,"LM,LW,CM",90,0,0,0,0,1.0,0.0,0,0,80.0,5.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,42.0,63.0,66.7,6.0,37.0,1.0,3.0,3.0,/en/matches/aafb2d3a/Brighton-and-Hove-Albion-Tottenham-Hotspur-October-5-2019-Premier-League,1.0,0.3333333333333333,0.4166666666666666
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-10-10,Thu,WCQ,Second round,Home,W 5–0,au Australia,np Nepal,Y,CM,61,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/634cfc66/Australia-Nepal-October-10-2019-WCQ----AFC-M,1.0,0.5,0.5
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-10-15,Tue,WCQ,Second round,Away,W 7–1,au Australia,tw Chinese Taipei,Y,CM,61,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b2224483/Chinese-Taipei-Australia-October-15-2019-WCQ----AFC-M,1.0,0.6666666666666666,0.5
