,Unnamed: 0.29,Unnamed: 0.28,Unnamed: 0.27,Unnamed: 0.26,Unnamed: 0.25,Unnamed: 0.24,Unnamed: 0.23,Unnamed: 0.22,Unnamed: 0.21,Unnamed: 0.20,Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-08-10,Sat,Premier League,Matchweek 1,Home,W 3–0,Burnley,Southampton,Y,CM,90,0,0,0,0,0,0,0,0,42.0,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,24.0,37.0,64.9,1.0,18.0,0.0,0.0,0.0,/en/matches/34b99058/Burnley-Southampton-August-10-2019-Premier-League,1.0,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2019-08-17,Sat,Premier League,Matchweek 2,Away,L 1–2,Burnley,Arsenal,Y,CM,90,0,0,0,0,2,0,0,0,36.0,1.0,4,0.0,0.2,0.2,0.0,1.0,0.0,18.0,20.0,90.0,2.0,18.0,0.0,3.0,2.0,/en/matches/ff7eda21/Arsenal-Burnley-August-17-2019-Premier-League,0.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2019-08-25,Sun,Premier League,Matchweek 3,Away,D 1–1,Burnley,Wolves,Y,CM,90,0,0,0,0,0,0,0,0,38.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,21.0,30.0,70.0,4.0,19.0,0.0,2.0,1.0,/en/matches/16119ef2/Wolverhampton-Wanderers-Burnley-August-25-2019-Premier-League,0.5,0.5,0.7738095238095236
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019-08-31,Sat,Premier League,Matchweek 4,Home,L 0–3,Burnley,Liverpool,Y,CM,90,0,0,0,0,0,0,0,0,37.0,2.0,0,1.0,0.0,0.0,0.1,2.0,0.0,19.0,29.0,65.5,2.0,18.0,0.0,1.0,1.0,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League,0.0,0.5,0.8095238095238095
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2019-09-14,Sat,Premier League,Matchweek 5,Away,D 1–1,Burnley,Brighton,Y,CM,77,0,0,0,0,1,0,0,0,28.0,3.0,0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,19.0,68.4,1.0,13.0,0.0,1.0,1.0,/en/matches/1d3bbc27/Brighton-and-Hove-Albion-Burnley-September-14-2019-Premier-League,0.5,0.1666666666666666,0.3809523809523809
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2019-09-21,Sat,Premier League,Matchweek 6,Home,W 2–0,Burnley,Norwich City,Y,CM,90,0,0,0,0,1,1,0,0,53.0,2.0,2,2.0,0.1,0.1,0.1,3.0,1.0,32.0,39.0,82.1,4.0,28.0,0.0,1.0,1.0,/en/matches/f97b0ce8/Burnley-Norwich-City-September-21-2019-Premier-League,1.0,0.3333333333333333,0.4047619047619047
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2019-09-28,Sat,Premier League,Matchweek 7,Away,D 2–2,Burnley,Aston Villa,Y,CM,45,0,0,0,0,1,0,0,0,22.0,0.0,0,0.0,0.1,0.1,0.0,0.0,0.0,12.0,18.0,66.7,2.0,9.0,2.0,1.0,1.0,/en/matches/37a51188/Aston-Villa-Burnley-September-28-2019-Premier-League,0.5,0.5,0.380952380952381
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2019-10-26,Sat,Premier League,Matchweek 10,Home,L 2–4,Burnley,Chelsea,Y,CM,90,0,0,0,0,0,0,0,0,47.0,1.0,2,0.0,0.0,0.0,0.4,2.0,0.0,34.0,42.0,81.0,7.0,31.0,0.0,1.0,1.0,/en/matches/082dc9ef/Burnley-Chelsea-October-26-2019-Premier-League,0.0,0.6666666666666666,0.9166666666666666
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2019-11-02,Sat,Premier League,Matchweek 11,Away,L 0–3,Burnley,Sheffield Utd,Y,CM,90,0,0,0,0,0,0,0,0,53.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,72.7,1.0,25.0,1.0,0.0,0.0,/en/matches/21606115/Sheffield-United-Burnley-November-2-2019-Premier-League,0.0,0.5,0.6071428571428571
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2019-11-09,Sat,Premier League,Matchweek 12,Home,W 3–0,Burnley,West Ham,Y,"CM,DM",90,0,0,0,0,1,1,0,0,36.0,0.0,0,0.0,0.0,0.0,0.2,3.0,0.0,21.0,30.0,70.0,4.0,15.0,2.0,3.0,3.0,/en/matches/559f666e/Burnley-West-Ham-United-November-9-2019-Premier-League,1.0,0.1666666666666666,0.1547619047619046
