,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2022-08-06,Sat,Premier League,Matchweek 1,Away,L 1–2,Wolves,Leeds United,N,FW,6,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,/en/matches/82702941/Leeds-United-Wolverhampton-Wanderers-August-6-2022-Premier-League,0.0,0.5,0.5111111111111112
1,1,1,1,1,1,1,1,1,1,1,1,2022-08-14,Sun,PL2 — Div. 1,Matchweek 2,Away,W 1–0,Wolverhampton Wanderers,Blackburn Rovers,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/a71b3e80/Blackburn-Rovers-U21-Wolverhampton-Wanderers-U21-August-14-2022-Premier-League-2----Division-1,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2022-08-22,Mon,PL2 — Div. 1,Matchweek 3,Home,W 2–0,Wolverhampton Wanderers,Brighton,Y,FW,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/84ea5f58/Wolverhampton-Wanderers-U21-Brighton-and-Hove-Albion-U21-August-22-2022-Premier-League-2----Division-1,1.0,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,2022-09-05,Mon,PL2 — Div. 1,Matchweek 5,Home,D 1–1,Wolverhampton Wanderers,Fulham,Y,AM,90,1,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/c907a7ec/Wolverhampton-Wanderers-U21-Fulham-U21-September-5-2022-Premier-League-2----Division-1,0.5,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,2022-09-17,Sat,Premier League,Matchweek 8,Home,L 0–3,Wolves,Manchester City,N,RM,5,0,0,0,0,0.0,0.0,0,0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,/en/matches/96b5cc15/Wolverhampton-Wanderers-Manchester-City-September-17-2022-Premier-League,0.0,0.8333333333333334,0.8854166666666669
5,5,5,5,5,5,5,5,5,5,5,5,2022-10-01,Sat,Premier League,Matchweek 9,Away,L 0–2,Wolves,West Ham,N,CM,19,0,0,0,0,1.0,0.0,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,70.0,2.0,10.0,2.0,2.0,2.0,/en/matches/89ff6cd8/West-Ham-United-Wolverhampton-Wanderers-October-1-2022-Premier-League,0.0,0.5,0.4285714285714285
6,6,6,6,6,6,6,6,6,6,6,6,2022-10-02,Sun,PL2 — Div. 1,Matchweek 8,Home,L 1–3,Wolverhampton Wanderers,Manchester City,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/398dacb7/Wolverhampton-Wanderers-U21-Manchester-City-U21-October-2-2022-Premier-League-2----Division-1,0.0,0.1666666666666666,0.5
7,7,7,7,7,7,7,7,7,7,7,7,2022-10-08,Sat,Premier League,Matchweek 10,Away,L 0–3,Wolves,Chelsea,N,RW,19,0,0,0,0,1.0,0.0,0,0,15.0,0.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,8.0,11.0,72.7,1.0,13.0,0.0,1.0,0.0,/en/matches/c83cb314/Chelsea-Wolverhampton-Wanderers-October-8-2022-Premier-League,0.0,0.0,0.7395833333333333
8,8,8,8,8,8,8,8,8,8,8,8,2022-10-23,Sun,Premier League,Matchweek 13,Home,L 0–4,Wolves,Leicester City,N,"LW,AM",25,0,0,0,0,0.0,0.0,0,0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,11.0,0.0,1.0,0.0,/en/matches/8774e664/Wolverhampton-Wanderers-Leicester-City-October-23-2022-Premier-League,0.0,0.0,0.5104166666666667
9,9,9,9,9,9,9,9,9,9,9,9,2022-10-31,Mon,PL2 — Div. 1,Matchweek 12,Home,W 3–0,Wolverhampton Wanderers,Leicester City,Y,FW,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/3c31c2f9/Wolverhampton-Wanderers-U21-Leicester-City-U21-October-31-2022-Premier-League-2----Division-1,1.0,0.0,0.5
10,10,10,10,10,10,10,10,10,10,10,10,2022-11-09,Wed,EFL Cup,Third round,Home,W 1–0,Wolves,Leeds United,N,,25,0,0,0,0,0.0,0.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/01b32e30/Wolverhampton-Wanderers-Leeds-United-November-9-2022-EFL-Cup,1.0,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,11,11,11,11,2023-02-04,Sat,League One,Matchweek 30,Away,W 3–0,Wycombe,Port Vale,N,,5,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c0962971/Port-Vale-Wycombe-Wanderers-February-4-2023-League-One,1.0,0.6666666666666666,0.5
12,12,12,12,12,12,12,12,12,12,12,12,2023-02-14,Tue,League One,Matchweek 32,Away,W 2–0,Wycombe,Acc'ton Stanley,Y,AM,60,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/e324816f/Accrington-Stanley-Wycombe-Wanderers-February-14-2023-League-One,1.0,1.0,0.5
