,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,0,0,0,0,2022-06-04,Sat,UEFA Nations League,League A,Home,D 1–1,it Italy,de Germany,N,,26,0,1,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/e1bf62bc/Italy-Germany-June-4-2022-UEFA-Nations-League,0.5,0.5,0.5
1,1,1,1,1,1,1,1,1,1,1,1,2022-06-07,Tue,UEFA Nations League,League A,Home,W 2–1,it Italy,hu Hungary,Y,FW,90,0,0,0,0,2.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/af1cb853/Italy-Hungary-June-7-2022-UEFA-Nations-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2,2,2,2,2022-06-11,Sat,UEFA Nations League,League A,Away,D 0–0,it Italy,eng England,N,,26,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/c75dc433/England-Italy-June-11-2022-UEFA-Nations-League,0.5,0.5,0.5
3,3,3,3,3,3,3,3,3,3,3,3,2022-06-14,Tue,UEFA Nations League,League A,Away,L 2–5,it Italy,de Germany,Y,FW,90,1,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/22d66d31/Germany-Italy-June-14-2022-UEFA-Nations-League,0.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,4,4,4,4,2022-07-16,Sat,Super Lg,Matchweek 1,Away,L 0–4,Zürich,Young Boys,Y,FW,83,0,0,0,0,2.0,0.0,1,0,,,0.0,,,,,,,,,,,,,,,/en/matches/d1e520e2/Young-Boys-Zurich-July-16-2022-Swiss-Super-League,0.0,0.5,0.5
5,5,5,5,5,5,5,5,5,5,5,5,2022-07-19,Tue,Champions Lg,Second qualifying round,Away,L 2–3,ch Zürich,az Qarabağ Ağdam,Y,FW,89,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/ded06a73/Qarabag-Agdam-Zurich-July-19-2022-Champions-League,0.0,0.1666666666666666,0.5
6,6,6,6,6,6,6,6,6,6,6,6,2022-07-23,Sat,Super Lg,Matchweek 2,Home,D 0–0,Zürich,Luzern,N,,38,0,0,0,0,1.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/0eccbba6/Zurich-Luzern-July-23-2022-Swiss-Super-League,0.5,0.0,0.5
7,7,7,7,7,7,7,7,7,7,7,7,2022-07-27,Wed,Champions Lg,Second qualifying round,Home,D 2–2,ch Zürich,az Qarabağ Ağdam,Y,FW,104,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/5649d984/Zurich-Qarabag-Agdam-July-27-2022-Champions-League,0.5,0.1666666666666666,0.5
8,8,8,8,8,8,8,8,8,8,8,8,2022-07-30,Sat,Super Lg,Matchweek 3,Away,L 0–2,Zürich,St. Gallen,Y,AM,84,0,0,0,0,2.0,1.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/417a9900/St-Gallen-Zurich-July-30-2022-Swiss-Super-League,0.0,0.3333333333333333,0.5
9,9,9,9,9,9,9,9,9,9,9,9,2022-08-04,Thu,Europa Lg,Third qualifying round,Away,W 2–0,ch Zürich,nir Linfield,Y,FW,84,1,0,0,0,2.0,2.0,0,0,,,1.0,,,,,,,,,,,,,,,/en/matches/7034ea43/Linfield-Zurich-August-4-2022-Europa-League,1.0,0.3333333333333333,0.5
