,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,2019-08-27,Tue,EFL Cup,Second round,Home,D 0 (4)–0 (5),Crystal Palace,Colchester Utd,Y,DM,120,0,0,0,0,2,1,0,0,,,1,,,,,,,,,,,,,,,/en/matches/c3481970/Crystal-Palace-Colchester-United-August-27-2019-EFL-Cup,0.5,0.5,0.5
1,1,1,1,1,1,2019-09-14,Sat,Premier League,Matchweek 5,Away,L 0–4,Crystal Palace,Tottenham,N,LW,6,0,0,0,0,0,0,0,0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,/en/matches/1d812c17/Tottenham-Hotspur-Crystal-Palace-September-14-2019-Premier-League,0.0,0.5,0.6071428571428571
2,2,2,2,2,2,2020-01-18,Sat,La Liga,Matchweek 20,Away,W 1–0,Alavés,Levante,Y,CM,88,0,0,0,0,0,0,1,0,39.0,2.0,0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,75.0,1.0,30.0,0.0,3.0,1.0,/en/matches/ed0e29b9/Levante-Alaves-January-18-2020-La-Liga,1.0,0.5,0.5
3,3,3,3,3,3,2020-01-25,Sat,La Liga,Matchweek 21,Home,L 1–2,Alavés,Villarreal,Y,CM,90,0,0,0,0,3,1,0,0,65.0,0.0,0,0.0,0.1,0.1,0.4,3.0,0.0,48.0,56.0,85.7,5.0,46.0,0.0,1.0,1.0,/en/matches/7900bacf/Alaves-Villarreal-January-25-2020-La-Liga,0.0,0.5,0.5
4,4,4,4,4,4,2020-02-02,Sun,La Liga,Matchweek 22,Away,D 1–1,Alavés,Sevilla,Y,CM,90,0,0,0,0,1,1,0,0,36.0,2.0,3,0.0,0.0,0.0,0.4,2.0,1.0,16.0,23.0,69.6,1.0,22.0,0.0,0.0,0.0,/en/matches/8ffb06f8/Sevilla-Alaves-February-2-2020-La-Liga,0.5,0.3333333333333333,0.5
5,5,5,5,5,5,2020-02-07,Fri,La Liga,Matchweek 23,Home,W 2–1,Alavés,Eibar,Y,CM,90,0,0,0,0,1,0,0,0,31.0,1.0,1,0.0,0.0,0.0,0.1,1.0,0.0,15.0,24.0,62.5,2.0,23.0,0.0,1.0,0.0,/en/matches/e1c0d7cb/Alaves-Eibar-February-7-2020-La-Liga,1.0,0.5,0.5
6,6,6,6,6,6,2020-02-15,Sat,La Liga,Matchweek 24,Away,L 0–1,Alavés,Mallorca,Y,CM,90,0,0,0,0,1,0,0,0,47.0,1.0,1,2.0,0.0,0.0,0.1,3.0,0.0,27.0,35.0,77.1,3.0,18.0,0.0,2.0,1.0,/en/matches/7053a5ed/Mallorca-Alaves-February-15-2020-La-Liga,0.0,0.5,0.5
7,7,7,7,7,7,2020-02-23,Sun,La Liga,Matchweek 25,Home,W 2–1,Alavés,Athletic Club,Y,CM,80,0,0,0,0,0,0,0,0,20.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.0,70.6,1.0,12.0,1.0,1.0,1.0,/en/matches/8fad5b06/Alaves-Athletic-Club-February-23-2020-La-Liga,1.0,0.5,0.5
8,8,8,8,8,8,2020-03-06,Fri,La Liga,Matchweek 27,Home,D 1–1,Alavés,Valencia,Y,CM,75,0,0,0,0,1,0,0,0,53.0,0.0,2,0.0,0.0,0.0,0.0,3.0,0.0,38.0,44.0,86.4,4.0,36.0,1.0,2.0,0.0,/en/matches/3198142b/Alaves-Valencia-March-6-2020-La-Liga,0.5,0.6666666666666666,0.5
9,9,9,9,9,9,2020-06-13,Sat,La Liga,Matchweek 28,Away,L 0–2,Alavés,Espanyol,Y,"CM,RM",81,0,0,0,0,0,0,0,0,35.0,2.0,0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,26.0,80.8,3.0,16.0,1.0,1.0,0.0,/en/matches/6543e250/Espanyol-Alaves-June-13-2020-La-Liga,0.0,0.5,0.5
